stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A176560,포인트엔지니어링,20190129,15150,15200,15000,15000,917,120000,0,14720,14485,17810,21196
A176560,포인트엔지니어링,20190128,15300,15300,15300,15300,8,120000,0,14500,14480,17968,21262
A176560,포인트엔지니어링,20190125,14400,14700,14400,14700,152,120000,0,14240,14452,18107,21331
A176560,포인트엔지니어링,20190124,14300,14350,14300,14300,380,120000,0,14190,14475,18245,21402
A176560,포인트엔지니어링,20190123,14100,14450,13900,14300,554,120000,0,14090,14525,18399,21471
A176560,포인트엔지니어링,20190122,14400,14400,13900,13900,410,120000,0,14030,14530,18565,21540
A176560,포인트엔지니어링,20190121,14200,14200,14000,14000,774,120000,0,14050,14578,18738,21614
A176560,포인트엔지니어링,20190118,13900,14450,13900,14450,177,120000,0,14150,14662,18918,21692
A176560,포인트엔지니어링,20190117,14000,14000,13800,13800,1273,120000,-273,14160,14720,19085,21765
A176560,포인트엔지니어링,20190116,14600,14600,14000,14000,2429,120000,1873,14280,14885,19268,21840
A176560,포인트엔지니어링,20190115,15900,15900,14000,14000,2301,120000,0,14440,15095,19450,21909
A176560,포인트엔지니어링,20190114,14400,14500,14100,14500,2591,120000,0,14600,15320,19632,22009
A176560,포인트엔지니어링,20190111,14500,14500,14500,14500,478,120000,0,14660,15505,19798,22081
A176560,포인트엔지니어링,20190110,14800,14800,14400,14400,1534,120000,0,14750,15665,19967,22155
A176560,포인트엔지니어링,20190109,14800,14800,14800,14800,377,120000,0,14870,15872,20152,22230
A176560,포인트엔지니어링,20190108,14800,14800,14800,14800,0,120000,0,14750,16078,20322,22303
A176560,포인트엔지니어링,20190107,14900,15000,14550,14800,1663,120000,0,14770,16328,20491,22375
A176560,포인트엔지니어링,20190104,14550,14950,14300,14950,301,120000,100,14760,16585,20665,22449
A176560,포인트엔지니어링,20190103,15000,15000,14100,15000,502,120000,0,14800,16878,20834,22520
A176560,포인트엔지니어링,20190102,14900,14900,14200,14200,479,120000,0,14860,17078,21015,22592
A176560,포인트엔지니어링,20181228,15000,15000,14800,14900,249,120000,0,14900,17402,21211,22670
A176560,포인트엔지니어링,20181227,14750,14750,14750,14750,198,120000,100,14890,17645,21388,22743
A176560,포인트엔지니어링,20181226,14600,15150,14600,15150,408,120000,0,15080,17832,21587,22812
A176560,포인트엔지니어링,20181224,14600,15300,14600,15300,710,120000,0,15170,18000,21778,22882
A176560,포인트엔지니어링,20181221,14800,15500,14400,14400,762,120000,-131,15530,18155,21937,22955
A176560,포인트엔지니어링,20181220,15500,15500,14850,14850,111,120000,0,16290,18370,22112,23035
A176560,포인트엔지니어링,20181219,15700,15700,15500,15700,937,120000,0,17020,18662,22272,23114
A176560,포인트엔지니어링,20181218,17800,17800,15550,15600,1074,120000,0,17520,18952,22417,23187
A176560,포인트엔지니어링,20181217,18200,18200,17100,17100,971,120000,0,17940,19248,22573,23261
A176560,포인트엔지니어링,20181214,18700,18700,17300,18200,618,120000,0,18230,19492,22705,23314
A176560,포인트엔지니어링,20181213,18800,18800,18000,18500,212,120000,0,18370,19682,22827,23358
A176560,포인트엔지니어링,20181212,18200,18200,18200,18200,1,120000,-1,18630,19882,22943,23394
A176560,포인트엔지니어링,20181211,18500,18950,17700,17700,435,120000,0,18980,20122,23066,23430
