stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A179690,셀인바이오,20190129,1100,1100,1075,1075,651,0,0,1087,1173,1225,1324
A179690,셀인바이오,20190128,1095,1095,1095,1095,0,0,0,1091,1190,1229,1328
A179690,셀인바이오,20190125,1070,1110,1060,1110,213,0,0,1092,1205,1234,1336
A179690,셀인바이오,20190124,1410,1410,1055,1110,1248,0,0,1129,1207,1237,1340
A179690,셀인바이오,20190123,1100,1100,1045,1045,643,0,0,1111,1222,1241,1344
A179690,셀인바이오,20190122,750,1150,750,1095,7430,0,0,1112,1240,1247,1348
A179690,셀인바이오,20190121,1050,1205,1000,1100,2358,0,0,1132,1240,1250,1352
A179690,셀인바이오,20190118,1050,1295,1050,1295,1428,0,0,1152,1250,1252,1358
A179690,셀인바이오,20190117,1060,1070,1020,1020,857,0,0,1133,1254,1252,1360
A179690,셀인바이오,20190116,1150,1150,1050,1050,2978,0,0,1165,1263,1256,1365
A179690,셀인바이오,20190115,1200,1200,1100,1195,1463,0,0,1194,1270,1260,1369
A179690,셀인바이오,20190114,1200,1200,1200,1200,22,0,0,1176,1270,1261,1373
A179690,셀인바이오,20190111,1200,1200,1200,1200,58,0,0,1215,1270,1262,1376
A179690,셀인바이오,20190110,1180,1180,1180,1180,4,0,0,1255,1270,1262,1379
A179690,셀인바이오,20190109,1115,1195,1115,1195,43,0,0,1279,1273,1262,1383
A179690,셀인바이오,20190108,1300,1300,1105,1105,651,0,0,1300,1272,1263,1387
A179690,셀인바이오,20190107,1395,1395,1395,1395,0,0,0,1359,1276,1265,1393
A179690,셀인바이오,20190104,1300,1400,1300,1400,25,0,0,1360,1270,1263,1395
A179690,셀인바이오,20190103,1720,1720,1300,1300,2049,0,0,1312,1263,1261,1396
A179690,셀인바이오,20190102,980,1400,980,1300,29,0,0,1332,1259,1261,1400
A179690,셀인바이오,20181228,1400,1400,1400,1400,1827,0,0,1352,1264,1260,1403
A179690,셀인바이오,20181227,1400,1400,1400,1400,1,0,0,1293,1253,1258,1406
A179690,셀인바이오,20181226,1110,1165,1110,1160,532,0,0,1273,1248,1257,1409
A179690,셀인바이오,20181224,1400,1400,1200,1400,132,0,0,1317,1250,1261,1414
A179690,셀인바이오,20181221,1400,1400,1400,1400,1,0,0,1277,1238,1261,1416
A179690,셀인바이오,20181220,1385,1385,1105,1105,101,0,0,1234,1227,1261,1419
A179690,셀인바이오,20181219,1385,1385,1300,1300,6,0,0,1252,1232,1262,1424
A179690,셀인바이오,20181218,1195,1380,1195,1380,401,0,0,1230,1228,1264,1428
A179690,셀인바이오,20181217,1200,1200,1200,1200,2505,0,0,1194,1217,1264,1430
A179690,셀인바이오,20181214,1400,1400,1100,1185,282,0,0,1204,1218,1268,1436
