stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A180400,캔서롭,20190129,7400,7400,7070,7190,355283,45154,650,7252,6916,6745,8166
A180400,캔서롭,20190128,7310,7620,7270,7400,981662,56323,2000,7232,6863,6741,8190
A180400,캔서롭,20190125,7230,7320,7120,7270,239431,17553,0,7210,6777,6729,8208
A180400,캔서롭,20190124,7250,7260,7100,7170,261589,7304,-70,7208,6697,6720,8226
A180400,캔서롭,20190123,7090,7230,6900,7230,529795,34469,6,7202,6624,6707,8243
A180400,캔서롭,20190122,7310,7460,7000,7090,464669,15989,200,7228,6575,6700,8259
A180400,캔서롭,20190121,7400,7690,7250,7290,1094094,27018,-1023,7258,6534,6702,8272
A180400,캔서롭,20190118,7200,7280,6980,7260,466804,86267,0,7260,6522,6705,8285
A180400,캔서롭,20190117,7420,7550,7090,7140,708367,49349,1023,7150,6437,6715,8296
A180400,캔서롭,20190116,7300,7820,7230,7360,2454736,67588,0,6964,6374,6740,8314
A180400,캔서롭,20190115,7230,7450,6890,7240,775019,181462,0,6732,6314,6764,8332
A180400,캔서롭,20190114,7010,7590,6850,7300,2271667,101440,-600,6516,6263,6790,8353
A180400,캔서롭,20190111,6280,7720,6260,6710,5990215,92082,-33317,6326,6210,6814,8375
A180400,캔서롭,20190110,6220,6260,6080,6210,271657,75039,7711,6278,6175,6846,8402
A180400,캔서롭,20190109,6180,6350,6150,6200,251351,81603,7704,6326,6176,6881,8437
A180400,캔서롭,20190108,6370,6420,6090,6160,246608,80803,7486,6450,6200,6922,8475
A180400,캔서롭,20190107,6580,6650,6220,6350,484599,59958,-2243,6446,6240,6959,8510
A180400,캔서롭,20190104,6330,6500,6070,6470,401920,115156,-45468,6312,6274,7009,8544
A180400,캔서롭,20190103,6820,6820,6440,6450,695638,92511,0,6152,6306,7058,8578
A180400,캔서롭,20190102,6250,7540,6230,6820,3138079,129155,0,6002,6340,7112,8609
A180400,캔서롭,20181228,5640,6190,5640,6140,384326,198240,4,5890,6346,7166,8638
A180400,캔서롭,20181227,5820,5900,5650,5680,267870,142328,0,5918,6386,7243,8670
A180400,캔서롭,20181226,5610,5780,5350,5670,428399,129409,0,6192,6456,7335,8704
A180400,캔서롭,20181224,6170,6240,5690,5700,459049,142688,0,6168,6528,7439,8738
A180400,캔서롭,20181221,6310,6410,6130,6260,297528,177969,0,6204,6597,7543,8780
A180400,캔서롭,20181220,6770,6790,6220,6280,1094001,172078,-2,6186,6630,7632,8816
A180400,캔서롭,20181219,5550,7210,5550,7050,3981912,257832,-1,6172,6670,7718,8856
A180400,캔서롭,20181218,5680,5850,5400,5550,247999,281394,0,6008,6684,7803,8886
A180400,캔서롭,20181217,6080,6100,5880,5880,125979,258554,0,6102,6761,7906,8931
A180400,캔서롭,20181214,6110,6210,5990,6170,108224,274540,-4,6174,6831,8003,8973
