stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A183190,아세아시멘트,20190129,119000,121000,115000,116500,14261,241081,-3798,117800,112150,108775,118783
A183190,아세아시멘트,20190128,119000,121500,117000,119500,14225,240556,241,117500,111500,108700,118946
A183190,아세아시멘트,20190125,118000,121000,117000,118000,11939,240197,2951,116800,110575,108558,119075
A183190,아세아시멘트,20190124,117500,121500,116500,118500,14857,242216,-157,116300,109675,108375,119233
A183190,아세아시멘트,20190123,113500,118000,112500,116500,12594,245044,1055,115200,108975,108075,119383
A183190,아세아시멘트,20190122,116500,117000,114000,115000,9420,245979,165,115800,108400,107858,119546
A183190,아세아시멘트,20190121,117500,117500,114000,116000,13509,247881,3038,116200,107875,107700,119671
A183190,아세아시멘트,20190118,114000,115500,113000,115500,9092,250706,2918,116400,107275,107583,119742
A183190,아세아시멘트,20190117,119500,119500,112500,113000,14479,252385,-2767,115500,106850,107567,119729
A183190,아세아시멘트,20190116,117000,120000,116000,119500,12049,252560,432,114300,106525,107633,119762
A183190,아세아시멘트,20190115,116500,118000,113000,117000,11241,252789,1743,111500,106225,107658,119812
A183190,아세아시멘트,20190114,113000,117000,111000,117000,17211,251622,5047,109400,106050,107658,119904
A183190,아세아시멘트,20190111,107000,112000,107000,111000,12243,251114,135,106600,105600,107667,120054
A183190,아세아시멘트,20190110,106500,107500,104500,107000,10687,248689,1318,104700,105550,107850,120279
A183190,아세아시멘트,20190109,108000,108000,105000,105500,13203,248384,-2294,103700,105725,107958,120571
A183190,아세아시멘트,20190108,106000,111500,104500,106500,28977,249431,-7401,103500,106200,108150,120812
A183190,아세아시멘트,20190107,103000,104500,102000,103000,5654,246930,728,102900,106275,108292,121050
A183190,아세아시멘트,20190104,102000,103500,100000,101500,10473,246367,-2578,102500,106650,108617,121267
A183190,아세아시멘트,20190103,105500,106000,102000,102000,7349,247149,-2056,102200,107175,109183,121483
A183190,아세아시멘트,20190102,107000,108500,103500,104500,17970,247711,9879,102700,107675,109742,121775
A183190,아세아시멘트,20181228,102000,104500,102000,103500,4906,249743,-702,102800,107625,110308,122021
A183190,아세아시멘트,20181227,101500,103000,100500,101000,7711,248561,-2642,103000,107625,110892,122321
A183190,아세아시멘트,20181226,102500,103500,100000,100000,17511,247290,-9201,103600,107725,111525,122575
A183190,아세아시멘트,20181224,105500,106000,103500,104500,9086,249923,-3571,105000,108025,112258,122825
A183190,아세아시멘트,20181221,104500,107000,103000,105000,12396,249978,-4401,105400,108125,112917,123150
A183190,아세아시멘트,20181220,104000,106000,103000,104500,15381,245465,-2824,107100,108200,113483,123396
A183190,아세아시멘트,20181219,108500,108500,103500,104000,12215,243656,-5002,108900,108300,113992,123654
A183190,아세아시멘트,20181218,105000,109000,103000,107000,17169,245707,5668,109700,108450,114483,123900
A183190,아세아시멘트,20181217,111500,111500,102500,106500,35279,244870,-7722,110300,108350,115017,124192
A183190,아세아시멘트,20181214,113000,114500,111500,113500,7808,251980,-101,111100,108500,115658,124479
A183190,아세아시멘트,20181213,108000,114500,106500,113500,14491,251119,5371,111400,108050,116242,124717
A183190,아세아시멘트,20181212,107000,110000,106500,108000,9155,248945,863,110300,107500,116825,124996
A183190,아세아시멘트,20181211,111000,111000,105500,110000,10087,249462,1760,110800,107125,117525,125304
A183190,아세아시멘트,20181210,113000,116000,109000,110500,12508,255595,-2361,111200,106650,118175,125621
A183190,아세아시멘트,20181207,108500,116500,108500,115000,16992,258578,3708,111500,106275,118675,125962
A183190,아세아시멘트,20181206,110000,112000,105000,108000,11551,259977,-2194,109200,105800,118850,126258
A183190,아세아시멘트,20181205,110000,111500,109000,110500,6580,261224,-2085,108300,105850,119108,126704
A183190,아세아시멘트,20181204,113000,115000,110000,112000,8830,261761,-2343,106800,105625,119325,127221
A183190,아세아시멘트,20181203,105500,115500,105500,112000,21428,263236,3753,105600,105600,119525,127654
A183190,아세아시멘트,20181130,104000,104000,101000,103500,5947,258088,504,104500,105775,119717,128104
A183190,아세아시멘트,20181129,103500,105000,101500,103500,8238,258552,-2541,105100,106550,120067,128712
A183190,아세아시멘트,20181128,105500,106000,102000,103000,7072,254725,-3063,105700,106975,120375,129342
A183190,아세아시멘트,20181127,106500,107500,105000,106000,8628,255245,-4417,106500,107375,120708,130017
A183190,아세아시멘트,20181126,110000,110000,105500,106500,6706,254554,-1358,106300,107425,121050,130700
A183190,아세아시멘트,20181123,107000,110500,105500,106500,7022,254662,643,106900,107125,121358,131408
A183190,아세아시멘트,20181122,107500,110000,104500,106500,6401,254048,-14,106500,106975,121783,132121
A183190,아세아시멘트,20181121,103000,110000,102500,107000,9439,254214,4792,105700,106925,122242,132967
A183190,아세아시멘트,20181120,107500,108000,104000,105000,9056,257140,-1384,104400,107025,122617,133425
A183190,아세아시멘트,20181119,103500,110500,103500,109500,7298,259195,1122,103500,107500,123017,133971
A183190,아세아시멘트,20181116,102500,105000,101000,104500,4163,257605,253,102200,107875,123342,134525
A183190,아세아시멘트,20181115,100500,103500,99900,102500,8038,256897,-2216,102400,108700,123817,135217
A183190,아세아시멘트,20181114,102000,103500,99600,100500,7972,255665,-2944,103700,109425,124358,136004
