stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A185750,종근당,20190129,104500,106500,104500,106000,25100,1400982,1663,106300,104490,100153,100087
A185750,종근당,20190128,105500,107000,105000,105000,29689,1396686,-5603,106100,104290,99767,100034
A185750,종근당,20190125,106500,107500,105500,106000,20886,1324051,-2367,106300,104215,99394,99989
A185750,종근당,20190124,107000,108000,106000,106500,18660,1327092,36,106600,104040,99053,99876
A185750,종근당,20190123,104500,108000,104500,108000,21000,1327711,5199,106700,103934,98681,99751
A185750,종근당,20190122,107000,107000,104500,105000,13293,1329012,-2678,106500,103659,98324,99623
A185750,종근당,20190121,108500,108500,105500,106000,14427,1327083,-1346,106800,103438,98066,99507
A185750,종근당,20190118,108500,109500,107500,107500,19746,1327320,4050,106800,103262,97815,99390
A185750,종근당,20190117,106500,108500,106000,107000,19638,1329140,7202,106300,102964,97509,99268
A185750,종근당,20190116,106500,109000,106500,107000,22735,1332586,4198,105700,102786,97272,99158
A185750,종근당,20190115,107500,110500,106500,106500,39326,1340763,5221,104800,102609,97044,99046
A185750,종근당,20190114,105000,107500,103000,106000,24486,1343449,7506,104000,102551,96801,98952
A185750,종근당,20190111,104000,106500,103500,105000,25968,1349908,9770,103000,102471,96579,98883
A185750,종근당,20190110,102000,105500,101500,104000,27477,1358929,6439,101960,102346,96365,98814
A185750,종근당,20190109,102000,105000,102000,102500,26167,1360401,2967,100860,102365,96135,98758
A185750,종근당,20190108,102500,104000,101000,102500,26535,1357158,7957,100360,102436,95983,98722
A185750,종근당,20190107,102500,103000,101000,101000,21445,1360528,3240,100260,102603,95806,98667
A185750,종근당,20190104,98500,101000,98000,99800,22707,1366457,3019,100760,102820,95728,98635
A185750,종근당,20190103,100500,101000,98500,98500,22432,1366519,-1312,101298,102883,95749,98610
A185750,종근당,20190102,102000,102500,99100,100000,26508,1367331,-5688,102477,102868,95823,98596
A185750,종근당,20181228,103500,105000,102000,102000,23025,1364187,-1847,102975,102754,95928,98555
A185750,종근당,20181227,103500,105000,102000,103500,18943,1367520,-2954,102692,102469,95976,98524
A185750,종근당,20181226,101537,102967,100583,102490,27521,1373287,-5472,102490,102056,96062,98444
A185750,종근당,20181224,103920,105350,102490,104397,21909,1375387,12924,102299,101746,96229,98369
A185750,종근당,20181221,101060,103920,100583,102490,25751,1381605,6157,102109,101389,96333,98297
A185750,종근당,20181220,102013,102013,98200,100583,21972,1382341,485,102299,101031,96452,98242
A185750,종근당,20181219,102013,102967,100583,102490,25706,1386574,2740,103253,100864,96603,98222
A185750,종근당,20181218,102013,102967,100583,101537,26716,1389557,3074,103634,100650,96698,98178
A185750,종근당,20181217,103920,104397,101537,103443,22044,1397794,-1480,103825,100435,96809,98139
A185750,종근당,20181214,106780,107257,101060,103443,40344,1394495,4109,104015,100197,96865,98070
A185750,종근당,20181213,104397,105350,102013,105350,39624,1404497,6573,104111,99782,96944,97992
A185750,종근당,20181212,102490,104397,101537,104397,35456,1406630,6683,104206,99163,96984,97908
A185750,종근당,20181211,105350,105827,102013,102490,33014,1404205,3042,104397,98533,97072,97819
A185750,종근당,20181210,102013,106780,102013,104397,41899,1408645,2776,104111,97914,97175,97768
A185750,종근당,20181207,106780,107734,103443,103920,38874,1410585,6538,102871,97075,97191,97720
A185750,종근당,20181206,106780,108210,103443,105827,39416,1418872,9980,101632,96350,97238,97676
A185750,종근당,20181205,98676,106304,98200,105350,55101,1423596,21665,99725,95635,97199,97644
A185750,종근당,20181204,98200,103920,97723,101060,51684,1428528,22989,97704,94810,97191,97605
A185750,종근당,20181203,102490,105827,97723,98200,58512,1430488,-2489,96751,94291,97294,97605
A185750,종근당,20181130,97723,102490,97246,97723,55321,1440766,1259,96560,93776,97397,97624
A185750,종근당,20181129,96293,98676,96293,96293,18086,1447376,2657,96083,93213,97493,97648
A185750,종근당,20181128,97246,97723,94958,95244,30730,1442991,-9054,96274,92541,97580,97704
A185750,종근당,20181127,98200,99153,95816,96293,16093,1440170,-1743,96865,91912,97701,97768
A185750,종근당,20181126,95340,98200,95244,97246,17378,1441897,4089,97056,91373,97788,97800
A185750,종근당,20181123,97246,98200,95244,95340,11549,1440903,-1258,97342,90720,97860,97812
A185750,종근당,20181122,98200,99630,96770,97246,19550,1441631,3624,97303,90282,97931,97883
A185750,종근당,20181121,96293,100107,94005,98200,29430,1443499,9386,96445,89896,97963,97939
A185750,종근당,20181120,96293,98676,95816,97246,31434,1451530,9850,95168,89533,97995,97999
A185750,종근당,20181119,95244,98676,95244,98676,36429,1459033,19158,93738,89128,98098,98066
A185750,종근당,20181116,93433,97246,92479,95149,38430,1467667,17266,91526,88832,98130,98118
A185750,종근당,20181115,90668,93814,89714,92956,34062,1471890,14820,90382,88742,98244,98215
A185750,종근당,20181114,90096,93623,88761,91812,30335,1482798,10960,90096,88689,98332,98330
A185750,종근당,20181113,86473,90477,86187,90096,27487,1486706,8390,89505,88732,98486,98459
A185750,종근당,20181112,87712,89524,87331,87617,20085,1489156,3798,89619,88837,98653,98594
A185750,종근당,20181109,92289,92289,88952,89428,26959,1491677,6246,89676,88966,98877,98746
A185750,종근당,20181108,91335,92003,89524,91526,25245,1496710,4047,89085,89161,99078,98894
A185750,종근당,20181107,90573,92384,88761,88856,28728,1497817,7396,87350,89180,99229,99017
A185750,종근당,20181106,88570,93051,88284,90668,63331,1504085,20605,86111,89552,99425,99163
A185750,종근당,20181105,87331,88666,85996,87903,40313,1517237,1422,85081,90072,99590,99309
A185750,종근당,20181102,82659,86664,82659,86473,34790,1519374,-2719,84337,90825,99801,99466
