stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A187220,디티앤씨,20190129,9980,10850,9710,10700,186381,117784,4176,9798,8974,8704,9449
A187220,디티앤씨,20190128,9500,10250,9420,9990,72638,127583,-5729,9478,8850,8664,9440
A187220,디티앤씨,20190125,9480,9480,9280,9450,23434,125425,0,9332,8756,8634,9435
A187220,디티앤씨,20190124,9480,9480,9350,9420,14942,123562,0,9294,8690,8606,9438
A187220,디티앤씨,20190123,9220,9520,9100,9430,23177,124423,-922,9240,8640,8577,9438
A187220,디티앤씨,20190122,9200,9300,9020,9100,10676,122596,0,9246,8596,8566,9438
A187220,디티앤씨,20190121,9260,9300,9200,9260,13290,122383,-644,9194,8575,8567,9440
A187220,디티앤씨,20190118,9020,9450,9020,9260,38037,123593,14,9094,8548,8572,9440
A187220,디티앤씨,20190117,9500,9610,9080,9150,43552,111144,-3301,9016,8518,8581,9439
A187220,디티앤씨,20190116,8990,9640,8820,9460,89983,112674,5335,8874,8504,8594,9439
A187220,디티앤씨,20190115,8720,9070,8650,8840,36641,113820,4545,8668,8500,8605,9438
A187220,디티앤씨,20190114,8870,8970,8650,8760,21491,111827,0,8532,8524,8622,9445
A187220,디티앤씨,20190111,8360,8920,8360,8870,47589,114255,10277,8424,8541,8639,9454
A187220,디티앤씨,20190110,8430,8450,8240,8440,15765,110388,0,8268,8530,8653,9463
A187220,디티앤씨,20190109,8160,8450,8150,8430,30055,109740,10000,8200,8538,8670,9475
A187220,디티앤씨,20190108,8220,8400,8110,8160,14030,108055,0,8184,8554,8690,9489
A187220,디티앤씨,20190107,8120,8300,8120,8220,35289,109237,0,8194,8580,8706,9504
A187220,디티앤씨,20190104,7960,8240,7960,8090,10832,107235,0,8174,8608,8734,9518
A187220,디티앤씨,20190103,8310,8350,8090,8100,21633,109313,0,8180,8644,8774,9533
A187220,디티앤씨,20190102,8260,8520,8260,8350,33056,113250,0,8246,8681,8815,9548
