stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A187420,제노포커스,20190129,7260,7350,7180,7330,45694,249997,0,7280,7106,7251,8150
A187420,제노포커스,20190128,7380,7390,7270,7300,43672,254341,-492,7224,7092,7251,8158
A187420,제노포커스,20190125,7330,7420,7260,7340,67331,259129,0,7170,7060,7249,8166
A187420,제노포커스,20190124,7100,7350,7070,7330,104402,261891,-1056,7122,7008,7244,8173
A187420,제노포커스,20190123,6970,7100,6970,7100,36225,248548,0,7058,6969,7234,8180
A187420,제노포커스,20190122,7080,7140,6940,7050,57564,245339,0,7046,6948,7242,8188
A187420,제노포커스,20190121,7170,7170,6990,7030,62475,239511,0,7050,6922,7259,8192
A187420,제노포커스,20190118,7010,7110,7000,7100,37659,232535,0,7048,6904,7282,8198
A187420,제노포커스,20190117,7050,7190,6980,7010,45045,227177,0,7040,6874,7307,8203
A187420,제노포커스,20190116,7050,7080,6970,7040,65069,221773,0,7060,6858,7339,8215
A187420,제노포커스,20190115,6970,7200,6970,7070,38468,215162,-1000,7090,6847,7367,8229
A187420,제노포커스,20190114,7120,7120,6940,7020,32397,206117,0,7078,6848,7391,8243
A187420,제노포커스,20190111,7080,7220,7010,7060,56393,205806,-2050,7090,6852,7416,8260
A187420,제노포커스,20190110,7190,7190,7020,7110,43878,209669,0,7086,6844,7438,8273
A187420,제노포커스,20190109,7090,7310,7050,7190,76295,213034,-8933,7044,6839,7454,8287
A187420,제노포커스,20190108,7050,7100,6940,7010,52115,207504,0,7008,6845,7476,8301
A187420,제노포커스,20190107,7060,7160,7000,7080,34370,211448,0,7014,6855,7495,8314
A187420,제노포커스,20190104,6890,7070,6730,7040,52807,214846,0,6932,6882,7528,8328
A187420,제노포커스,20190103,7050,7120,6830,6900,65568,213766,-8817,6786,6920,7565,8342
A187420,제노포커스,20190102,7100,7300,6900,7010,138806,226871,-3794,6714,6966,7607,8356
A187420,제노포커스,20181228,6700,7170,6700,7040,180820,238450,-16211,6648,7008,7648,8369
A187420,제노포커스,20181227,6400,6860,6390,6670,106238,213503,0,6546,7055,7696,8384
