stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A187790,나노,20190129,2295,2300,2205,2225,365978,126246,0,2282,2236,2078,2120
A187790,나노,20190128,2310,2330,2270,2295,290884,126382,0,2309,2221,2075,2117
A187790,나노,20190125,2300,2315,2250,2305,221675,133657,5000,2312,2201,2070,2113
A187790,나노,20190124,2300,2305,2245,2285,317419,129580,0,2301,2180,2063,2109
A187790,나노,20190123,2400,2450,2300,2300,1092296,111275,-1500,2296,2163,2057,2105
A187790,나노,20190122,2335,2400,2285,2360,932430,136415,1500,2296,2144,2052,2100
A187790,나노,20190121,2245,2330,2230,2310,639216,163144,231,2268,2122,2046,2095
A187790,나노,20190118,2195,2250,2190,2250,687660,163924,1031,2254,2103,2044,2090
A187790,나노,20190117,2315,2315,2230,2260,480411,127012,2093,2246,2083,2042,2085
A187790,나노,20190116,2240,2300,2160,2300,799666,175994,-1100,2255,2066,2041,2081
A187790,나노,20190115,2255,2325,2200,2220,503277,168740,5900,2256,2047,2039,2077
A187790,나노,20190114,2265,2355,2210,2240,1773489,151144,10,2278,2032,2038,2075
A187790,나노,20190111,2310,2325,2180,2210,845659,250913,0,2291,2014,2037,2072
A187790,나노,20190110,2360,2420,2265,2305,1600007,100014,0,2271,1995,2036,2070
A187790,나노,20190109,2300,2345,2265,2305,910865,110644,8530,2186,1973,2032,2068
A187790,나노,20190108,2300,2370,2235,2330,2071258,59834,-2100,2111,1954,2028,2066
A187790,나노,20190107,2150,2480,2115,2305,5868944,104932,12800,2028,1933,2022,2062
A187790,나노,20190104,1860,2110,1855,2110,2541500,106578,1000,1947,1914,2017,2059
A187790,나노,20190103,1905,1940,1880,1880,123511,78062,-6458,1901,1908,2019,2057
A187790,나노,20190102,1925,1960,1915,1930,125242,72907,0,1916,1912,2025,2057
A187790,나노,20181228,1895,1925,1895,1915,64310,83793,0,1912,1915,2031,2057
A187790,나노,20181227,1930,1930,1890,1900,64407,75382,0,1912,1919,2038,2057
A187790,나노,20181226,1920,1950,1875,1880,172529,79354,0,1919,1924,2047,2058
A187790,나노,20181224,1935,2005,1905,1955,531097,101134,0,1915,1932,2055,2058
A187790,나노,20181221,1915,1920,1885,1910,56486,97515,-718,1907,1935,2062,2058
A187790,나노,20181220,1935,1950,1885,1915,83714,162749,0,1908,1939,2068,2058
A187790,나노,20181219,1890,1935,1850,1935,152624,156042,0,1912,1944,2074,2059
A187790,나노,20181218,1900,1945,1860,1860,128545,149851,0,1898,1950,2080,2060
A187790,나노,20181217,1915,1960,1880,1915,114216,140849,0,1892,1959,2088,2062
A187790,나노,20181214,1935,1955,1900,1915,93085,143486,0,1884,1968,2097,2062
A187790,나노,20181213,1870,1940,1870,1935,126547,144175,0,1884,1977,2106,2063
A187790,나노,20181212,1840,1865,1800,1865,111396,141102,0,1880,1986,2115,2065
A187790,나노,20181211,1875,1895,1795,1830,342063,129463,0,1892,1999,2125,2068
A187790,나노,20181210,1905,1905,1830,1875,219628,138541,0,1923,2017,2134,2072
A187790,나노,20181207,1915,1960,1900,1915,130389,133397,0,1943,2034,2142,2076
A187790,나노,20181206,1940,1990,1905,1915,159481,135904,0,1956,2047,2151,2080
A187790,나노,20181205,1970,1985,1925,1925,204832,137340,0,1971,2059,2160,2085
A187790,나노,20181204,2005,2005,1965,1985,186049,124918,0,1988,2068,2166,2089
A187790,나노,20181203,1980,2000,1970,1975,217961,126645,0,2000,2074,2169,2092
A187790,나노,20181130,1990,2015,1965,1980,110520,105742,0,2007,2078,2171,2096
A187790,나노,20181129,2005,2035,1990,1990,163204,101948,0,2007,2083,2174,2100
A187790,나노,20181128,2060,2065,1975,2010,337902,98656,-38688,2011,2086,2176,2105
A187790,나노,20181127,2040,2070,2000,2045,293910,107468,-32009,2020,2085,2178,2110
A187790,나노,20181126,1985,2020,1980,2010,82563,137669,0,2020,2078,2180,2115
A187790,나노,20181123,2005,2040,1975,1980,188566,131910,0,2040,2073,2183,2121
A187790,나노,20181122,2080,2080,2000,2010,215989,136798,-41668,2062,2074,2185,2127
A187790,나노,20181121,2010,2125,1980,2055,376065,157611,-8920,2080,2074,2186,2132
A187790,나노,20181120,2075,2100,2025,2045,284892,123501,-43980,2096,2079,2188,2136
A187790,나노,20181119,2095,2135,2080,2110,251019,136858,-43981,2124,2083,2190,2141
A187790,나노,20181116,2130,2145,2060,2090,229487,142049,-2361,2144,2088,2191,2146
A187790,나노,20181115,2125,2140,2075,2100,279360,135117,-18065,2163,2092,2191,2150
A187790,나노,20181114,2160,2210,2105,2135,187133,133344,0,2174,2095,2191,2155
A187790,나노,20181113,2175,2200,2075,2185,447605,137488,0,2169,2098,2188,2159
A187790,나노,20181112,2190,2270,2175,2210,638160,136293,0,2151,2096,2185,2162
A187790,나노,20181109,2225,2225,2115,2185,249474,143015,0,2123,2089,2184,2166
A187790,나노,20181108,2150,2170,2120,2155,197711,146201,0,2101,2084,2180,2169
A187790,나노,20181107,2195,2265,2090,2110,1033728,134501,0,2078,2073,2176,2173
A187790,나노,20181106,2095,2135,2050,2095,224106,184079,0,2056,2069,2171,2177
A187790,나노,20181105,2090,2090,2030,2070,187102,181014,0,2017,2075,2168,2182
A187790,나노,20181102,2080,2120,2050,2075,206169,189655,0,1986,2085,2165,2188
A187790,나노,20181101,2020,2100,1990,2040,702679,191492,0,1972,2094,2162,2191
A187790,나노,20181031,1930,2015,1885,2000,227313,223273,0,1966,2110,2159,2196
A187790,나노,20181030,1895,1950,1785,1900,417935,218774,0,1994,2130,2155,2201
A187790,나노,20181029,2000,2030,1885,1915,228887,189208,0,2041,2154,2155,2206
A187790,나노,20181026,2060,2070,1905,2005,288738,189040,0,2097,2176,2153,2211
A187790,나노,20181025,2090,2110,1905,2010,513761,197529,0,2133,2190,2148,2215
A187790,나노,20181024,2155,2230,2115,2140,229757,172771,0,2163,2204,2143,2219
A187790,나노,20181023,2190,2230,2125,2135,147355,183585,0,2175,2213,2136,2222
A187790,나노,20181022,2225,2225,2155,2195,130051,195167,0,2175,2223,2128,2225
A187790,나노,20181019,2135,2210,2100,2185,122588,200269,0,2151,2234,2121,2228
A187790,나노,20181018,2195,2195,2120,2160,80150,194681,0,2128,2248,2116,2231
A187790,나노,20181017,2160,2210,2160,2200,139344,186361,0,2086,2264,2112,2234
A187790,나노,20181016,2100,2185,2100,2135,119572,182439,0,2050,2277,2107,2237
