stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A190410,LS아이앤디,20190129,8000,8000,8000,8000,300,0,0,7670,7614,8120,8739
A190410,LS아이앤디,20190128,7550,7550,7550,7550,75,0,0,7580,7664,8122,8756
A190410,LS아이앤디,20190125,7600,7600,7600,7600,30,0,0,7618,7671,8130,8776
A190410,LS아이앤디,20190124,7600,7600,7600,7600,0,0,0,7646,7691,8153,8796
A190410,LS아이앤디,20190123,7600,7600,7600,7600,64,0,0,7664,7711,8143,8816
A190410,LS아이앤디,20190122,7550,7550,7550,7550,26,0,0,7682,7731,8139,8844
A190410,LS아이앤디,20190121,7740,7740,7740,7740,41,0,0,7682,7754,8147,8868
A190410,LS아이앤디,20190118,7740,7740,7740,7740,0,0,0,7714,7772,8176,8891
A190410,LS아이앤디,20190117,7690,7690,7690,7690,0,0,0,7676,7790,8205,8917
A190410,LS아이앤디,20190116,7690,7690,7690,7690,0,0,0,7740,7814,8227,8942
A190410,LS아이앤디,20190115,8000,8000,7550,7550,547,0,0,7804,7838,8244,8971
A190410,LS아이앤디,20190114,7900,7900,7900,7900,0,0,0,7894,7870,8260,9000
A190410,LS아이앤디,20190111,8000,8010,7550,7550,88,0,0,7716,7875,8283,9027
A190410,LS아이앤디,20190110,8010,8010,8010,8010,0,0,0,7806,7900,8316,9056
A190410,LS아이앤디,20190109,8010,8010,8010,8010,0,0,0,7604,7904,8346,9081
A190410,LS아이앤디,20190108,8500,8500,8000,8000,101,0,0,7302,7939,8350,9106
A190410,LS아이앤디,20190107,7000,7010,7000,7010,4,0,0,7502,7943,8356,9131
A190410,LS아이앤디,20190104,5000,8000,5000,8000,45,0,0,7636,7992,8391,9164
A190410,LS아이앤디,20190103,4600,7000,4600,7000,121,0,0,7636,7998,8410,9189
A190410,LS아이앤디,20190102,6500,6500,6500,6500,3,0,0,7836,8048,8445,9227
