stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A192720,파워 고배당저변동성,20190129,29460,29570,29385,29570,32,58,2,29479,28924,28335,28480
A192720,파워 고배당저변동성,20190128,29490,29625,29435,29530,31,58,0,29401,28884,28290,28476
A192720,파워 고배당저변동성,20190125,29175,29675,29175,29535,532,58,499,29349,28839,28254,28473
A192720,파워 고배당저변동성,20190124,29215,29545,29200,29395,1332,58,-5,29313,28779,28208,28468
A192720,파워 고배당저변동성,20190123,29210,29400,29160,29365,30,58,0,29254,28744,28168,28463
A192720,파워 고배당저변동성,20190122,29295,29325,29070,29180,1149,58,0,29195,28713,28135,28458
A192720,파워 고배당저변동성,20190121,29495,29495,29245,29270,67,58,1,29140,28688,28115,28454
A192720,파워 고배당저변동성,20190118,29265,29360,29195,29355,42,58,12,29017,28659,28096,28450
A192720,파워 고배당저변동성,20190117,29175,29175,28960,29100,268,58,-9,28899,28610,28070,28443
A192720,파워 고배당저변동성,20190116,28940,29115,28940,29070,30,58,0,28817,28581,28060,28436
A192720,파워 고배당저변동성,20190115,28725,29070,28725,28905,4232,58,2,28740,28556,28046,28429
A192720,파워 고배당저변동성,20190114,28700,28770,28575,28655,4707,58,-1,28643,28541,28035,28424
A192720,파워 고배당저변동성,20190111,28710,28835,28635,28765,7530,58,0,28603,28525,28029,28423
A192720,파워 고배당저변동성,20190110,28660,28735,28540,28690,7543,58,0,28497,28483,28016,28422
A192720,파워 고배당저변동성,20190109,28530,28900,28530,28685,15040,58,-29,28377,28446,28006,28422
A192720,파워 고배당저변동성,20190108,28630,28630,28415,28420,146,58,-1,28282,28413,27994,28421
A192720,파워 고배당저변동성,20190107,28475,28685,28425,28455,386,58,1,28354,28399,27988,28421
A192720,파워 고배당저변동성,20190104,28035,28275,28035,28235,61,58,-2,28387,28390,27999,28423
A192720,파워 고배당저변동성,20190103,28100,28310,28025,28090,1336,58,3,28406,28389,28009,28426
A192720,파워 고배당저변동성,20190102,28685,28685,28020,28210,4573,58,-2,28529,28400,28032,28429
A192720,파워 고배당저변동성,20181228,28675,28870,28675,28780,1032,58,0,28635,28400,28053,28427
A192720,파워 고배당저변동성,20181227,28735,28800,28545,28620,858,58,57,28615,28371,28067,28420
A192720,파워 고배당저변동성,20181226,28380,28510,28120,28330,232,58,0,28629,28340,28089,28416
A192720,파워 고배당저변동성,20181224,28545,28800,28545,28705,2168,58,-1,28640,28324,28117,28415
A192720,파워 고배당저변동성,20181221,28645,28750,28560,28740,2915,58,-30,28602,28284,28134,28416
A192720,파워 고배당저변동성,20181220,28620,28680,28350,28680,30,58,0,28567,28232,28143,28416
A192720,파워 고배당저변동성,20181219,28430,28820,28430,28690,634,58,6,28553,28195,28147,28417
A192720,파워 고배당저변동성,20181218,28565,28620,28300,28385,30,58,0,28482,28159,28150,28421
A192720,파워 고배당저변동성,20181217,28650,28720,28500,28515,30,58,0,28389,28138,28160,28428
A192720,파워 고배당저변동성,20181214,28545,28745,28385,28565,999,58,0,28277,28106,28168,28433
A192720,파워 고배당저변동성,20181213,28270,28610,28270,28610,1943,58,-5,28167,28065,28179,28437
A192720,파워 고배당저변동성,20181212,28065,28370,28065,28335,353,58,4,28074,28015,28186,28444
A192720,파워 고배당저변동성,20181211,27825,28065,27805,27920,1528,58,5,28062,27972,28196,28453
A192720,파워 고배당저변동성,20181210,27820,27970,27695,27955,36,58,-9,28120,27954,28213,28470
A192720,파워 고배당저변동성,20181207,28105,28135,27930,28015,381,58,341,28192,27936,28227,28486
A192720,파워 고배당저변동성,20181206,28215,28300,28030,28145,3961,58,-357,28232,27912,28238,28504
A192720,파워 고배당저변동성,20181205,27995,28305,27965,28275,1518,58,10,28243,27879,28245,28525
A192720,파워 고배당저변동성,20181204,28230,28295,28130,28210,610,58,-3,28188,27827,28249,28544
A192720,파워 고배당저변동성,20181203,28400,28470,28245,28315,748,58,5,28145,27784,28256,28561
A192720,파워 고배당저변동성,20181130,28170,28350,28170,28215,267,58,1,28067,27722,28262,28578
A192720,파워 고배당저변동성,20181129,28200,28275,28090,28200,55,58,25,27964,27682,28270,28592
A192720,파워 고배당저변동성,20181128,28015,28015,27850,28000,1404,58,-3,27910,27616,28277,28606
A192720,파워 고배당저변동성,20181127,27875,28040,27820,27995,33,58,-1,27905,27582,28290,28618
A192720,파워 고배당저변동성,20181126,27750,27970,27740,27925,774,58,4,27899,27520,28305,28630
A192720,파워 고배당저변동성,20181123,27930,27930,27605,27700,301,58,0,27888,27475,28316,28642
A192720,파워 고배당저변동성,20181122,27915,28025,27830,27930,273,58,-2,27898,27460,28332,28660
A192720,파워 고배당저변동성,20181121,27680,27975,27625,27975,75,58,0,27832,27461,28342,28678
A192720,파워 고배당저변동성,20181120,27800,27965,27780,27965,37,58,-3,27734,27470,28351,28694
A192720,파워 고배당저변동성,20181119,27785,28030,27785,27870,18361,58,0,27650,27462,28365,28712
A192720,파워 고배당저변동성,20181116,27570,27765,27525,27750,48,58,5,27598,27494,28382,28732
A192720,파워 고배당저변동성,20181115,27385,27600,26635,27600,6814,58,-8,27556,27518,28398,28755
A192720,파워 고배당저변동성,20181114,27515,27515,27360,27485,34,58,-7,27532,27548,28418,28780
A192720,파워 고배당저변동성,20181113,27240,27545,27105,27545,765,58,13,27481,27590,28439,28804
A192720,파워 고배당저변동성,20181112,27405,27610,27405,27610,40,58,0,27443,27612,28458,28829
A192720,파워 고배당저변동성,20181109,27520,27770,27490,27540,799,58,21,27335,27634,28480,28854
A192720,파워 고배당저변동성,20181108,27560,27820,27480,27480,983,58,-12,27309,27656,28501,28881
A192720,파워 고배당저변동성,20181107,27340,27560,27150,27230,30,58,-7,27188,27686,28523,28906
A192720,파워 고배당저변동성,20181106,27180,27355,27125,27355,171,58,10,27210,27780,28551,28931
A192720,파워 고배당저변동성,20181105,27305,27305,26825,27070,4526,58,-13,27089,27855,28578,28954
A192720,파워 고배당저변동성,20181102,26950,27475,26950,27410,36,58,3,27078,27976,28606,28980
A192720,파워 고배당저변동성,20181101,27110,27320,26860,26875,39,58,-19,27077,28076,28626,29005
A192720,파워 고배당저변동성,20181031,26830,27395,26685,27340,20,58,0,27292,28215,28661,29036
A192720,파워 고배당저변동성,20181030,26865,26995,26680,26750,729,58,5,27453,28344,28692,29065
A192720,파워 고배당저변동성,20181029,27480,27545,26950,27015,30,58,-2,27667,28508,28729,29097
A192720,파워 고배당저변동성,20181026,27795,27955,27250,27405,913,58,7,27965,28644,28759,29123
A192720,파워 고배당저변동성,20181025,27890,27950,27620,27950,2208,58,-26,28130,28735,28782,29146
A192720,파워 고배당저변동성,20181024,28005,28310,27980,28145,664,58,1,28181,28784,28794,29164
A192720,파워 고배당저변동성,20181023,28315,28315,27680,27820,945,58,-9,28218,28820,28804,29184
A192720,파워 고배당저변동성,20181022,28090,28620,28055,28505,1786,58,-4,28248,28881,28815,29203
A192720,파워 고배당저변동성,20181019,28025,28365,27835,28230,7072,58,0,28158,28905,28813,29216
