stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A193250,와이제이엠게임즈,20190129,2275,2335,2170,2170,1612635,499310,0,2205,2103,1923,2262
A193250,와이제이엠게임즈,20190128,2265,2290,2215,2275,996586,512351,6000,2215,2097,1917,2267
A193250,와이제이엠게임즈,20190125,2180,2340,2145,2265,4022290,403728,0,2177,2086,1909,2271
A193250,와이제이엠게임즈,20190124,2130,2250,2125,2190,1218224,496174,-70000,2138,2060,1900,2274
A193250,와이제이엠게임즈,20190123,2210,2350,2115,2125,3862494,414012,0,2107,2045,1890,2278
A193250,와이제이엠게임즈,20190122,2110,2270,2080,2220,5957648,510250,70000,2088,2020,1886,2282
A193250,와이제이엠게임즈,20190121,2090,2095,2045,2085,504399,721045,0,2065,1990,1882,2285
A193250,와이제이엠게임즈,20190118,2030,2100,2020,2070,871942,603660,0,2055,1968,1882,2288
A193250,와이제이엠게임즈,20190117,2030,2065,2005,2035,477248,478628,0,2042,1944,1884,2292
A193250,와이제이엠게임즈,20190116,2110,2120,2020,2030,808984,365163,0,2036,1922,1888,2298
A193250,와이제이엠게임즈,20190115,2035,2105,2035,2105,1100392,424936,0,2034,1903,1893,2303
A193250,와이제이엠게임즈,20190114,2005,2055,1965,2035,545597,419513,0,2032,1881,1897,2309
A193250,와이제이엠게임즈,20190111,2020,2030,1970,2005,589375,315781,0,2031,1860,1902,2315
A193250,와이제이엠게임즈,20190110,2030,2090,2005,2005,853583,209822,0,2052,1838,1907,2321
A193250,와이제이엠게임즈,20190109,2090,2135,2020,2020,1765916,161129,0,2073,1819,1911,2328
A193250,와이제이엠게임즈,20190108,2035,2095,1965,2095,2393274,291653,6725,2085,1805,1915,2334
A193250,와이제이엠게임즈,20190107,2150,2170,2015,2030,2074458,198091,-3435,2075,1786,1917,2339
A193250,와이제이엠게임즈,20190104,2110,2230,2095,2110,4133476,211863,0,2079,1778,1926,2345
A193250,와이제이엠게임즈,20190103,2090,2220,2060,2110,6704191,193411,0,2009,1767,1934,2349
A193250,와이제이엠게임즈,20190102,2080,2250,2020,2080,11145495,309643,0,1963,1756,1944,2353
A193250,와이제이엠게임즈,20181228,2040,2090,2005,2045,3310846,625071,0,1875,1744,1956,2358
A193250,와이제이엠게임즈,20181227,1775,2145,1775,2050,20772609,521100,0,1787,1736,1969,2363
A193250,와이제이엠게임즈,20181226,1825,1910,1740,1760,4090932,997446,-29,1705,1729,1983,2367
A193250,와이제이엠게임즈,20181224,1645,2075,1625,1880,11808155,1237913,0,1672,1736,2001,2374
A193250,와이제이엠게임즈,20181221,1585,1690,1575,1640,395282,1504897,0,1617,1738,2019,2380
A193250,와이제이엠게임즈,20181220,1610,1635,1585,1605,154747,1586516,0,1618,1749,2041,2390
A193250,와이제이엠게임즈,20181219,1585,1665,1585,1640,234085,1603080,-29,1630,1764,2062,2399
A193250,와이제이엠게임즈,20181218,1585,1620,1575,1595,218818,1566326,0,1625,1779,2081,2408
A193250,와이제이엠게임즈,20181217,1650,1650,1590,1605,146542,1854738,-28,1617,1798,2101,2418
