stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A195920,TIGER 일본TOPIX(합성 H),20190129,13015,13015,12720,12890,111,4450,19,12883,12674,13123,13693
A195920,TIGER 일본TOPIX(합성 H),20190128,12840,12905,12840,12905,95,4450,11,12877,12650,13134,13708
A195920,TIGER 일본TOPIX(합성 H),20190125,12915,12965,12880,12965,204,4450,150,12878,12626,13146,13723
A195920,TIGER 일본TOPIX(합성 H),20190124,12775,12840,12775,12840,303,4450,-9,12862,12568,13153,13737
A195920,TIGER 일본TOPIX(합성 H),20190123,12785,12855,12780,12815,247,4450,1,12846,12536,13160,13753
A195920,TIGER 일본TOPIX(합성 H),20190122,12915,12955,12860,12860,255,4450,-90,12831,12512,13167,13769
A195920,TIGER 일본TOPIX(합성 H),20190121,12900,12995,12900,12910,185,4450,93,12814,12497,13174,13783
A195920,TIGER 일본TOPIX(합성 H),20190118,12820,12885,12820,12885,1110,4450,269,12740,12497,13188,13797
A195920,TIGER 일본TOPIX(합성 H),20190117,12740,12760,12740,12760,22,4450,9,12698,12500,13203,13809
A195920,TIGER 일본TOPIX(합성 H),20190116,12710,12740,12665,12740,62,4450,-53,12664,12523,13226,13824
A195920,TIGER 일본TOPIX(합성 H),20190115,12315,12775,12315,12775,2234,4450,741,12660,12546,13248,13839
A195920,TIGER 일본TOPIX(합성 H),20190114,12580,12610,12465,12540,252,4450,124,12626,12577,13272,13855
A195920,TIGER 일본TOPIX(합성 H),20190111,12645,12675,12600,12675,51296,4587,994,12624,12614,13300,13871
A195920,TIGER 일본TOPIX(합성 H),20190110,12600,12600,12515,12590,1334,4587,-868,12528,12633,13323,13885
A195920,TIGER 일본TOPIX(합성 H),20190109,12665,12725,12660,12720,154,4587,-20,12423,12662,13346,13900
A195920,TIGER 일본TOPIX(합성 H),20190108,12550,12605,12550,12605,1538,4587,534,12324,12696,13371,13913
A195920,TIGER 일본TOPIX(합성 H),20190107,12480,12550,12480,12530,1782,4587,1559,12281,12734,13396,13926
A195920,TIGER 일본TOPIX(합성 H),20190104,12070,12195,12070,12195,5019,4587,2,12262,12788,13433,13941
A195920,TIGER 일본TOPIX(합성 H),20190103,12085,12085,11985,12065,1169,4587,1056,12183,12863,13478,13958
A195920,TIGER 일본TOPIX(합성 H),20190102,12565,12565,12160,12225,378,5629,178,12211,12960,13527,13975
A195920,TIGER 일본TOPIX(합성 H),20181228,12325,12425,12325,12390,143,5629,95,12232,13040,13574,13989
A195920,TIGER 일본TOPIX(합성 H),20181227,12665,12900,12190,12435,3803,5629,257,12268,13110,13620,14004
A195920,TIGER 일본TOPIX(합성 H),20181226,11840,11940,11670,11800,3267,5629,654,12361,13172,13666,14017
A195920,TIGER 일본TOPIX(합성 H),20181224,12155,12205,12125,12205,2459,5629,819,12592,13264,13722,14037
A195920,TIGER 일본TOPIX(합성 H),20181221,12495,12495,12260,12330,607,6846,-554,12794,13331,13767,14055
A195920,TIGER 일본TOPIX(합성 H),20181220,12660,13415,12500,12570,1586,6846,-374,12969,13389,13810,14072
A195920,TIGER 일본TOPIX(합성 H),20181219,12880,12925,12835,12900,145,6846,-138,13132,13434,13846,14088
A195920,TIGER 일본TOPIX(합성 H),20181218,13210,13210,12895,12955,2310,6846,-811,13209,13459,13878,14101
A195920,TIGER 일본TOPIX(합성 H),20181217,13160,13265,13160,13215,1095,6846,-149,13228,13487,13905,14113
A195920,TIGER 일본TOPIX(합성 H),20181214,13105,13375,13100,13205,535,6846,223,13222,13504,13924,14124
A195920,TIGER 일본TOPIX(합성 H),20181213,13285,13400,13285,13385,10796,6846,323,13260,13520,13942,14136
A195920,TIGER 일본TOPIX(합성 H),20181212,13200,13300,13200,13285,1012,6846,459,13256,13528,13955,14145
A195920,TIGER 일본TOPIX(합성 H),20181211,13060,13060,13000,13050,4939,6846,-11,13321,13542,13968,14155
A195920,TIGER 일본TOPIX(합성 H),20181210,13200,13205,13140,13185,385,6846,-50,13450,13572,13986,14170
A195920,TIGER 일본TOPIX(합성 H),20181207,13470,13470,13330,13395,341,6846,-38,13613,13604,13999,14184
A195920,TIGER 일본TOPIX(합성 H),20181206,13440,13480,13280,13365,5756,6846,4751,13700,13628,14008,14197
A195920,TIGER 일본TOPIX(합성 H),20181205,13505,13645,13485,13610,4774,6846,-3595,13783,13658,14020,14209
A195920,TIGER 일본TOPIX(합성 H),20181204,14120,14120,13695,13695,434,6846,-67,13795,13670,14030,14219
A195920,TIGER 일본TOPIX(합성 H),20181203,13920,14045,13920,14000,2144,6846,873,13786,13676,14039,14229
A195920,TIGER 일본TOPIX(합성 H),20181130,13770,13830,13770,13830,800,6846,-83,13696,13657,14044,14237
A195920,TIGER 일본TOPIX(합성 H),20181129,13560,13865,13560,13780,30509,6846,65,13626,13654,14054,14245
A195920,TIGER 일본TOPIX(합성 H),20181128,13425,13685,13425,13670,35764,6846,309,13565,13644,14065,14253
A195920,TIGER 일본TOPIX(합성 H),20181127,13610,13650,13570,13650,11154,6846,4,13510,13642,14077,14261
A195920,TIGER 일본TOPIX(합성 H),20181126,13600,13600,13455,13550,45,6846,-1,13483,13628,14089,14268
A195920,TIGER 일본TOPIX(합성 H),20181123,13480,13565,13480,13480,7545,6846,-6731,13484,13612,14103,14276
A195920,TIGER 일본TOPIX(합성 H),20181122,13230,13475,13230,13475,17119,117,-520,13496,13602,14115,14286
A195920,TIGER 일본TOPIX(합성 H),20181121,13325,13395,13260,13395,30723,117,-80,13507,13591,14126,14297
A195920,TIGER 일본TOPIX(합성 H),20181120,13415,13525,13415,13515,6639,117,167,13543,13609,14137,14308
A195920,TIGER 일본TOPIX(합성 H),20181119,13560,13585,13555,13555,201,117,-32,13567,13621,14145,14319
A195920,TIGER 일본TOPIX(합성 H),20181116,13505,13670,13470,13540,30252,117,-38,13625,13650,14154,14331
A195920,TIGER 일본TOPIX(합성 H),20181115,13500,13570,13435,13530,30313,117,-40,13692,13678,14164,14345
A195920,TIGER 일본TOPIX(합성 H),20181114,13510,13690,13510,13575,18719,117,0,13775,13711,14173,14358
A195920,TIGER 일본TOPIX(합성 H),20181113,13435,13635,13435,13635,533,117,272,13833,13744,14183,14370
A195920,TIGER 일본TOPIX(합성 H),20181112,13875,13920,13830,13845,7629,117,-146,13866,13765,14189,14382
A195920,TIGER 일본TOPIX(합성 H),20181109,14000,14000,13875,13875,275,117,9,13822,13772,14197,14393
A195920,TIGER 일본TOPIX(합성 H),20181108,13910,14020,13910,13945,4139,117,-947,13803,13788,14207,14402
A195920,TIGER 일본TOPIX(합성 H),20181107,13800,13910,13635,13865,10623,117,-393,13730,13798,14216,14411
A195920,TIGER 일본TOPIX(합성 H),20181106,13670,13800,13670,13800,394,117,-30,13682,13841,14226,14419
A195920,TIGER 일본TOPIX(합성 H),20181105,13665,13695,13625,13625,740,117,82,13598,13896,14236,14427
A195920,TIGER 일본TOPIX(합성 H),20181102,13740,13785,13550,13780,13420,117,-53,13518,13963,14250,14438
A195920,TIGER 일본TOPIX(합성 H),20181101,13465,13660,13465,13580,62238,117,2546,13416,14027,14263,14446
A195920,TIGER 일본TOPIX(합성 H),20181031,13430,13695,13430,13625,40017,117,1445,13352,14107,14282,14457
A195920,TIGER 일본TOPIX(합성 H),20181030,13230,13400,13230,13380,1922,117,9,13377,14185,14299,14467
A195920,TIGER 일본TOPIX(합성 H),20181029,13330,13345,13145,13225,13908,117,-156,13452,14273,14320,14479
A195920,TIGER 일본TOPIX(합성 H),20181026,13345,13375,13175,13270,2932,117,941,13634,14356,14346,14493
A195920,TIGER 일본TOPIX(합성 H),20181025,13560,13560,13230,13260,56174,117,3252,13803,14438,14370,14506
A195920,TIGER 일본TOPIX(합성 H),20181024,13755,13755,13590,13750,30402,117,-50,13988,14514,14392,14519
A195920,TIGER 일본TOPIX(합성 H),20181023,13995,13995,13700,13755,2813,117,2125,14084,14566,14405,14527
A195920,TIGER 일본TOPIX(합성 H),20181022,13995,14135,13935,14135,240,117,-76,14144,14608,14416,14534
A195920,TIGER 일본TOPIX(합성 H),20181019,14025,14125,13975,14115,1513,117,-122,14112,14618,14422,14539
A195920,TIGER 일본TOPIX(합성 H),20181018,14275,14275,14185,14185,782,117,-757,14129,14628,14430,14543
A195920,TIGER 일본TOPIX(합성 H),20181017,14180,14270,14180,14230,2511,117,-385,14120,14627,14438,14547
A195920,TIGER 일본TOPIX(합성 H),20181016,13995,14055,13905,14055,1149,117,-9,14221,14618,14442,14550
A195920,TIGER 일본TOPIX(합성 H),20181015,14000,14065,13965,13975,15070,117,-640,14391,14620,14448,14553
A195920,TIGER 일본TOPIX(합성 H),20181012,14100,14215,14070,14200,41157,117,-285,14589,14621,14454,14556
A195920,TIGER 일본TOPIX(합성 H),20181011,14570,14570,14130,14140,3435,117,1956,14761,14608,14455,14558
A195920,TIGER 일본TOPIX(합성 H),20181010,14715,14745,14645,14735,2928,117,-792,14969,14604,14456,14561
A195920,TIGER 일본TOPIX(합성 H),20181008,14965,14965,14905,14905,1439,117,-110,15057,14578,14450,14559
A195920,TIGER 일본TOPIX(합성 H),20181005,14905,15000,14905,14965,5934,14,3162,15106,14546,14438,14556
A195920,TIGER 일본TOPIX(합성 H),20181004,15180,15180,15015,15060,2543,14,-34,15090,14513,14423,14550
A195920,TIGER 일본TOPIX(합성 H),20181002,15265,15310,15180,15180,3131,14,-992,15060,14481,14405,14545
A195920,TIGER 일본TOPIX(합성 H),20181001,15250,15250,15070,15175,3596,14,-2598,14981,14443,14387,14538
A195920,TIGER 일본TOPIX(합성 H),20180928,15135,15235,15105,15150,46378,14,2267,14900,14404,14368,14531
A195920,TIGER 일본TOPIX(합성 H),20180927,15020,15095,14885,14885,14722,14,-3171,14790,14366,14352,14523
A195920,TIGER 일본TOPIX(합성 H),20180921,14870,14960,14870,14910,34353,14,-2644,14681,14341,14344,14518
A195920,TIGER 일본TOPIX(합성 H),20180920,14850,14850,14755,14785,306158,14,-595,14560,14306,14335,14512
A195920,TIGER 일본TOPIX(합성 H),20180919,14670,14835,14670,14770,7418,14,-3217,14439,14272,14329,14507
A195920,TIGER 일본TOPIX(합성 H),20180918,14340,14600,14340,14600,5346,14,204,14294,14237,14324,14503
A195920,TIGER 일본TOPIX(합성 H),20180917,14355,14355,14270,14340,24832,14,-6,14195,14207,14320,14498
A195920,TIGER 일본TOPIX(합성 H),20180914,14265,14325,14265,14305,44817,2,2960,14125,14194,14324,14493
A195920,TIGER 일본TOPIX(합성 H),20180913,14195,14195,14120,14180,33809,2,966,14050,14185,14329,14494
A195920,TIGER 일본TOPIX(합성 H),20180912,13950,14060,13950,14045,1894,2,-520,14025,14180,14335,14495
A195920,TIGER 일본TOPIX(합성 H),20180911,13990,14110,13990,14105,653688,2,268,14059,14186,14342,14497
A195920,TIGER 일본TOPIX(합성 H),20180910,13995,14025,13970,13990,89729,2,-224,14094,14182,14353,14499
A195920,TIGER 일본TOPIX(합성 H),20180907,13985,13985,13890,13930,101515,2,-254,14156,14197,14369,14504
A195920,TIGER 일본TOPIX(합성 H),20180906,14110,14110,14000,14055,126457,2,-38,14253,14225,14386,14509
A195920,TIGER 일본TOPIX(합성 H),20180905,14230,14230,14125,14215,58593,2,-347,14327,14246,14399,14513
A195920,TIGER 일본TOPIX(합성 H),20180904,14335,14335,14240,14280,358851,0,-807,14365,14260,14409,14516
A195920,TIGER 일본TOPIX(합성 H),20180903,14280,14345,14200,14300,213183,0,291,14387,14265,14419,14518
A195920,TIGER 일본TOPIX(합성 H),20180831,14400,14420,14330,14415,81768,0,13,14402,14273,14429,14517
A195920,TIGER 일본TOPIX(합성 H),20180830,14405,14505,14395,14425,206324,0,-265,14360,14282,14435,14516
A195920,TIGER 일본TOPIX(합성 H),20180829,14395,14475,14395,14405,143318,0,194,14298,14297,14441,14514
A195920,TIGER 일본TOPIX(합성 H),20180828,14425,14480,14385,14390,710923,0,676,14229,14308,14445,14514
A195920,TIGER 일본TOPIX(합성 H),20180827,14265,14380,14260,14375,190038,0,29,14153,14322,14447,14512
A195920,TIGER 일본TOPIX(합성 H),20180824,14170,14210,14100,14205,113562,0,158,14093,14341,14448,14511
A195920,TIGER 일본TOPIX(합성 H),20180823,14095,14135,14060,14115,105976,0,19,14077,14366,14456,14516
A195920,TIGER 일본TOPIX(합성 H),20180822,14015,14095,13955,14060,126143,0,126,14070,14390,14467,14522
A195920,TIGER 일본TOPIX(합성 H),20180821,13945,14035,13915,14010,44755,0,-2234,14093,14413,14480,14529
A195920,TIGER 일본TOPIX(합성 H),20180820,14115,14115,14040,14075,259,0,-88,14093,14433,14493,14534
A195920,TIGER 일본TOPIX(합성 H),20180817,14100,14125,14100,14125,5,0,-3,14137,14454,14508,14538
A195920,TIGER 일본TOPIX(합성 H),20180816,14030,14080,13885,14080,1077,0,-552,14210,14478,14526,14543
A195920,TIGER 일본TOPIX(합성 H),20180814,14010,14180,14010,14175,20158,0,-97,14291,14505,14543,14549
A195920,TIGER 일본TOPIX(합성 H),20180813,14130,14130,13995,14010,620,0,-236,14353,14521,14558,14554
A195920,TIGER 일본TOPIX(합성 H),20180810,14400,14400,14285,14295,321,0,135,14427,14541,14575,14556
A195920,TIGER 일본TOPIX(합성 H),20180809,14310,14500,14310,14490,81054,0,496,14459,14543,14589,14556
A195920,TIGER 일본TOPIX(합성 H),20180808,14600,14600,14485,14485,1549,0,126,14481,14533,14598,14556
A195920,TIGER 일본TOPIX(합성 H),20180807,14425,14515,14400,14485,6640,0,-1505,14530,14518,14606,14556
