stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A196450,텔루스,20190129,1130,1130,1085,1100,2610286,568492,0,1105,1202,1109,1069
A196450,텔루스,20190128,1170,1195,1120,1125,3979996,374211,0,1108,1198,1107,1071
A196450,텔루스,20190125,1105,1145,1085,1115,3277668,773367,0,1126,1194,1102,1073
A196450,텔루스,20190124,1085,1120,1085,1115,2824035,694947,0,1151,1189,1095,1075
A196450,텔루스,20190123,1125,1140,1065,1070,4723706,527041,51,1221,1183,1087,1076
A196450,텔루스,20190122,1225,1235,1100,1115,8413333,561154,-70,1275,1179,1081,1077
A196450,텔루스,20190121,1240,1275,1190,1215,5691221,715768,0,1314,1174,1075,1077
A196450,텔루스,20190118,1335,1410,1200,1240,26242013,373845,361,1328,1167,1067,1077
A196450,텔루스,20190117,1350,1515,1310,1465,41244683,1252349,-16,1345,1158,1058,1076
A196450,텔루스,20190116,1325,1350,1240,1340,15263820,544395,45,1322,1135,1046,1075
A196450,텔루스,20190115,1310,1385,1285,1310,22213171,255781,42,1308,1118,1037,1079
A196450,텔루스,20190114,1325,1375,1215,1285,10717849,389258,-44,1295,1103,1028,1084
A196450,텔루스,20190111,1375,1465,1270,1325,21937216,497818,-7500,1274,1088,1020,1090
A196450,텔루스,20190110,1265,1520,1265,1350,44343386,733321,7500,1223,1072,1011,1095
A196450,텔루스,20190109,1250,1315,1145,1270,12569147,651425,48,1164,1057,1002,1101
A196450,텔루스,20190108,1175,1250,1145,1245,6495067,1188438,49,1122,1046,994,1107
A196450,텔루스,20190107,1065,1190,1060,1180,5218617,1511202,50,1074,1034,987,1113
A196450,텔루스,20190104,1025,1075,1025,1070,1007571,1057822,54,1047,1028,983,1119
A196450,텔루스,20190103,1060,1075,1030,1055,777308,1154866,54,1037,1030,982,1128
A196450,텔루스,20190102,1035,1080,1025,1060,2186616,1206389,0,1026,1033,979,1135
A196450,텔루스,20181228,1045,1055,1000,1005,821770,811204,0,1012,1033,975,1141
A196450,텔루스,20181227,1040,1050,1015,1045,1019246,804498,0,1013,1036,972,1148
A196450,텔루스,20181226,970,1100,970,1020,3062065,680247,0,1018,1036,968,1154
