stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A201490,미투온,20190129,6020,6020,5920,5970,143379,1719365,4,5980,5804,5920,6299
A201490,미투온,20190128,5980,6030,5940,6010,213813,1727512,12,5970,5786,5913,6305
A201490,미투온,20190125,6000,6090,5830,5960,390721,1703409,179,5946,5758,5901,6310
A201490,미투온,20190124,6020,6020,5940,5970,137444,1675373,-3,5946,5732,5888,6316
A201490,미투온,20190123,5920,6090,5860,5990,213919,1685036,-2,5934,5720,5875,6321
A201490,미투온,20190122,5930,5960,5800,5920,207984,1652952,-2,5938,5710,5869,6328
A201490,미투온,20190121,6070,6070,5870,5890,136368,1657888,620,5942,5687,5868,6335
A201490,미투온,20190118,5930,6080,5910,5960,233266,1661303,306,5924,5667,5870,6341
A201490,미투온,20190117,6030,6050,5850,5910,188738,1649910,-4,5882,5641,5875,6348
A201490,미투온,20190116,5960,6040,5880,6010,323528,1677047,-481,5848,5620,5884,6358
A201490,미투온,20190115,5800,6100,5800,5940,688790,1654449,-7,5780,5604,5892,6366
A201490,미투온,20190114,5740,5870,5720,5800,240548,1637017,1730,5698,5600,5900,6377
A201490,미투온,20190111,5800,5800,5690,5750,207942,1608099,-602,5646,5600,5911,6390
A201490,미투온,20190110,5840,5850,5620,5740,274086,1597608,95,5598,5594,5923,6403
A201490,미투온,20190109,5580,5750,5510,5670,247341,1638085,5,5542,5592,5931,6414
A201490,미투온,20190108,5550,5590,5500,5530,86721,1619743,341,5520,5604,5939,6426
A201490,미투온,20190107,5620,5620,5490,5540,114062,1614124,-6,5534,5622,5948,6438
A201490,미투온,20190104,5460,5560,5320,5510,235998,1594193,-74,5514,5650,5966,6451
A201490,미투온,20190103,5520,5620,5450,5460,202690,1628430,-1066,5500,5690,5988,6462
A201490,미투온,20190102,5630,5700,5480,5560,175595,1628179,-205,5558,5735,6011,6473
A201490,미투온,20181228,5450,5650,5450,5600,145216,1636243,12,5600,5777,6034,6482
A201490,미투온,20181227,5580,5660,5430,5440,149783,1650828,-256,5574,5822,6058,6492
A201490,미투온,20181226,5620,5680,5430,5440,186243,1657277,497,5584,5864,6086,6502
A201490,미투온,20181224,5760,5920,5680,5750,187788,1681175,-11,5584,5908,6116,6514
A201490,미투온,20181221,5400,5850,5400,5770,420683,1695736,-14,5532,5932,6143,6526
A201490,미투온,20181220,5510,5590,5400,5470,121592,1615149,408,5516,5952,6168,6538
A201490,미투온,20181219,5450,5550,5440,5490,128351,1609980,737,5592,5996,6194,6554
A201490,미투온,20181218,5440,5600,5330,5440,104847,1607852,107,5654,6030,6219,6570
A201490,미투온,20181217,5610,5680,5440,5490,179212,1610022,-4,5694,6068,6243,6585
A201490,미투온,20181214,5850,5900,5690,5690,101523,1597304,809,5734,6108,6264,6600
A201490,미투온,20181213,5760,5940,5760,5850,115075,1613525,1385,5778,6132,6282,6614
A201490,미투온,20181212,5660,5800,5630,5800,94108,1606221,-6,5788,6147,6298,6626
A201490,미투온,20181211,5700,5950,5630,5640,195542,1584674,-195,5850,6158,6316,6637
A201490,미투온,20181210,5870,5890,5620,5690,164531,1620577,-217,5982,6176,6339,6652
A201490,미투온,20181207,5920,6030,5850,5910,140963,1635680,-576,6116,6193,6360,6669
A201490,미투온,20181206,6060,6080,5850,5900,270274,1651326,0,6214,6208,6380,6685
A201490,미투온,20181205,6210,6300,6080,6110,214077,1666479,0,6334,6227,6402,6703
A201490,미투온,20181204,6300,6410,6290,6300,143865,1693508,0,6366,6232,6419,6721
A201490,미투온,20181203,6500,6500,6270,6360,228356,1683091,-564,6372,6226,6434,6738
A201490,미투온,20181130,6460,6590,6360,6400,156941,1687627,618,6348,6210,6448,6752
A201490,미투온,20181129,6330,6690,6320,6500,512377,1707754,476,6300,6180,6462,6768
A201490,미투온,20181128,6290,6360,6260,6270,149646,1700677,0,6270,6130,6474,6780
A201490,미투온,20181127,6240,6410,6230,6330,194922,1746019,0,6248,6083,6489,6791
A201490,미투온,20181126,6110,6270,6110,6240,156978,1730394,0,6222,6026,6502,6803
A201490,미투온,20181123,6410,6440,6060,6160,271606,1697198,-19,6232,5973,6515,6814
A201490,미투온,20181122,6160,6460,6160,6350,379329,1765178,0,6238,5945,6529,6827
A201490,미투온,20181121,6130,6260,6090,6160,166317,1711862,-2,6196,5920,6538,6840
A201490,미투온,20181120,6230,6270,6160,6200,139231,1678572,0,6168,5915,6549,6854
A201490,미투온,20181119,6220,6340,6200,6290,180094,1666725,-262,6130,5916,6560,6868
A201490,미투온,20181116,6200,6280,6170,6190,151740,1631605,0,6076,5924,6566,6882
A201490,미투온,20181115,6040,6160,5990,6140,158899,1607890,-1,6078,5938,6574,6898
A201490,미투온,20181114,6020,6180,5960,6020,181679,1581773,0,6108,5954,6580,6914
A201490,미투온,20181113,5840,6010,5770,6010,178029,1587882,-791,6148,5976,6592,6930
A201490,미투온,20181112,6170,6300,6000,6020,205850,1548655,0,6178,5998,6603,6947
A201490,미투온,20181109,6290,6300,6070,6200,232815,1553779,-1431,6182,6009,6620,6965
A201490,미투온,20181108,6400,6660,6190,6290,744751,1529581,0,6104,6005,6634,6984
A201490,미투온,20181107,6160,6360,6130,6220,374244,1543228,892,5946,5996,6640,7004
A201490,미투온,20181106,6040,6340,5960,6160,302266,1516912,1,5768,6015,6647,7025
A201490,미투온,20181105,5800,6340,5680,6040,509225,1523712,-187,5574,6050,6654,7046
A201490,미투온,20181102,5510,5850,5510,5810,352159,1579758,1275,5402,6090,6663,7068
A201490,미투온,20181101,5360,5550,5340,5500,269786,1509308,2,5360,6146,6677,7090
A201490,미투온,20181031,5200,5440,5090,5330,370832,1485107,116,5432,6222,6697,7114
