stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A204210,모두투어리츠,20190129,3130,3130,3070,3105,1093,16362,-15,3088,3133,3112,3244
A204210,모두투어리츠,20190128,3120,3145,3090,3090,4537,16362,-9,3080,3134,3111,3247
A204210,모두투어리츠,20190125,3090,3100,3070,3085,389,16362,-1,3073,3134,3112,3251
A204210,모두투어리츠,20190124,3090,3090,3040,3090,34,16362,0,3083,3134,3111,3254
A204210,모두투어리츠,20190123,3065,3085,3065,3070,214,19962,7,3097,3134,3111,3257
A204210,모두투어리츠,20190122,3100,3100,3040,3065,18960,19962,-10,3119,3132,3113,3262
A204210,모두투어리츠,20190121,3175,3175,3055,3055,15591,19962,-9,3141,3132,3113,3265
A204210,모두투어리츠,20190118,3200,3325,3085,3135,17221,19962,11,3168,3138,3115,3268
A204210,모두투어리츠,20190117,3180,3180,3080,3160,10351,19962,-8,3177,3136,3116,3270
A204210,모두투어리츠,20190116,3270,3270,3165,3180,1757,19962,4,3179,3134,3115,3273
A204210,모두투어리츠,20190115,3190,3190,3175,3175,651,19962,3,3163,3130,3116,3275
A204210,모두투어리츠,20190114,3270,3290,3125,3190,5767,19962,4,3166,3125,3117,3277
A204210,모두투어리츠,20190111,3260,3310,3145,3180,1841,19962,29,3165,3116,3118,3280
A204210,모두투어리츠,20190110,3180,3180,3050,3170,3876,19962,16,3159,3109,3120,3282
A204210,모두투어리츠,20190109,3310,3310,3070,3100,2407,19962,6,3155,3105,3122,3285
A204210,모두투어리츠,20190108,3275,3275,3135,3190,573,19962,17,3163,3104,3125,3288
A204210,모두투어리츠,20190107,3280,3280,3185,3185,106,19962,36,3149,3098,3126,3290
A204210,모두투어리츠,20190104,3150,3150,3120,3150,308,19962,6,3128,3093,3129,3293
A204210,모두투어리츠,20190103,3300,3300,3140,3150,149,19962,26,3115,3088,3133,3295
A204210,모두투어리츠,20190102,3235,3235,3055,3140,580,19962,-2,3103,3085,3138,3298
A204210,모두투어리츠,20181228,3150,3215,3025,3120,1969,19962,37,3083,3083,3142,3300
A204210,모두투어리츠,20181227,3080,3080,3010,3080,5503,19962,18,3073,3083,3146,3303
A204210,모두투어리츠,20181226,3085,3140,3015,3085,2044,19962,13,3090,3083,3151,3306
A204210,모두투어리츠,20181224,3085,3090,3005,3090,5707,19962,-108,3093,3084,3156,3309
A204210,모두투어리츠,20181221,3065,3075,3040,3040,1662,19962,80,3097,3089,3160,3312
A204210,모두투어리츠,20181220,3200,3200,2980,3070,19266,19962,24,3109,3094,3166,3315
A204210,모두투어리츠,20181219,3130,3290,3050,3165,9996,19962,24,3111,3097,3172,3319
A204210,모두투어리츠,20181218,3120,3120,3080,3100,325,19962,23,3081,3096,3176,3322
A204210,모두투어리츠,20181217,3140,3145,3070,3110,303,19962,31,3068,3101,3182,3325
A204210,모두투어리츠,20181214,3085,3190,3060,3100,2362,19962,104,3065,3105,3188,3329
A204210,모두투어리츠,20181213,3030,3250,3030,3080,8958,19962,63,3059,3108,3194,3333
A204210,모두투어리츠,20181212,3025,3200,2985,3015,10427,19962,71,3060,3113,3201,3337
A204210,모두투어리츠,20181211,3105,3105,3035,3035,721,19962,25,3072,3114,3211,3342
A204210,모두투어리츠,20181210,3160,3165,3060,3095,1349,19962,7,3077,3116,3217,3347
A204210,모두투어리츠,20181207,3090,3360,3050,3070,8958,19962,37,3075,3116,3223,3352
A204210,모두투어리츠,20181206,3080,3365,3010,3085,20775,19962,18,3082,3120,3229,3357
A204210,모두투어리츠,20181205,3080,3085,3005,3075,6157,19962,0,3089,3120,3235,3362
A204210,모두투어리츠,20181204,3085,3125,3015,3060,2395,19962,11,3090,3118,3240,3366
A204210,모두투어리츠,20181203,3200,3200,3010,3085,9798,19962,21,3096,3118,3246,3371
A204210,모두투어리츠,20181130,3115,3115,3060,3105,3562,19962,4,3118,3118,3252,3376
A204210,모두투어리츠,20181129,3100,3140,3050,3120,3724,19962,11,3127,3121,3257,3381
A204210,모두투어리츠,20181128,3130,3140,3045,3080,5560,19962,3,3127,3117,3262,3386
A204210,모두투어리츠,20181127,3195,3250,3040,3090,20720,19962,4,3141,3120,3268,3392
A204210,모두투어리츠,20181126,3195,3285,3015,3195,13031,19962,6,3162,3117,3274,3398
A204210,모두투어리츠,20181123,3150,3170,3145,3150,479,19962,6,3161,3112,3278,3403
A204210,모두투어리츠,20181122,3150,3170,3105,3120,234,19962,-10,3166,3112,3283,3408
A204210,모두투어리츠,20181121,3200,3200,3010,3150,1703,19962,20,3176,3110,3288,3413
A204210,모두투어리츠,20181120,3210,3210,3135,3195,1570,19962,0,3154,3110,3293,3416
A204210,모두투어리츠,20181119,3220,3220,3190,3190,363,19962,31,3127,3110,3297,3422
A204210,모두투어리츠,20181116,3215,3215,3135,3175,919,19962,-13,3111,3108,3301,3427
A204210,모두투어리츠,20181115,3100,3220,3000,3170,4362,19962,3,3106,3111,3304,3433
A204210,모두투어리츠,20181114,3060,3060,2995,3040,4084,19962,6,3090,3114,3310,3438
A204210,모두투어리츠,20181113,3140,3140,3005,3060,1807,19962,16,3087,3123,3318,3445
A204210,모두투어리츠,20181112,3185,3185,3045,3110,278,19962,4,3087,3135,3325,3451
A204210,모두투어리츠,20181109,3210,3210,3060,3150,4112,19962,37,3084,3146,3332,3457
A204210,모두투어리츠,20181108,3085,3140,2910,3090,2693,19962,14,3084,3152,3339,3463
