stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A204630,화이브라더스코리아,20190129,3130,3130,2910,2995,151663,8251825,-25610,3186,3012,3035,3201
A204630,화이브라더스코리아,20190128,3295,3295,3030,3085,246304,8242266,0,3243,3002,3024,3209
A204630,화이브라더스코리아,20190125,3350,3350,3115,3295,137194,8251258,0,3282,2985,3011,3214
A204630,화이브라더스코리아,20190124,3270,3380,3245,3320,239115,8261381,12000,3257,2956,2993,3217
A204630,화이브라더스코리아,20190123,3260,3280,3170,3235,39498,8257615,4593,3208,2934,2976,3220
A204630,화이브라더스코리아,20190122,3290,3430,3170,3280,142129,8255569,5407,3161,2922,2966,3224
A204630,화이브라더스코리아,20190121,3165,3345,3165,3280,167336,8270156,10000,3101,2910,2955,3227
A204630,화이브라더스코리아,20190118,3115,3245,3075,3170,101150,8269071,0,3030,2896,2946,3231
A204630,화이브라더스코리아,20190117,3070,3075,2985,3075,62063,8262127,0,2972,2883,2941,3237
A204630,화이브라더스코리아,20190116,3020,3020,2965,3000,22923,8261827,0,2923,2879,2938,3244
A204630,화이브라더스코리아,20190115,2925,3040,2875,2980,33815,8262252,0,2887,2883,2936,3253
A204630,화이브라더스코리아,20190114,2980,2980,2890,2925,42539,8261173,0,2842,2889,2934,3263
A204630,화이브라더스코리아,20190111,2870,2945,2830,2880,28713,8259577,0,2831,2897,2932,3275
A204630,화이브라더스코리아,20190110,2900,2900,2795,2830,35601,8256708,0,2815,2910,2931,3286
A204630,화이브라더스코리아,20190109,2755,2875,2755,2820,28763,8255663,0,2812,2925,2934,3298
A204630,화이브라더스코리아,20190108,2890,2890,2755,2755,18619,8254077,0,2813,2941,2934,3308
A204630,화이브라더스코리아,20190107,2785,2915,2730,2870,15295,8255158,0,2822,2965,2932,3319
A204630,화이브라더스코리아,20190104,2770,2815,2635,2800,28503,8255812,0,2796,2987,2941,3330
A204630,화이브라더스코리아,20190103,2770,2830,2770,2815,11349,8255307,0,2782,3012,2951,3342
A204630,화이브라더스코리아,20190102,2935,2935,2780,2825,18819,8255084,0,2791,3029,2960,3353
A204630,화이브라더스코리아,20181228,2740,2850,2705,2800,35465,8257498,0,2826,3047,2972,3365
A204630,화이브라더스코리아,20181227,2750,2790,2680,2740,26997,8275362,0,2874,3064,2984,3375
A204630,화이브라더스코리아,20181226,2790,3030,2700,2730,105209,8274274,0,2926,3088,2997,3386
A204630,화이브라더스코리아,20181224,3000,3080,2800,2860,45662,8273173,0,2962,3116,3009,3397
A204630,화이브라더스코리아,20181221,3070,3080,2950,3000,31000,8275799,0,2990,3135,3020,3406
A204630,화이브라더스코리아,20181220,2950,3060,2950,3040,25137,8278811,0,3006,3149,3030,3414
A204630,화이브라더스코리아,20181219,2915,3165,2850,3000,58418,8267881,0,3017,3162,3038,3424
A204630,화이브라더스코리아,20181218,3000,3050,2890,2910,49225,8269871,0,3034,3182,3049,3433
A204630,화이브라더스코리아,20181217,3015,3115,2960,3000,33277,8262150,0,3079,3204,3060,3444
A204630,화이브라더스코리아,20181214,3095,3125,3045,3080,7822,8259926,0,3106,3216,3070,3454
A204630,화이브라더스코리아,20181213,3085,3135,3065,3095,21585,8259133,0,3119,3225,3080,3463
A204630,화이브라더스코리아,20181212,3135,3135,3080,3085,13884,8249347,0,3146,3236,3088,3473
A204630,화이브라더스코리아,20181211,3135,3185,3045,3135,30868,8248459,0,3192,3244,3098,3483
A204630,화이브라더스코리아,20181210,3050,3160,3050,3135,21300,8242016,0,3225,3239,3107,3495
A204630,화이브라더스코리아,20181207,3200,3265,3105,3145,18236,8239347,0,3230,3234,3115,3506
A204630,화이브라더스코리아,20181206,3275,3335,3060,3230,44387,8236622,0,3236,3229,3122,3518
A204630,화이브라더스코리아,20181205,3255,3340,3255,3315,23292,8233872,0,3220,3199,3129,3528
A204630,화이브라더스코리아,20181204,3160,3475,3110,3300,163290,8223430,0,3202,3158,3134,3539
A204630,화이브라더스코리아,20181203,3215,3265,3130,3160,45477,8229929,0,3198,3119,3139,3552
A204630,화이브라더스코리아,20181130,3155,3380,3115,3175,96717,8229116,0,3215,3083,3146,3567
A204630,화이브라더스코리아,20181129,3245,3295,3125,3150,39054,8232645,0,3235,3046,3154,3580
A204630,화이브라더스코리아,20181128,3250,3295,3185,3225,39644,8231734,0,3267,3006,3161,3593
A204630,화이브라더스코리아,20181127,3295,3310,3135,3280,49756,8232606,0,3301,2958,3168,3603
A204630,화이브라더스코리아,20181126,3300,3310,3130,3245,105927,8232197,0,3316,2908,3174,3614
A204630,화이브라더스코리아,20181123,3310,3350,3090,3275,119492,8224505,0,3314,2860,3180,3623
A204630,화이브라더스코리아,20181122,3440,3450,3270,3310,68761,8216450,0,3309,2826,3187,3634
A204630,화이브라더스코리아,20181121,3340,3475,3265,3395,61001,8207911,-22,3311,2794,3192,3643
A204630,화이브라더스코리아,20181120,3140,3400,3125,3355,111672,8210146,0,3283,2761,3196,3651
A204630,화이브라더스코리아,20181119,3250,3350,3155,3235,67114,8211767,0,3217,2737,3200,3661
A204630,화이브라더스코리아,20181116,3370,3375,3250,3250,79566,8211410,0,3178,2719,3206,3672
A204630,화이브라더스코리아,20181115,3285,3390,3120,3320,91004,8219374,0,3137,2701,3212,3683
A204630,화이브라더스코리아,20181114,2900,3310,2865,3255,185070,8223241,0,2998,2677,3217,3694
A204630,화이브라더스코리아,20181113,3005,3035,2790,3025,99177,8238476,0,2846,2655,3222,3706
A204630,화이브라더스코리아,20181112,3090,3275,3005,3040,252607,8240612,-20,2744,2644,3232,3718
A204630,화이브라더스코리아,20181109,2675,3070,2660,3045,432492,8264115,-20,2624,2642,3244,3731
A204630,화이브라더스코리아,20181108,2525,2775,2455,2625,116763,8280380,0,2503,2630,3256,3744
A204630,화이브라더스코리아,20181107,2510,2545,2400,2495,33967,8286029,-17,2448,2634,3276,3761
