stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A205500,액션스퀘어,20190129,2470,2510,2385,2480,1421943,221813,0,2154,1883,2229,3363
A205500,액션스퀘어,20190128,2625,2715,2380,2445,5424329,53624,76008,2012,1847,2233,3390
A205500,액션스퀘어,20190125,1890,2310,1880,2310,5440548,228399,-36375,1880,1811,2235,3418
A205500,액션스퀘어,20190124,1780,1840,1740,1780,188793,335264,-12533,1789,1782,2237,3446
A205500,액션스퀘어,20190123,1750,1785,1745,1755,99963,303312,-30960,1808,1785,2247,3480
A205500,액션스퀘어,20190122,1790,1825,1740,1770,156975,304009,-63434,1812,1796,2261,3513
A205500,액션스퀘어,20190121,1855,1895,1745,1785,159319,304141,0,1796,1794,2278,3547
A205500,액션스퀘어,20190118,1850,1935,1820,1855,168262,304982,0,1780,1794,2297,3581
A205500,액션스퀘어,20190117,1780,1950,1775,1875,492019,300231,0,1762,1792,2317,3615
A205500,액션스퀘어,20190116,1715,1810,1675,1775,249772,259612,0,1735,1794,2339,3649
A205500,액션스퀘어,20190115,1715,1715,1665,1690,142522,190505,-38073,1741,1804,2365,3685
A205500,액션스퀘어,20190114,1765,1765,1665,1705,287871,169436,-79938,1751,1831,2392,3721
A205500,액션스퀘어,20190111,1790,2150,1745,1765,1372406,185269,-262328,1781,1855,2419,3757
A205500,액션스퀘어,20190110,1850,1850,1720,1740,766025,261003,524947,1790,1871,2444,3792
A205500,액션스퀘어,20190109,1740,1830,1740,1805,98548,245027,-3,1812,1892,2468,3824
A205500,액션스퀘어,20190108,1870,1895,1740,1740,178563,223929,149,1825,1916,2495,3856
A205500,액션스퀘어,20190107,1810,1920,1810,1855,132493,226159,-7,1829,1946,2521,3886
A205500,액션스퀘어,20190104,1820,1885,1755,1810,64364,228513,-57,1804,1975,2550,3917
A205500,액션스퀘어,20190103,1890,1920,1810,1850,84213,224558,-48,1786,2023,2582,3948
A205500,액션스퀘어,20190102,1800,1910,1770,1870,116586,240704,-124,1784,2074,2620,3982
A205500,액션스퀘어,20181228,1725,1800,1700,1760,97617,242907,-24,1806,2117,2662,4016
A205500,액션스퀘어,20181227,1880,1880,1695,1730,87538,240217,-66,1798,2168,2707,4050
A205500,액션스퀘어,20181226,1715,1830,1700,1720,122815,246188,449,1812,2221,2753,4084
A205500,액션스퀘어,20181224,1980,2060,1785,1840,318948,252224,0,1832,2276,2798,4118
A205500,액션스퀘어,20181221,1720,2010,1705,1980,389318,301101,0,1844,2329,2840,4157
A205500,액션스퀘어,20181220,1800,1805,1710,1720,105638,331838,0,1845,2373,2880,4197
A205500,액션스퀘어,20181219,1860,1870,1630,1800,377470,310815,-3,1945,2436,2923,4251
A205500,액션스퀘어,20181218,1900,1905,1765,1820,177432,267879,295,2023,2500,2968,4303
A205500,액션스퀘어,20181217,2010,2010,1780,1900,234198,258923,-4,2077,2570,3015,4356
A205500,액션스퀘어,20181214,2240,2240,1930,1985,265458,215843,-2,2130,2623,3062,4408
A205500,액션스퀘어,20181213,2190,2250,2110,2220,88843,221425,-3,2186,2638,3109,4457
A205500,액션스퀘어,20181212,2070,2190,2070,2190,85219,205839,-5,2212,2642,3148,4506
A205500,액션스퀘어,20181211,2185,2185,2030,2090,124321,179076,-6,2262,2651,3188,4558
A205500,액션스퀘어,20181210,2325,2325,2125,2165,160438,156677,-9,2398,2665,3231,4610
A205500,액션스퀘어,20181207,2370,2395,2265,2265,149833,153507,-569,2538,2678,3273,4664
A205500,액션스퀘어,20181206,2405,2485,2275,2350,226016,158602,0,2632,2691,3317,4718
A205500,액션스퀘어,20181205,2685,2700,2425,2440,492146,179217,0,2718,2698,3362,4770
A205500,액션스퀘어,20181204,2880,2895,2730,2770,235693,243485,0,2786,2698,3406,4823
A205500,액션스퀘어,20181203,2770,2865,2725,2865,312513,283419,0,2799,2689,3445,4875
A205500,액션스퀘어,20181130,2815,2825,2705,2735,169166,284827,0,2804,2682,3482,4922
A205500,액션스퀘어,20181129,2835,2840,2640,2780,318412,291663,0,2828,2687,3526,4970
A205500,액션스퀘어,20181128,2835,2880,2695,2780,445855,263778,0,2869,2682,3571,5018
A205500,액션스퀘어,20181127,2890,3085,2810,2835,1122409,213317,0,2929,2674,3616,5065
A205500,액션스퀘어,20181126,2875,2975,2850,2890,309989,215938,-4952,3004,2653,3660,5112
A205500,액션스퀘어,20181123,3045,3045,2825,2855,409176,182439,0,3021,2626,3703,5158
A205500,액션스퀘어,20181122,3080,3140,2935,2985,392538,168020,0,2908,2614,3748,5207
A205500,액션스퀘어,20181121,3235,3275,3045,3080,576396,160993,0,2770,2603,3792,5253
A205500,액션스퀘어,20181120,3040,3460,2975,3210,4340922,147958,0,2627,2596,3833,5300
A205500,액션스퀘어,20181119,2330,2975,2320,2975,2527530,300284,0,2459,2589,3871,5345
A205500,액션스퀘어,20181116,2390,2390,2195,2290,109638,285965,0,2351,2601,3912,5395
A205500,액션스퀘어,20181115,2410,2410,2230,2295,42996,274125,4000,2397,2653,3964,5452
A205500,액션스퀘어,20181114,2440,2440,2315,2365,38547,275772,0,2434,2703,4016,5507
A205500,액션스퀘어,20181113,2360,2410,2295,2370,24115,279905,0,2449,2752,4067,5563
A205500,액션스퀘어,20181112,2445,2490,2365,2435,15421,280507,0,2495,2795,4118,5619
A205500,액션스퀘어,20181109,2530,2530,2400,2520,13398,283149,0,2554,2832,4173,5673
A205500,액션스퀘어,20181108,2560,2560,2405,2480,16569,285585,0,2615,2878,4227,5725
A205500,액션스퀘어,20181107,2590,2645,2415,2440,45297,284539,578,2657,2918,4283,5775
A205500,액션스퀘어,20181106,2755,2755,2490,2600,92488,293788,0,2689,2976,4339,5823
A205500,액션스퀘어,20181105,2825,2850,2660,2730,29112,294072,-3,2653,3034,4394,5870
A205500,액션스퀘어,20181102,2690,2835,2690,2825,45257,295885,-10,2580,3103,4449,5915
A205500,액션스퀘어,20181101,2600,2780,2600,2690,31456,298515,-1,2535,3183,4498,5963
A205500,액션스퀘어,20181031,2540,2640,2410,2600,50221,305540,-1,2551,3272,4547,6010
A205500,액션스퀘어,20181030,2275,2480,2100,2420,80890,299899,15,2618,3366,4600,6057
A205500,액션스퀘어,20181029,2600,2600,2310,2365,93568,287373,0,2748,3464,4656,6106
A205500,액션스퀘어,20181026,2890,2890,2600,2600,52392,269916,0,2919,3564,4712,6159
A205500,액션스퀘어,20181025,2775,2835,2625,2770,77151,260776,-2,3065,3652,4765,6209
A205500,액션스퀘어,20181024,3055,3100,2930,2935,45956,249923,-8760,3171,3731,4816,6256
A205500,액션스퀘어,20181023,3220,3220,2980,3070,39942,250871,0,3251,3809,4866,6303
A205500,액션스퀘어,20181022,3280,3330,3180,3220,22908,252291,-1,3283,3888,4912,6349
A205500,액션스퀘어,20181019,3180,3340,3010,3330,41435,252447,-13,3277,3961,4958,6396
A205500,액션스퀘어,20181018,3345,3385,3230,3300,13533,253060,0,3296,4034,5004,6442
A205500,액션스퀘어,20181017,3230,3540,3230,3335,59978,254999,1,3293,4100,5050,6489
A205500,액션스퀘어,20181016,3190,3230,3110,3230,48269,256535,1,3346,4163,5095,6539
A205500,액션스퀘어,20181015,3570,3570,3100,3190,67135,247562,-11,3453,4234,5140,6588
A205500,액션스퀘어,20181012,3260,3430,3195,3425,82068,243980,3,3635,4309,5180,6636
A205500,액션스퀘어,20181011,3620,3635,3260,3285,251469,228174,-17,3835,4382,5217,6682
