stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A207490,에이펙스인텍,20190129,6170,6170,6170,6170,0,0,0,6136,5834,0,0
A207490,에이펙스인텍,20190128,6170,6170,6170,6170,0,0,0,6102,5801,0,0
A207490,에이펙스인텍,20190125,6170,6170,6170,6170,0,0,0,6050,5768,0,0
A207490,에이펙스인텍,20190124,6170,6170,6170,6170,150,0,-150,5996,5734,0,0
A207490,에이펙스인텍,20190123,6000,6000,6000,6000,0,0,0,5912,5700,0,0
A207490,에이펙스인텍,20190122,6000,6000,6000,6000,1,0,0,5862,5656,0,0
A207490,에이펙스인텍,20190121,5910,5910,5910,5910,1,0,0,5812,5610,0,0
A207490,에이펙스인텍,20190118,5590,5900,5590,5900,201,0,200,5780,5570,0,0
A207490,에이펙스인텍,20190117,5750,5750,5750,5750,0,0,0,5750,5530,0,0
A207490,에이펙스인텍,20190116,5750,5750,5750,5750,0,0,0,5750,5498,0,0
A207490,에이펙스인텍,20190115,5750,5750,5750,5750,0,0,0,5750,5465,0,0
A207490,에이펙스인텍,20190114,5750,5750,5750,5750,0,0,0,5730,5422,0,0
A207490,에이펙스인텍,20190111,5750,5750,5750,5750,0,0,0,5710,5380,0,0
A207490,에이펙스인텍,20190110,5750,5750,5750,5750,0,0,0,5690,5338,0,0
A207490,에이펙스인텍,20190109,5490,5750,5490,5750,203,0,200,5640,5295,0,0
A207490,에이펙스인텍,20190108,5650,5650,5650,5650,0,0,0,5590,5280,0,0
A207490,에이펙스인텍,20190107,5650,5650,5650,5650,0,0,0,5560,5318,0,0
A207490,에이펙스인텍,20190104,5650,5650,5650,5650,1,0,0,5530,5412,0,0
A207490,에이펙스인텍,20190103,5500,5500,5500,5500,0,0,0,5500,5573,0,0
A207490,에이펙스인텍,20190102,5500,5500,5500,5500,0,0,0,5500,5684,0,0
A207490,에이펙스인텍,20181228,5500,5500,5500,5500,0,0,0,5420,5744,0,0
A207490,에이펙스인텍,20181227,5500,5500,5500,5500,0,0,0,5340,5761,0,0
A207490,에이펙스인텍,20181226,5500,5500,5500,5500,0,0,0,5260,5740,0,0
A207490,에이펙스인텍,20181224,5500,5500,5500,5500,1,0,0,5180,0,0,0
A207490,에이펙스인텍,20181221,5100,5100,5100,5100,0,0,0,5100,0,0,0
A207490,에이펙스인텍,20181220,5100,5100,5100,5100,0,0,0,5100,0,0,0
A207490,에이펙스인텍,20181219,5100,5100,5100,5100,0,0,0,5060,0,0,0
A207490,에이펙스인텍,20181218,5100,5100,5100,5100,0,0,0,5020,0,0,0
A207490,에이펙스인텍,20181217,5100,5100,5100,5100,0,0,0,4980,0,0,0
A207490,에이펙스인텍,20181214,5000,5100,5000,5100,17,0,0,4940,0,0,0
A207490,에이펙스인텍,20181213,4900,4900,4900,4900,0,0,0,5010,0,0,0
A207490,에이펙스인텍,20181212,4900,4900,4900,4900,0,0,0,5312,0,0,0
A207490,에이펙스인텍,20181211,4900,4900,4900,4900,0,0,0,5840,0,0,0
A207490,에이펙스인텍,20181210,4640,4900,4640,4900,218,0,0,6632,0,0,0
A207490,에이펙스인텍,20181207,5450,5450,5450,5450,10,0,0,7194,0,0,0
A207490,에이펙스인텍,20181206,6410,6410,6410,6410,20,0,0,7446,0,0,0
A207490,에이펙스인텍,20181205,7550,8860,7540,7540,30,0,0,7332,0,0,0
A207490,에이펙스인텍,20181204,8860,8860,8860,8860,3,0,0,6840,0,0,0
A207490,에이펙스인텍,20181203,7710,7710,7710,7710,9,0,0,0,0,0,0
A207490,에이펙스인텍,20181130,4970,6710,4970,6710,3,0,0,0,0,0,0
A207490,에이펙스인텍,20181129,5840,5840,5840,5840,275,0,0,0,0,0,0
A207490,에이펙스인텍,20181128,4420,5080,4420,5080,205,0,0,0,0,0,0
