stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A207760,미스터블루,20190129,2625,2685,2625,2685,60850,130886,0,2680,2497,2503,2674
A207760,미스터블루,20190128,2690,2690,2615,2650,55490,130328,0,2669,2481,2494,2676
A207760,미스터블루,20190125,2710,2760,2620,2695,43905,130930,0,2667,2465,2486,2677
A207760,미스터블루,20190124,2695,2740,2635,2680,22222,130047,0,2647,2447,2474,2679
A207760,미스터블루,20190123,2630,2770,2620,2690,106298,131596,0,2621,2432,2462,2680
A207760,미스터블루,20190122,2640,2675,2625,2630,60225,133450,0,2590,2418,2456,2681
A207760,미스터블루,20190121,2595,2650,2570,2640,63923,132060,0,2548,2411,2452,2681
A207760,미스터블루,20190118,2550,2595,2510,2595,68950,134197,0,2504,2404,2450,2681
A207760,미스터블루,20190117,2585,2620,2505,2550,104708,132678,-23,2465,2399,2449,2682
A207760,미스터블루,20190116,2420,2600,2420,2535,234036,133194,-22,2430,2394,2452,2684
A207760,미스터블루,20190115,2420,2490,2410,2420,36379,134210,-23,2397,2393,2454,2687
A207760,미스터블루,20190114,2400,2450,2380,2420,45667,134142,0,2375,2400,2459,2691
A207760,미스터블루,20190111,2380,2450,2375,2400,66005,134435,0,2357,2407,2463,2696
A207760,미스터블루,20190110,2375,2435,2350,2375,63022,133546,0,2339,2415,2465,2700
A207760,미스터블루,20190109,2365,2395,2325,2370,39274,133095,0,2328,2422,2468,2706
A207760,미스터블루,20190108,2325,2380,2280,2310,28460,134502,0,2320,2438,2470,2711
A207760,미스터블루,20190107,2310,2415,2310,2330,18828,134550,0,2332,2455,2472,2716
A207760,미스터블루,20190104,2305,2330,2275,2310,27844,134772,0,2332,2467,2476,2721
A207760,미스터블루,20190103,2330,2380,2300,2320,16749,134825,0,2336,2479,2485,2725
A207760,미스터블루,20190102,2330,2400,2330,2330,32853,135314,0,2348,2490,2496,2730
A207760,미스터블루,20181228,2410,2410,2325,2370,17941,135291,0,2365,2500,2508,2733
A207760,미스터블루,20181227,2335,2420,2305,2330,46209,135257,0,2388,2508,2519,2738
A207760,미스터블루,20181226,2300,2365,2300,2330,24877,135126,0,2422,2520,2531,2740
A207760,미스터블루,20181224,2485,2485,2365,2380,35689,151237,0,2455,2533,2543,2742
A207760,미스터블루,20181221,2530,2545,2415,2415,31360,168710,0,2469,2542,2556,2745
A207760,미스터블루,20181220,2455,2500,2440,2485,18484,168033,23,2489,2547,2566,2748
A207760,미스터블루,20181219,2465,2515,2460,2500,21124,168433,22,2505,2550,2575,2751
A207760,미스터블루,20181218,2345,2535,2345,2495,51347,168435,23,2516,2553,2583,2755
A207760,미스터블루,20181217,2515,2515,2430,2450,67574,168911,0,2531,2556,2592,2760
A207760,미스터블루,20181214,2565,2600,2510,2515,27925,168698,0,2545,2564,2603,2763
A207760,미스터블루,20181213,2495,2600,2495,2565,22067,169620,0,2577,2570,2613,2767
A207760,미스터블루,20181212,2560,2610,2540,2555,20232,167804,0,2596,2566,2624,2769
A207760,미스터블루,20181211,2590,2620,2515,2570,39483,167167,0,2599,2565,2637,2772
A207760,미스터블루,20181210,2645,2670,2505,2520,51708,167185,0,2594,2562,2645,2776
A207760,미스터블루,20181207,2660,2695,2620,2675,86624,165638,0,2600,2561,2655,2782
A207760,미스터블루,20181206,2600,2700,2540,2660,130978,165258,0,2571,2556,2661,2787
A207760,미스터블루,20181205,2545,2595,2510,2570,25885,165094,0,2545,2558,2669,2792
A207760,미스터블루,20181204,2525,2580,2500,2545,33019,163191,0,2543,2547,2676,2799
A207760,미스터블루,20181203,2565,2590,2535,2550,34418,157876,0,2552,2536,2686,2806
A207760,미스터블루,20181130,2525,2565,2515,2530,36237,155428,0,2552,2524,2696,2813
A207760,미스터블루,20181129,2590,2590,2520,2530,30752,152305,0,2552,2511,2707,2820
A207760,미스터블루,20181128,2590,2590,2530,2560,12370,148720,0,2553,2493,2716,2826
A207760,미스터블루,20181127,2510,2590,2510,2590,31968,146886,0,2554,2472,2726,2832
A207760,미스터블루,20181126,2520,2585,2505,2550,15119,143086,0,2548,2443,2734,2839
A207760,미스터블루,20181123,2535,2600,2500,2530,41831,144131,0,2558,2412,2741,2847
A207760,미스터블루,20181122,2540,2620,2530,2535,26238,140604,0,2578,2402,2749,2855
A207760,미스터블루,20181121,2510,2630,2510,2565,20380,135245,0,2571,2396,2756,2864
A207760,미스터블루,20181120,2590,2630,2510,2560,46985,132185,0,2563,2392,2763,2874
A207760,미스터블루,20181119,2690,2690,2590,2600,112516,132404,0,2556,2392,2770,2885
A207760,미스터블루,20181116,2500,2645,2465,2630,191207,137047,0,2534,2397,2774,2894
A207760,미스터블루,20181115,2530,2530,2415,2500,36774,135210,0,2524,2401,2777,2900
A207760,미스터블루,20181114,2525,2545,2490,2525,40609,133319,0,2562,2410,2783,2909
A207760,미스터블루,20181113,2465,2595,2385,2525,96742,130111,0,2527,2417,2787,2918
A207760,미스터블루,20181112,2560,2560,2475,2490,110406,128047,0,2486,2418,2792,2926
A207760,미스터블루,20181109,2650,2685,2580,2580,170434,135831,0,2452,2420,2798,2936
A207760,미스터블루,20181108,2395,2785,2345,2690,1743126,125565,0,2391,2417,2804,2947
A207760,미스터블루,20181107,2400,2400,2290,2350,44491,139095,0,2287,2402,2807,2956
A207760,미스터블루,20181106,2380,2380,2280,2320,62956,138697,0,2243,2413,2816,2968
A207760,미스터블루,20181105,2280,2330,2200,2320,79467,140886,0,2183,2440,2825,2979
A207760,미스터블루,20181102,2180,2290,2140,2275,35156,137943,0,2105,2474,2835,2989
A207760,미스터블루,20181101,2220,2275,2170,2170,43178,133966,0,2114,2512,2846,3002
