stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A207940,삼성바이오로직스,20190129,399500,401000,388500,392000,197800,5709848,-49927,399500,393325,367200,412533
A207940,삼성바이오로직스,20190128,403000,408000,400000,402000,121467,5743254,-17383,401900,393050,367167,412458
A207940,삼성바이오로직스,20190125,399500,404000,399500,403000,88302,5724388,-9056,400900,391500,366925,412217
A207940,삼성바이오로직스,20190124,398000,402000,397500,401500,84286,5688254,-8251,400300,389350,366842,411950
A207940,삼성바이오로직스,20190123,405000,405500,396000,399000,121838,5672177,1015,397200,386700,366192,411725
A207940,삼성바이오로직스,20190122,397500,407000,394000,404000,185152,5687895,12744,397200,384250,365742,411521
A207940,삼성바이오로직스,20190121,405500,410000,396500,397000,132261,5689486,-4514,397200,381250,365525,411392
A207940,삼성바이오로직스,20190118,387500,400000,382500,400000,133354,5742332,3899,398400,379800,365617,411504
A207940,삼성바이오로직스,20190117,399000,399500,384500,386000,164344,5715394,-18838,397500,378125,365908,411625
A207940,삼성바이오로직스,20190116,405000,406500,398000,399000,111956,5728760,-2673,397900,377450,366925,411946
A207940,삼성바이오로직스,20190115,401000,408000,401000,404000,126973,5734525,14425,395500,377075,367825,412150
A207940,삼성바이오로직스,20190114,397000,407500,397000,403000,186932,5754538,27979,391900,377375,368492,412238
A207940,삼성바이오로직스,20190111,390500,395500,388000,395500,108726,5770595,22953,388900,376950,369275,412321
A207940,삼성바이오로직스,20190110,388500,391000,386500,388000,87842,5766151,8539,386000,376875,370475,412442
A207940,삼성바이오로직스,20190109,388500,389500,381500,387000,87731,5757805,-9766,383700,374200,371758,412558
A207940,삼성바이오로직스,20190108,384000,389000,379500,386000,94373,5745263,-7311,381100,371575,373217,412908
A207940,삼성바이오로직스,20190107,386000,391000,384000,388000,110373,5724834,10412,381200,369000,374567,413150
A207940,삼성바이오로직스,20190104,378000,385500,376500,381000,118098,5718053,10169,377800,366325,376233,413392
A207940,삼성바이오로직스,20190103,379000,385000,374500,376500,130752,5725223,2974,373600,364000,378367,413775
A207940,삼성바이오로직스,20190102,389500,392000,372000,374000,148344,5706595,-10505,368000,361900,380558,414054
A207940,삼성바이오로직스,20181228,377000,396000,377000,386500,256133,5709584,37095,363200,359925,383092,414379
A207940,삼성바이오로직스,20181227,373000,376500,367500,371000,197249,5701146,-52,354700,357325,385233,414671
A207940,삼성바이오로직스,20181226,342000,360500,341000,360000,225228,5673113,63691,354100,355500,388017,415154
A207940,삼성바이오로직스,20181224,347500,358500,346500,348500,129904,5632282,2333,355400,354225,390917,415608
A207940,삼성바이오로직스,20181221,343000,354500,335500,350000,227707,5633812,29940,360200,353525,394208,416179
A207940,삼성바이오로직스,20181220,361500,364500,342500,344000,368200,5635772,-15657,368500,352750,397208,416671
