stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A208340,파멥신,20190129,69000,70400,68500,69100,79367,30193,11779,67620,69275,0,0
A208340,파멥신,20190128,67200,70800,66800,68800,226814,29835,18871,67220,69820,0,0
A208340,파멥신,20190125,66900,67400,65800,66800,84902,5919,7222,66500,70300,0,0
A208340,파멥신,20190124,66700,67400,65600,66800,93980,5199,-16638,66740,70850,0,0
A208340,파멥신,20190123,66300,69200,66300,66600,134616,4988,-8491,66460,71325,0,0
A208340,파멥신,20190122,65600,68800,64500,67100,176289,7617,13790,66460,71795,0,0
A208340,파멥신,20190121,68000,68000,65100,65200,92422,8536,-11258,66460,71970,0,0
A208340,파멥신,20190118,66000,68400,64600,68000,137198,12141,8784,66820,72040,0,0
A208340,파멥신,20190117,66200,69300,65000,65400,175721,13365,20822,67280,71710,0,0
A208340,파멥신,20190116,67300,67600,63200,66600,207863,18023,-8414,68220,71515,0,0
A208340,파멥신,20190115,66900,68000,66000,67100,98488,29120,-18589,69080,71530,0,0
A208340,파멥신,20190114,70100,70200,65900,67000,183811,30965,-35442,69540,71770,0,0
A208340,파멥신,20190111,70900,72200,69600,70300,96804,37127,7811,70360,72080,0,0
A208340,파멥신,20190110,71000,72000,70100,70100,72947,36513,6086,71300,72100,0,0
A208340,파멥신,20190109,69500,71400,67300,70900,191410,36321,-12283,71920,72190,0,0
A208340,파멥신,20190108,70700,71500,67100,69400,221047,18870,1512,73940,72190,0,0
A208340,파멥신,20190107,76600,77300,69500,71100,365797,43175,-87615,76060,72180,0,0
A208340,파멥신,20190104,73900,75400,71200,75000,242667,52422,-15392,77520,72325,0,0
A208340,파멥신,20190103,80900,81300,73200,73200,370299,44865,-59973,78080,72225,0,0
A208340,파멥신,20190102,80000,86300,79000,81000,486198,46934,-23311,78700,72435,0,0
A208340,파멥신,20181228,79400,81600,76200,80000,288656,5522,-6752,77700,72385,0,0
A208340,파멥신,20181227,80000,83000,78400,78400,272762,9406,9588,75820,72375,0,0
A208340,파멥신,20181226,75000,80600,74100,77800,508222,9438,94507,73460,72555,0,0
A208340,파멥신,20181224,75000,78600,75000,76300,349810,0,70215,70180,72480,0,0
A208340,파멥신,20181221,69300,79200,69100,76000,952995,0,-20649,67220,72260,0,0
A208340,파멥신,20181220,65500,71700,64600,70600,387224,0,77861,65400,71900,0,0
A208340,파멥신,20181219,61000,67000,60800,66600,286370,0,41607,65660,71895,0,0
A208340,파멥신,20181218,60000,63200,59000,61400,189680,0,6234,66980,71745,0,0
A208340,파멥신,20181217,67000,67300,61100,61500,317071,0,-15942,68840,0,0,0
A208340,파멥신,20181214,71900,71900,66500,66900,257605,0,9932,70920,0,0,0
A208340,파멥신,20181213,72900,73500,71500,71900,134112,0,6798,71720,0,0,0
A208340,파멥신,20181212,71100,73200,70600,73200,213729,0,25171,71180,0,0,0
A208340,파멥신,20181211,72500,72900,69800,70700,160053,0,19717,71340,0,0,0
A208340,파멥신,20181210,69400,72800,68500,71900,207214,0,10050,71800,0,0,0
A208340,파멥신,20181207,70300,73400,66600,70900,375284,0,29336,72900,0,0,0
A208340,파멥신,20181206,74600,76000,69100,69200,342836,0,-11176,74720,0,0,0
A208340,파멥신,20181205,70700,76200,69800,74000,431512,0,42003,76840,0,0,0
A208340,파멥신,20181204,79000,79800,72700,73000,528417,0,-28308,78440,0,0,0
A208340,파멥신,20181203,82400,83800,76200,77400,512432,0,-11782,79100,0,0,0
A208340,파멥신,20181130,80100,81800,79000,80000,267560,0,12902,78000,0,0,0
A208340,파멥신,20181129,82400,85700,78500,79800,746729,0,-8277,75760,0,0,0
A208340,파멥신,20181128,77100,85200,76300,82000,1500409,0,-4513,73900,0,0,0
A208340,파멥신,20181127,71500,77900,71100,76300,1032238,0,45208,70220,0,0,0
A208340,파멥신,20181126,68700,72300,66200,71900,758609,0,8005,0,0,0,0
A208340,파멥신,20181123,72700,75300,66500,68800,1285456,0,31664,0,0,0,0
A208340,파멥신,20181122,62100,79600,61200,70500,3067094,0,-43168,0,0,0,0
A208340,파멥신,20181121,58100,66800,57000,63600,3569527,0,-335587,0,0,0,0
