stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A208470,SMART 선진국MSCI World(합성 H),20190129,12140,12140,12140,12140,2,0,-2,12133,11924,12051,12515
A208470,SMART 선진국MSCI World(합성 H),20190128,12225,12225,12225,12225,2,0,-2,12146,11887,12054,12523
A208470,SMART 선진국MSCI World(합성 H),20190125,12125,12125,12125,12125,2,0,-2,12146,11843,12054,12530
A208470,SMART 선진국MSCI World(합성 H),20190124,12100,12100,12100,12100,2,0,-2,12138,11786,12054,12539
A208470,SMART 선진국MSCI World(합성 H),20190123,12075,12075,12075,12075,2,0,-2,12120,11742,12054,12548
A208470,SMART 선진국MSCI World(합성 H),20190122,12205,12205,12205,12205,694,0,-2,12104,11707,12057,12556
A208470,SMART 선진국MSCI World(합성 H),20190121,12225,12225,12225,12225,2,0,-2,12046,11668,12056,12563
A208470,SMART 선진국MSCI World(합성 H),20190118,12085,12085,12085,12085,2,0,-2,11992,11636,12060,12569
A208470,SMART 선진국MSCI World(합성 H),20190117,12010,12010,12010,12010,26,0,-26,11968,11615,12067,12577
A208470,SMART 선진국MSCI World(합성 H),20190116,11995,11995,11995,11995,2,0,-2,11951,11608,12078,12586
A208470,SMART 선진국MSCI World(합성 H),20190115,11915,11915,11915,11915,2,0,-2,11922,11610,12088,12594
A208470,SMART 선진국MSCI World(합성 H),20190114,11955,11955,11955,11955,2,0,-2,11887,11618,12102,12604
A208470,SMART 선진국MSCI World(합성 H),20190111,11865,11965,11865,11965,34,0,30,11813,11619,12116,12613
A208470,SMART 선진국MSCI World(합성 H),20190110,11925,11925,11925,11925,515,0,-2,11682,11617,12127,12621
A208470,SMART 선진국MSCI World(합성 H),20190109,11850,11850,11850,11850,11,0,-2,11601,11620,12136,12629
A208470,SMART 선진국MSCI World(합성 H),20190108,11735,11740,11735,11740,175,0,-2,11537,11636,12148,12637
A208470,SMART 선진국MSCI World(합성 H),20190107,11585,11585,11585,11585,0,0,0,11469,11661,12164,12648
A208470,SMART 선진국MSCI World(합성 H),20190104,11305,11310,11260,11310,3092,0,-116,11422,11696,12190,12659
A208470,SMART 선진국MSCI World(합성 H),20190103,11520,11520,11520,11520,2096,0,-2,11357,11761,12220,12672
A208470,SMART 선진국MSCI World(합성 H),20190102,11530,11530,11530,11530,2,0,-2,11295,11814,12249,12682
A208470,SMART 선진국MSCI World(합성 H),20181228,11400,11400,11400,11400,2,0,-2,11264,11859,12279,12690
A208470,SMART 선진국MSCI World(합성 H),20181227,11360,11365,11350,11350,1786,0,-2,11272,11911,12312,12701
A208470,SMART 선진국MSCI World(합성 H),20181226,10985,10985,10895,10985,22,0,-4,11315,11954,12345,12711
A208470,SMART 선진국MSCI World(합성 H),20181224,11210,11210,11210,11210,23,0,-23,11453,12016,12385,12725
A208470,SMART 선진국MSCI World(합성 H),20181221,11395,11395,11300,11375,1015,0,-982,11586,12059,12421,12737
A208470,SMART 선진국MSCI World(합성 H),20181220,11545,11545,11425,11440,6315,0,-15,11719,12096,12455,12748
A208470,SMART 선진국MSCI World(합성 H),20181219,11570,11620,11565,11565,6451,0,188,11846,12131,12486,12758
A208470,SMART 선진국MSCI World(합성 H),20181218,11685,11685,11675,11675,367,0,-6,11927,12156,12515,12768
A208470,SMART 선진국MSCI World(합성 H),20181217,11875,11875,11875,11875,2,0,-2,11977,12185,12538,12778
A208470,SMART 선진국MSCI World(합성 H),20181214,11960,12040,11960,12040,7,0,-5,11999,12212,12561,12786
A208470,SMART 선진국MSCI World(합성 H),20181213,12065,12075,12065,12075,573,0,-5,12023,12229,12579,12793
A208470,SMART 선진국MSCI World(합성 H),20181212,11970,11970,11970,11970,6,0,-6,12058,12241,12597,12799
A208470,SMART 선진국MSCI World(합성 H),20181211,11925,11925,11925,11925,529,0,-26,12121,12261,12616,12807
A208470,SMART 선진국MSCI World(합성 H),20181210,11985,11985,11985,11985,2,0,-2,12256,12282,12636,12816
A208470,SMART 선진국MSCI World(합성 H),20181207,12165,12165,12160,12160,11,0,-11,12377,12312,12653,12824
A208470,SMART 선진국MSCI World(합성 H),20181206,12240,12250,12235,12250,2677,0,-2,12430,12339,12669,12831
A208470,SMART 선진국MSCI World(합성 H),20181205,12285,12285,12285,12285,2,0,-2,12467,12365,12684,12838
A208470,SMART 선진국MSCI World(합성 H),20181204,12605,12605,12600,12600,1631,0,-2,12455,12378,12699,12844
A208470,SMART 선진국MSCI World(합성 H),20181203,12590,12590,12590,12590,2,0,-2,12379,12372,12710,12847
A208470,SMART 선진국MSCI World(합성 H),20181130,12425,12425,12425,12425,2,0,-2,12274,12365,12721,12851
A208470,SMART 선진국MSCI World(합성 H),20181129,12435,12445,12435,12435,1686,0,-14,12213,12369,12736,12854
A208470,SMART 선진국MSCI World(합성 H),20181128,12225,12225,12225,12225,2,0,-2,12153,12365,12750,12857
A208470,SMART 선진국MSCI World(합성 H),20181127,12075,12225,12075,12220,697,0,-1,12120,12364,12768,12861
A208470,SMART 선진국MSCI World(합성 H),20181126,12065,12065,12065,12065,7,0,-7,12129,12358,12786,12865
A208470,SMART 선진국MSCI World(합성 H),20181123,12120,12120,12120,12120,2,0,-2,12199,12361,12803,12870
A208470,SMART 선진국MSCI World(합성 H),20181122,12130,12135,12130,12135,6066,0,-2,12250,12368,12820,12876
A208470,SMART 선진국MSCI World(합성 H),20181121,12060,12060,12060,12060,2,0,-2,12286,12369,12836,12882
A208470,SMART 선진국MSCI World(합성 H),20181120,12265,12265,12255,12265,409,0,-1,12348,12388,12855,12888
A208470,SMART 선진국MSCI World(합성 H),20181119,12415,12415,12415,12415,2,0,0,12366,12401,12869,12893
A208470,SMART 선진국MSCI World(합성 H),20181116,12375,12375,12375,12375,2,0,-2,12399,12412,12878,12897
A208470,SMART 선진국MSCI World(합성 H),20181115,12310,12315,12310,12315,3230,0,-5,12464,12424,12887,12901
A208470,SMART 선진국MSCI World(합성 H),20181114,12365,12370,12365,12370,48,0,-7,12553,12447,12896,12907
A208470,SMART 선진국MSCI World(합성 H),20181113,12355,12355,12355,12355,603,0,-7,12588,12469,12905,12911
A208470,SMART 선진국MSCI World(합성 H),20181112,12580,12580,12580,12580,7,0,-7,12616,12480,12916,12916
A208470,SMART 선진국MSCI World(합성 H),20181109,12700,12700,12700,12700,7,0,-7,12588,12477,12925,12919
A208470,SMART 선진국MSCI World(합성 H),20181108,12755,12760,12755,12760,197,0,-3,12549,12468,12932,12921
A208470,SMART 선진국MSCI World(합성 H),20181107,12550,12565,12545,12545,311,0,-107,12468,12467,12938,12922
A208470,SMART 선진국MSCI World(합성 H),20181106,12495,12500,12495,12495,688,0,-93,12402,12494,12948,12925
A208470,SMART 선진국MSCI World(합성 H),20181105,12440,12440,12440,12440,425,0,-13,12321,12528,12958,12926
A208470,SMART 선진국MSCI World(합성 H),20181102,12485,12505,12475,12505,824,0,-7,12257,12567,12969,12928
A208470,SMART 선진국MSCI World(합성 H),20181101,12350,12360,12350,12355,2872,0,-7,12211,12608,12979,12929
A208470,SMART 선진국MSCI World(합성 H),20181031,12200,12215,12200,12215,107,0,-7,12168,12659,12991,12932
A208470,SMART 선진국MSCI World(합성 H),20181030,12090,12090,12090,12090,7,0,-7,12214,12716,13006,12935
A208470,SMART 선진국MSCI World(합성 H),20181029,12120,12120,12120,12120,7,0,-7,12302,12780,13024,12940
A208470,SMART 선진국MSCI World(합성 H),20181026,12275,12275,12275,12275,7,0,-7,12404,12842,13042,12944
A208470,SMART 선진국MSCI World(합성 H),20181025,12010,12145,12010,12140,2469,0,-1,12473,12900,13056,12947
A208470,SMART 선진국MSCI World(합성 H),20181024,12445,12445,12445,12445,3,0,-3,12599,12958,13070,12952
A208470,SMART 선진국MSCI World(합성 H),20181023,12540,12540,12530,12530,772,0,-3,12673,13000,13078,12954
A208470,SMART 선진국MSCI World(합성 H),20181022,12620,12630,12620,12630,4,0,-4,12683,13028,13087,12956
A208470,SMART 선진국MSCI World(합성 H),20181019,12620,12620,12620,12620,3,0,-3,12659,13059,13094,12958
A208470,SMART 선진국MSCI World(합성 H),20181018,12775,12775,12770,12770,773,0,-18,12639,13083,13101,12959
A208470,SMART 선진국MSCI World(합성 H),20181017,12815,12815,12815,12815,3,0,-3,12632,13102,13106,12959
A208470,SMART 선진국MSCI World(합성 H),20181016,12540,12585,12540,12580,5265,0,11,12689,13118,13109,12959
A208470,SMART 선진국MSCI World(합성 H),20181015,12510,12510,12510,12510,3,0,0,12804,13144,13114,12959
A208470,SMART 선진국MSCI World(합성 H),20181012,12545,12545,12520,12520,512,0,-512,12948,13171,13121,12960
A208470,SMART 선진국MSCI World(합성 H),20181011,12740,12740,12735,12735,1047,0,-3,13110,13200,13127,12961
A208470,SMART 선진국MSCI World(합성 H),20181010,13100,13100,13100,13100,4,0,-4,13237,13219,13131,12960
A208470,SMART 선진국MSCI World(합성 H),20181008,13155,13155,13155,13155,5,0,-5,13286,13224,13129,12954
A208470,SMART 선진국MSCI World(합성 H),20181005,13105,13235,13105,13230,20,0,-1,13332,13229,13123,12949
A208470,SMART 선진국MSCI World(합성 H),20181004,13330,13330,13330,13330,1732,0,-7,13357,13231,13114,12943
A208470,SMART 선진국MSCI World(합성 H),20181002,13380,13380,13370,13370,2490,0,-3,13377,13229,13102,12937
