stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A210980,SK디앤디,20190129,29200,29200,28900,29100,14030,799200,406,29230,27928,27673,30042
A210980,SK디앤디,20190128,29400,29600,29050,29200,15395,799425,-4556,29190,27810,27701,30075
A210980,SK디앤디,20190125,29500,29600,29150,29400,18530,799236,197,29150,27710,27724,30106
A210980,SK디앤디,20190124,28950,29550,28750,29500,39823,802323,-5332,29140,27542,27738,30133
A210980,SK디앤디,20190123,28900,29350,28400,28950,19496,798324,-1172,28770,27398,27740,30155
A210980,SK디앤디,20190122,29000,29150,28700,28900,19972,801777,-2415,28640,27285,27763,30178
A210980,SK디앤디,20190121,28800,29200,28500,29000,33376,802985,15984,28430,27188,27798,30200
A210980,SK디앤디,20190118,27700,29350,27450,29350,36164,808431,15402,28190,27100,27839,30223
A210980,SK디앤디,20190117,28400,28400,27650,27650,7560,814017,-1607,27810,26978,27878,30244
A210980,SK디앤디,20190116,27800,28300,27700,28300,12217,813178,2836,27670,26965,27944,30279
A210980,SK디앤디,20190115,27800,28250,27800,27850,24460,809956,-7531,27340,26900,28000,30314
A210980,SK디앤디,20190114,27450,28050,27450,27800,11198,801531,4756,27110,26902,28081,30357
A210980,SK디앤디,20190111,26950,27500,26800,27450,15329,801606,3797,26800,26928,28179,30398
A210980,SK디앤디,20190110,26750,26950,26050,26950,19893,801956,2777,26550,26930,28285,30442
A210980,SK디앤디,20190109,26350,27300,26350,26650,13629,804875,593,26390,26965,28400,30493
A210980,SK디앤디,20190108,26000,26750,26000,26700,16715,802641,8577,26500,27038,28518,30546
A210980,SK디앤디,20190107,26200,27000,25950,26250,16411,796405,-3034,26510,27102,28620,30595
A210980,SK디앤디,20190104,26400,26400,25250,26200,24581,788229,4217,26700,27145,28735,30651
A210980,SK디앤디,20190103,27200,27200,25900,26150,29503,788994,3296,26670,27228,28872,30705
A210980,SK디앤디,20190102,26900,27300,26650,27200,22386,789847,-1952,26760,27345,29029,30758
A210980,SK디앤디,20181228,26950,27200,26500,26750,18720,784024,8673,26660,27412,29182,30797
A210980,SK디앤디,20181227,25900,27200,25850,27200,13570,791221,-924,26700,27448,29360,30834
A210980,SK디앤디,20181226,26000,26550,25900,26050,18000,791051,5017,26710,27448,29518,30865
A210980,SK디앤디,20181224,26700,27200,26100,26600,15010,796298,185,26880,27452,29660,30905
A210980,SK디앤디,20181221,26900,27150,26700,26700,18708,782814,394,27040,27382,29793,30941
A210980,SK디앤디,20181220,27250,27450,26800,26950,17163,785021,-3020,27100,27245,29902,30977
A210980,SK디앤디,20181219,27050,27350,26750,27250,12724,783668,-3240,27290,27152,29993,31012
A210980,SK디앤디,20181218,27250,27400,26850,26900,17482,786846,-162,27500,27072,30074,31050
A210980,SK디앤디,20181217,27000,27400,26550,27400,17148,787441,-930,27620,27035,30146,31090
A210980,SK디앤디,20181214,27900,28400,26900,27000,21609,773770,-2707,27670,27010,30222,31123
A210980,SK디앤디,20181213,28550,28550,27900,27900,16853,776334,-1786,27890,27015,30302,31155
A210980,SK디앤디,20181212,27500,28400,27250,28300,33428,773251,-1851,27910,26962,30361,31192
A210980,SK디앤디,20181211,27650,27900,27200,27500,26405,668930,1034,27670,26960,30411,31225
A210980,SK디앤디,20181210,28250,28250,26950,27650,32158,663716,10900,27740,27005,30475,31265
A210980,SK디앤디,20181207,28050,28850,27550,28100,23295,676806,-4302,27910,27092,30526,31305
A210980,SK디앤디,20181206,27100,28050,27000,28000,244477,681286,-163902,28000,27148,30562,31345
A210980,SK디앤디,20181205,27800,27800,26900,27100,30723,499704,-13348,27890,27212,30612,31384
A210980,SK디앤디,20181204,28150,28700,27750,27850,35976,491337,-1935,27910,27315,30672,31429
A210980,SK디앤디,20181203,28550,28750,27950,28500,54342,495802,-1622,27570,27450,30725,31468
A210980,SK디앤디,20181130,27450,28550,27200,28550,48561,502816,-964,26910,27540,30768,31503
A210980,SK디앤디,20181129,27500,27700,26850,27450,41462,497828,7724,25990,27680,30819,31539
A210980,SK디앤디,20181128,26000,27550,26000,27200,75230,495430,-2342,25520,27845,30893,31582
A210980,SK디앤디,20181127,25800,26750,25100,26150,110606,491536,-24430,25210,28015,30982,31627
A210980,SK디앤디,20181126,23950,25350,23700,25200,63798,495942,-21010,25210,28220,31088,31681
A210980,SK디앤디,20181123,25100,25200,23850,23950,76409,520050,-31916,25550,28440,31208,31735
A210980,SK디앤디,20181122,25650,25900,24950,25100,61325,513806,-22844,26180,28760,31346,31803
A210980,SK디앤디,20181121,26050,26050,25400,25650,77101,503405,-40381,26530,29055,31465,31864
A210980,SK디앤디,20181120,26750,26900,26000,26150,43656,496688,-11241,27050,29345,31574,31901
A210980,SK디앤디,20181119,27400,27400,26650,26900,31301,491940,-13407,27500,29620,31679,31935
A210980,SK디앤디,20181116,26900,27400,26800,27100,56972,461415,-31216,28000,29858,31768,31961
A210980,SK디앤디,20181115,28000,28100,26350,26850,137466,463892,-47582,28420,30085,31855,31985
A210980,SK디앤디,20181114,28000,28400,27850,28250,64129,470763,-13728,28910,30378,31946,32014
A210980,SK디앤디,20181113,29150,29150,27850,28400,49973,461388,-1216,29090,30650,32014,32036
A210980,SK디앤디,20181112,29400,29400,28800,29400,65639,470112,11705,29520,30920,32075,32062
A210980,SK디앤디,20181109,29400,29400,28800,29200,79047,474775,-15563,29700,31142,32124,32080
A210980,SK디앤디,20181108,29400,30400,28650,29300,122782,468151,-38098,30130,31368,32186,32100
A210980,SK디앤디,20181107,30800,32050,28650,29150,183150,460645,-41472,30420,31545,32243,32118
A210980,SK디앤디,20181106,30950,30950,30200,30550,8079,453658,-2188,30710,31745,32296,32132
A210980,SK디앤디,20181105,31450,31450,30200,30300,10249,454142,1587,30650,31940,32338,32130
A210980,SK디앤디,20181102,30750,31900,30750,31350,19850,456339,-6272,30510,32202,32382,32131
A210980,SK디앤디,20181101,30600,31850,30150,30750,12851,456791,-3972,30310,32455,32410,32132
A210980,SK디앤디,20181031,30550,30600,29700,30600,11218,453977,1295,30360,32788,32448,32131
A210980,SK디앤디,20181030,29350,30800,29200,30250,16006,455761,1426,30530,33090,32488,32133
A210980,SK디앤디,20181029,30000,31000,29600,29600,14262,452892,1853,30810,33308,32528,32128
A210980,SK디앤디,20181026,31000,31000,29450,30350,18430,449524,4569,31220,33558,32569,32127
A210980,SK디앤디,20181025,31000,31450,30600,31000,6461,447901,88,31480,33702,32592,32115
A210980,SK디앤디,20181024,31700,32000,30950,31450,16455,447417,8055,31820,33772,32601,32100
A210980,SK디앤디,20181023,31350,31750,30700,31650,55092,447498,30156,32270,33805,32608,32085
A210980,SK디앤디,20181022,31400,31850,31100,31650,6572,438216,-700,32700,33782,32610,32068
A210980,SK디앤디,20181019,32500,32500,30000,31650,11530,439413,1441,33140,33800,32614,32046
A210980,SK디앤디,20181018,33950,33950,32600,32700,10323,442199,556,33550,33805,32628,32017
A210980,SK디앤디,20181017,34050,34200,33400,33700,5826,441167,333,33580,33742,32632,31979
A210980,SK디앤디,20181016,33850,34200,33150,33800,6867,440686,1887,33470,33622,32617,31930
A210980,SK디앤디,20181015,33700,33900,33100,33850,8194,442205,1342,33600,33500,32598,31883
A210980,SK디앤디,20181012,32200,33750,32200,33700,20476,442850,-725,33940,33342,32586,31834
A210980,SK디앤디,20181011,32900,34400,32050,32850,27844,441111,-425,34480,33172,32575,31786
A210980,SK디앤디,20181010,34450,35000,33000,33150,39939,441579,-10929,35390,33078,32571,31750
A210980,SK디앤디,20181008,35450,35450,34400,34450,18842,427873,-102,36090,32955,32567,31710
A210980,SK디앤디,20181005,36400,36400,35050,35550,13737,425554,823,36120,32785,32538,31667
A210980,SK디앤디,20181004,38000,38000,35000,36400,55627,433917,-12410,35930,32560,32487,31613
A210980,SK디앤디,20181002,36650,38350,36300,37400,111318,452253,-1461,35300,32322,32412,31552
A210980,SK디앤디,20181001,35000,36650,34600,36650,122518,415417,551,34300,32048,32308,31481
A210980,SK디앤디,20180928,34600,34800,34350,34600,26579,358678,3956,33390,31840,32212,31417
A210980,SK디앤디,20180927,33250,34800,32800,34600,48286,353815,-2833,32710,31738,32149,31371
A210980,SK디앤디,20180921,32400,33300,32400,33250,25490,340181,387,32190,31628,32089,31323
A210980,SK디앤디,20180920,32150,33850,32050,32400,69132,331196,1119,31890,31575,32052,31287
A210980,SK디앤디,20180919,30500,32250,30350,32100,38036,348674,772,31700,31568,32032,31250
A210980,SK디앤디,20180918,31900,32250,30950,31200,29026,384069,-5548,31540,31572,32027,31218
A210980,SK디앤디,20180917,32050,32250,31600,32000,15753,388184,424,31570,31635,32033,31186
A210980,SK디앤디,20180914,31600,31950,31200,31750,17017,383202,3744,31310,31645,32023,31148
A210980,SK디앤디,20180913,31300,31500,31000,31450,10435,380494,-26,31020,31675,32009,31118
A210980,SK디앤디,20180912,31750,31750,31050,31300,6602,377869,1503,30920,31718,32023,31094
A210980,SK디앤디,20180911,30700,31700,30700,31350,11729,377090,-3161,30800,31770,32038,31078
A210980,SK디앤디,20180910,30800,30950,30100,30700,9944,375463,-959,30740,31805,32056,31062
A210980,SK디앤디,20180907,30850,30900,30000,30300,16661,373970,-3379,30810,31888,32084,31060
A210980,SK디앤디,20180906,30700,31050,30700,30950,4156,370657,116,31080,32018,32128,31063
A210980,SK디앤디,20180905,31100,31100,30650,30700,6880,370114,-1720,31270,32108,32156,31060
A210980,SK디앤디,20180904,31050,31150,30350,31050,21978,369541,6078,31630,32188,32186,31058
A210980,SK디앤디,20180903,31650,31650,30800,31050,19199,370764,2135,31930,32288,32212,31054
A210980,SK디앤디,20180831,32500,32500,31350,31650,19712,375612,-4394,32200,32385,32239,31042
A210980,SK디앤디,20180830,32500,32500,31800,31900,10080,379733,-318,32310,32452,32259,31027
A210980,SK디앤디,20180829,32500,32650,32200,32500,7021,380170,-4591,32380,32510,32272,31009
A210980,SK디앤디,20180828,32600,32700,32100,32550,12990,378620,-2847,32320,32535,32272,30989
A210980,SK디앤디,20180827,32200,32450,32050,32400,9647,376779,2799,32300,32538,32273,30961
A210980,SK디앤디,20180824,32550,32550,32050,32200,9470,374440,-2996,32260,32522,32262,30940
A210980,SK디앤디,20180823,32300,32600,32200,32250,12299,372340,3327,32290,32500,32261,30925
A210980,SK디앤디,20180822,32550,32650,32100,32200,9803,366770,1921,32300,32462,32263,30907
