stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A211900,KODEX 배당성장,20190129,12075,12110,12030,12110,1794,0,-99,12054,11786,11526,11800
A211900,KODEX 배당성장,20190128,12095,12145,12045,12100,2149,0,43,12022,11761,11506,11805
A211900,KODEX 배당성장,20190125,11960,12085,11950,12070,3029,0,1447,12005,11735,11486,11809
A211900,KODEX 배당성장,20190124,11990,12020,11920,11960,1096,0,17,11985,11699,11463,11814
A211900,KODEX 배당성장,20190123,11945,12040,11860,12030,786,0,-54,11960,11678,11441,11819
A211900,KODEX 배당성장,20190122,12025,12025,11890,11950,516,0,117,11912,11654,11422,11823
A211900,KODEX 배당성장,20190121,12015,12080,11960,12015,3539,0,796,11882,11630,11408,11827
A211900,KODEX 배당성장,20190118,11900,11970,11855,11970,1557,0,-228,11807,11608,11396,11829
A211900,KODEX 배당성장,20190117,11850,11860,11750,11835,2019,0,181,11749,11582,11382,11831
A211900,KODEX 배당성장,20190116,11810,11845,11760,11790,1414,0,-28,11711,11565,11376,11835
A211900,KODEX 배당성장,20190115,11700,11820,11690,11800,8261,0,1706,11693,11551,11369,11839
A211900,KODEX 배당성장,20190114,11665,11675,11595,11640,2638,0,-35,11649,11540,11361,11844
A211900,KODEX 배당성장,20190111,11680,11700,11615,11680,752,0,104,11645,11531,11357,11851
A211900,KODEX 배당성장,20190110,11675,11675,11555,11645,2891,0,686,11604,11507,11351,11858
A211900,KODEX 배당성장,20190109,11570,11710,11570,11700,2999,0,148,11541,11487,11345,11866
A211900,KODEX 배당성장,20190108,11695,11695,11565,11580,1185,0,-933,11484,11471,11339,11872
A211900,KODEX 배당성장,20190107,11600,11645,11550,11620,2924,0,308,11490,11464,11334,11878
A211900,KODEX 배당성장,20190104,11305,11480,11300,11475,629,0,390,11482,11460,11337,11885
A211900,KODEX 배당성장,20190103,11425,11430,11325,11330,1180,0,383,11458,11465,11346,11893
A211900,KODEX 배당성장,20190102,11605,11640,11380,11415,6570,0,-141,11501,11482,11359,11902
A211900,KODEX 배당성장,20181228,11615,11645,11575,11610,8855,0,-69,11527,11488,11372,11909
A211900,KODEX 배당성장,20181227,11600,11645,11455,11580,9185,0,963,11500,11484,11384,11914
A211900,KODEX 배당성장,20181226,11390,11445,11245,11355,6260,0,-180,11500,11479,11400,11920
A211900,KODEX 배당성장,20181224,11675,11675,11470,11545,1606,0,-233,11516,11488,11422,11928
A211900,KODEX 배당성장,20181221,11550,11555,11465,11545,4986,0,857,11506,11482,11438,11937
A211900,KODEX 배당성장,20181220,11535,11545,11460,11475,1727,0,896,11500,11470,11455,11946
A211900,KODEX 배당성장,20181219,11490,11600,11475,11580,2438,0,1381,11522,11467,11470,11955
A211900,KODEX 배당성장,20181218,11480,11485,11325,11435,997,0,-233,11497,11460,11483,11965
A211900,KODEX 배당성장,20181217,11560,11595,11460,11495,4238,0,-53,11450,11455,11499,11976
A211900,KODEX 배당성장,20181214,11600,11645,11435,11515,3114,0,-489,11401,11454,11513,11985
A211900,KODEX 배당성장,20181213,11500,11585,11450,11585,1893,0,-937,11372,11448,11530,11995
A211900,KODEX 배당성장,20181212,11285,11455,11285,11455,941,0,-439,11344,11438,11544,12005
A211900,KODEX 배당성장,20181211,11235,11265,11180,11200,1225,0,86,11359,11428,11561,12015
A211900,KODEX 배당성장,20181210,11235,11315,11180,11250,21894,0,-177,11436,11430,11581,12031
A211900,KODEX 배당성장,20181207,11495,11500,11300,11370,1207,0,-5,11520,11429,11601,12046
A211900,KODEX 배당성장,20181206,11535,11550,11410,11445,1875,0,-76,11555,11420,11619,12062
A211900,KODEX 배당성장,20181205,11480,11555,11435,11530,3950,0,769,11572,11405,11636,12080
A211900,KODEX 배당성장,20181204,11685,11685,11535,11585,837,0,-176,11560,11380,11650,12096
A211900,KODEX 배당성장,20181203,11620,11685,11595,11670,3276,0,-227,11550,11357,11664,12112
A211900,KODEX 배당성장,20181130,11555,11585,11495,11545,3477,0,35,11501,11326,11676,12127
A211900,KODEX 배당성장,20181129,11615,11615,11470,11530,982,0,384,11453,11305,11691,12142
A211900,KODEX 배당성장,20181128,11565,11570,11410,11470,6534,0,26,11429,11272,11706,12157
A211900,KODEX 배당성장,20181127,11505,11535,11415,11535,2356,0,-238,11422,11245,11722,12170
A211900,KODEX 배당성장,20181126,11350,11475,11335,11425,7208,0,246,11384,11202,11738,12182
A211900,KODEX 배당성장,20181123,11405,11440,11265,11305,1169,0,-420,11396,11163,11754,12195
A211900,KODEX 배당성장,20181122,11445,11445,11325,11410,1150,0,-528,11412,11144,11772,12209
A211900,KODEX 배당성장,20181121,11305,11435,11240,11435,2384,0,221,11406,11126,11786,12224
A211900,KODEX 배당성장,20181120,11390,11420,11310,11345,2030,0,577,11372,11118,11800,12237
A211900,KODEX 배당성장,20181119,11360,11485,11355,11485,2356,0,370,11350,11110,11818,12252
A211900,KODEX 배당성장,20181116,11400,11400,11260,11385,508,0,51,11300,11108,11834,12266
A211900,KODEX 배당성장,20181115,11260,11380,11165,11380,3854,0,-263,11259,11107,11851,12282
A211900,KODEX 배당성장,20181114,11260,11290,11215,11265,985,0,49,11213,11104,11867,12298
A211900,KODEX 배당성장,20181113,11115,11240,10935,11235,3553,0,-125,11166,11111,11885,12314
A211900,KODEX 배당성장,20181112,11165,11245,11125,11235,14158,0,-312,11143,11115,11904,12331
A211900,KODEX 배당성장,20181109,11145,11240,11100,11180,3769,0,-99,11105,11119,11926,12349
A211900,KODEX 배당성장,20181108,11195,11260,11150,11150,2001,0,-192,11096,11126,11947,12368
A211900,KODEX 배당성장,20181107,11185,11260,10960,11030,1422,0,-274,11040,11132,11972,12387
A211900,KODEX 배당성장,20181106,11100,11175,11055,11120,1679,0,266,11019,11171,11999,12405
A211900,KODEX 배당성장,20181105,11130,11130,10945,11045,2396,0,-65,10929,11216,12025,12423
A211900,KODEX 배당성장,20181102,10945,11135,10945,11135,1782,0,606,10852,11270,12051,12441
A211900,KODEX 배당성장,20181101,10910,10980,10870,10870,2261,0,-1101,10807,11323,12073,12461
A211900,KODEX 배당성장,20181031,10710,10925,10540,10925,2831,0,-159,10847,11396,12104,12482
A211900,KODEX 배당성장,20181030,10610,10710,10550,10670,4599,0,1157,10917,11478,12132,12504
A211900,KODEX 배당성장,20181029,10945,10980,10615,10660,5829,0,-1635,11019,11575,12165,12528
A211900,KODEX 배당성장,20181026,11125,11125,10865,10910,4416,0,1218,11177,11670,12197,12552
A211900,KODEX 배당성장,20181025,11090,11110,10965,11070,6069,0,-1240,11266,11750,12223,12574
A211900,KODEX 배당성장,20181024,11230,11300,11190,11275,1941,0,664,11318,11816,12245,12593
A211900,KODEX 배당성장,20181023,11395,11395,11120,11180,31525,0,-1522,11343,11870,12263,12612
A211900,KODEX 배당성장,20181022,11350,11450,11270,11450,4247,0,301,11369,11930,12280,12632
A211900,KODEX 배당성장,20181019,11275,11355,11165,11355,2241,0,317,11343,11975,12294,12649
A211900,KODEX 배당성장,20181018,11400,11430,11320,11330,680,0,26,11333,12034,12309,12666
A211900,KODEX 배당성장,20181017,11470,11470,11380,11400,1679,0,842,11322,12090,12326,12685
A211900,KODEX 배당성장,20181016,11340,11340,11245,11310,3541,0,431,11406,12142,12345,12702
A211900,KODEX 배당성장,20181015,11320,11320,11280,11320,3845,0,254,11549,12199,12365,12720
A211900,KODEX 배당성장,20181012,11260,11320,11220,11305,11604,0,-419,11710,12256,12386,12737
A211900,KODEX 배당성장,20181011,11455,11580,11275,11275,70216,0,2254,11887,12312,12406,12755
A211900,KODEX 배당성장,20181010,12000,12045,11755,11820,7144,0,-586,12098,12370,12423,12772
A211900,KODEX 배당성장,20181008,12110,12135,12025,12025,3153,0,-1283,12244,12397,12434,12784
A211900,KODEX 배당성장,20181005,12185,12185,12035,12125,3766,0,-1245,12363,12418,12440,12795
A211900,KODEX 배당성장,20181004,12385,12385,12145,12190,6083,0,-2670,12451,12431,12446,12804
A211900,KODEX 배당성장,20181002,12520,12530,12330,12330,6908,0,-4061,12515,12444,12446,12813
A211900,KODEX 배당성장,20181001,12610,12615,12505,12550,4578,0,-1173,12524,12448,12444,12820
A211900,KODEX 배당성장,20180928,12600,12620,12540,12620,1923,0,905,12486,12445,12439,12827
A211900,KODEX 배당성장,20180927,12500,12595,12500,12565,12698,0,-966,12441,12438,12435,12833
A211900,KODEX 배당성장,20180921,12500,12540,12455,12510,9882,0,923,12397,12428,12436,12840
A211900,KODEX 배당성장,20180920,12400,12465,12375,12375,2955,0,940,12403,12421,12437,12848
A211900,KODEX 배당성장,20180919,12400,12420,12360,12360,1207,0,-97,12418,12415,12441,12857
A211900,KODEX 배당성장,20180918,12305,12395,12300,12395,8473,0,2941,12434,12411,12446,12867
A211900,KODEX 배당성장,20180917,12485,12485,12295,12345,7534,0,-3057,12443,12415,12452,12875
A211900,KODEX 배당성장,20180914,12500,12560,12500,12540,1334,0,618,12464,12418,12458,12883
A211900,KODEX 배당성장,20180913,12495,12495,12395,12450,1645,0,-458,12445,12410,12460,12892
A211900,KODEX 배당성장,20180912,12495,12495,12355,12440,3259,0,-1573,12439,12405,12465,12903
A211900,KODEX 배당성장,20180911,12425,12440,12400,12440,1027,0,-463,12425,12402,12470,12914
A211900,KODEX 배당성장,20180910,12400,12485,12400,12450,3271,0,-592,12426,12398,12480,12924
A211900,KODEX 배당성장,20180907,12485,12485,12350,12445,1432,0,-404,12412,12402,12491,12936
A211900,KODEX 배당성장,20180906,12390,12495,12390,12420,1660,0,486,12415,12404,12506,12947
A211900,KODEX 배당성장,20180905,12435,12475,12370,12370,2827,0,-605,12413,12413,12524,12959
A211900,KODEX 배당성장,20180904,12385,12445,12350,12445,9798,0,1648,12436,12429,12543,12972
A211900,KODEX 배당성장,20180903,12455,12455,12370,12380,3576,0,-562,12440,12441,12560,12984
A211900,KODEX 배당성장,20180831,12405,12460,12340,12460,2857,0,321,12438,12450,12578,12995
A211900,KODEX 배당성장,20180830,12485,12485,12400,12410,1604,0,-596,12420,12452,12592,13005
A211900,KODEX 배당성장,20180829,12490,12490,12425,12485,1892,0,559,12391,12466,12608,13014
A211900,KODEX 배당성장,20180828,12400,12485,12400,12465,2312,0,1339,12350,12474,12618,13024
A211900,KODEX 배당성장,20180827,12395,12400,12335,12370,5530,0,349,12350,12482,12627,13032
A211900,KODEX 배당성장,20180824,12280,12375,12240,12370,3503,0,-49,12356,12492,12635,13044
A211900,KODEX 배당성장,20180823,12300,12300,12205,12265,1513,0,-372,12361,12499,12647,13056
A211900,KODEX 배당성장,20180822,12465,12465,12270,12280,3206,0,-2608,12376,12505,12662,13071
A211900,KODEX 배당성장,20180821,12385,12465,12360,12465,1936,0,-13,12397,12509,12674,13086
A211900,KODEX 배당성장,20180820,12410,12490,12335,12400,3464,0,628,12374,12496,12686,13100
A211900,KODEX 배당성장,20180817,12375,12395,12300,12395,6154,0,-525,12403,12489,12699,13112
A211900,KODEX 배당성장,20180816,12300,12360,12205,12340,5796,0,269,12420,12482,12714,13125
A211900,KODEX 배당성장,20180814,12395,12395,12315,12385,3939,0,1810,12472,12484,12729,13137
A211900,KODEX 배당성장,20180813,12490,12545,12305,12350,3982,0,-1106,12534,12489,12744,13149
A211900,KODEX 배당성장,20180810,12500,12580,12500,12545,3278,0,531,12599,12499,12759,13160
A211900,KODEX 배당성장,20180809,12600,12600,12460,12480,2518,0,-759,12605,12500,12773,13169
