stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A212560,네오오토,20190129,4520,4600,4465,4485,12661,19872,0,4559,4360,4192,4492
A212560,네오오토,20190128,4570,4640,4545,4560,15041,19874,0,4592,4348,4183,4495
A212560,네오오토,20190125,4635,4640,4570,4590,12619,20065,0,4608,4325,4169,4497
A212560,네오오토,20190124,4575,4625,4560,4580,21405,20068,0,4570,4303,4154,4500
A212560,네오오토,20190123,4600,4650,4500,4580,33959,19146,0,4518,4294,4141,4503
A212560,네오오토,20190122,4985,5500,4650,4650,500734,18617,956,4468,4281,4131,4505
A212560,네오오토,20190121,4475,4640,4410,4640,46103,20361,0,4372,4274,4122,4507
A212560,네오오토,20190118,4215,4550,4215,4400,33603,18767,0,4284,4274,4118,4509
A212560,네오오토,20190117,4360,4400,4250,4320,6710,18574,0,4247,4275,4119,4513
A212560,네오오토,20190116,4215,4340,4175,4330,13413,18726,0,4217,4272,4121,4519
A212560,네오오토,20190115,4155,4235,4155,4170,4922,18537,0,4188,4271,4124,4526
A212560,네오오토,20190114,4160,4240,4160,4200,4975,18517,0,4184,4272,4129,4535
A212560,네오오토,20190111,4170,4240,4170,4215,1706,18443,0,4189,4274,4134,4544
A212560,네오오토,20190110,4160,4240,4100,4170,7906,18497,0,4197,4278,4138,4551
A212560,네오오토,20190109,4250,4250,4150,4185,2599,18257,0,4213,4286,4142,4559
A212560,네오오토,20190108,4255,4255,4145,4150,8368,18246,0,4226,4294,4146,4567
A212560,네오오토,20190107,4205,4275,4205,4225,5558,18294,0,4243,4298,4148,4571
A212560,네오오토,20190104,4250,4300,4160,4255,10453,18152,0,4219,4284,4156,4574
A212560,네오오토,20190103,4250,4300,4215,4250,4351,18171,0,4199,4272,4164,4577
A212560,네오오토,20190102,4280,4280,4200,4250,1770,18152,0,4228,4259,4174,4580
A212560,네오오토,20181228,4100,4245,4100,4235,5057,18075,0,4243,4242,4182,4582
A212560,네오오토,20181227,4125,4235,4100,4105,15280,17735,-14,4299,4227,4193,4585
A212560,네오오토,20181226,4340,4340,4155,4155,17515,17616,51,4406,4218,4206,4588
A212560,네오오토,20181224,4330,4395,4330,4395,6943,19645,0,4458,4206,4219,4592
A212560,네오오토,20181221,4460,4575,4325,4325,11832,26683,0,4431,4186,4226,4595
A212560,네오오토,20181220,4640,4670,4510,4515,26645,26706,-7,4427,4168,4236,4599
A212560,네오오토,20181219,4415,4775,4390,4640,152577,26629,0,4363,4140,4243,4603
A212560,네오오토,20181218,4270,4485,4225,4415,62348,26945,0,4283,4106,4249,4605
