stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A213090,미래테크놀로지,20190129,8420,8420,8320,8360,1743,22518,0,8362,8318,8406,8505
A213090,미래테크놀로지,20190128,8390,8460,8280,8420,2375,22645,0,8356,8320,8394,8508
A213090,미래테크놀로지,20190125,8310,8440,8300,8420,2479,22855,0,8360,8308,8374,8510
A213090,미래테크놀로지,20190124,8430,8430,8270,8320,3263,23045,0,8364,8304,8351,8512
A213090,미래테크놀로지,20190123,8310,8440,8260,8290,2217,23396,0,8368,8310,8328,8515
A213090,미래테크놀로지,20190122,8440,8460,8320,8330,1899,23794,0,8366,8322,8317,8517
A213090,미래테크놀로지,20190121,8390,8450,8280,8440,2638,24173,0,8340,8344,8308,8521
A213090,미래테크놀로지,20190118,8210,8460,8210,8440,5772,25041,0,8316,8367,8301,8525
A213090,미래테크놀로지,20190117,8370,8370,8250,8340,2772,24773,852,8272,8372,8299,8529
A213090,미래테크놀로지,20190116,8450,8450,8240,8280,956,24678,0,8246,8375,8305,8534
A213090,미래테크놀로지,20190115,8410,8410,8180,8200,5327,24626,1000,8252,8392,8312,8540
A213090,미래테크놀로지,20190114,8460,8460,8300,8320,976,24226,0,8254,8416,8320,8546
A213090,미래테크놀로지,20190111,8260,8300,8150,8220,630,24118,14,8248,8428,8324,8553
A213090,미래테크놀로지,20190110,8230,8380,8150,8210,2209,24108,0,8284,8440,8330,8562
A213090,미래테크놀로지,20190109,8290,8310,8160,8310,3426,24021,942,8292,8450,8332,8572
A213090,미래테크놀로지,20190108,8290,8540,8150,8210,5398,23795,1000,8294,8459,8334,8581
A213090,미래테크놀로지,20190107,8390,8490,8120,8290,5255,23946,1000,8328,8474,8339,8590
A213090,미래테크놀로지,20190104,8530,8560,8100,8400,4564,23125,2000,8308,8497,8356,8599
A213090,미래테크놀로지,20190103,8300,8400,8150,8250,2269,23283,0,8294,8520,8370,8605
A213090,미래테크놀로지,20190102,8390,8550,8320,8320,4955,23314,4000,8336,8542,8386,8612
A213090,미래테크놀로지,20181228,8190,8390,8140,8380,6431,23017,6000,8378,8560,8409,8616
A213090,미래테크놀로지,20181227,8330,8330,7710,8190,6100,22937,3000,8456,8576,8436,8620
A213090,미래테크놀로지,20181226,8300,8440,8300,8330,4567,22850,2231,8596,8601,8479,8625
A213090,미래테크놀로지,20181224,8530,8530,8380,8460,1420,23205,0,8638,8612,8489,8628
A213090,미래테크놀로지,20181221,8520,8760,8520,8530,2276,23286,0,8626,8614,8498,8634
A213090,미래테크놀로지,20181220,8990,8990,8760,8770,4227,23263,0,8646,8607,8502,8639
