stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A213500,한솔제지,20190129,17450,17450,17150,17400,54089,4282307,3344,17220,17180,17103,18568
A213500,한솔제지,20190128,17250,17450,17050,17450,92618,4298883,-2195,17210,17140,17107,18582
A213500,한솔제지,20190125,17000,17300,16950,17200,103125,4310378,8970,17120,17085,17106,18590
A213500,한솔제지,20190124,17050,17300,16950,17000,117591,4316319,-4558,17080,17062,17109,18597
A213500,한솔제지,20190123,17200,17300,16950,17050,81787,4350748,-10035,17110,17062,17117,18606
A213500,한솔제지,20190122,17100,17450,17100,17350,40938,4356432,11479,17140,17068,17131,18615
A213500,한솔제지,20190121,17100,17250,16950,17000,57257,4352829,-28953,17170,17022,17137,18620
A213500,한솔제지,20190118,17250,17250,17000,17000,46958,4338821,-27052,17300,16998,17158,18630
A213500,한솔제지,20190117,17300,17300,17050,17150,23826,4333597,1509,17410,16960,17178,18640
A213500,한솔제지,20190116,17500,17650,17150,17200,58352,4340406,-12934,17410,16928,17202,18647
A213500,한솔제지,20190115,17600,17700,17300,17500,54674,4360538,7732,17440,16898,17218,18656
A213500,한솔제지,20190114,17550,17900,17450,17650,35241,4362713,-546,17360,16840,17237,18652
A213500,한솔제지,20190111,17200,17800,17200,17550,110485,4371409,13471,17270,16780,17262,18646
A213500,한솔제지,20190110,17350,17400,16900,17150,63877,4360160,14466,17140,16690,17286,18645
A213500,한솔제지,20190109,17150,17350,17050,17350,45200,4387506,15185,17020,16628,17320,18647
A213500,한솔제지,20190108,17350,17350,16900,17100,39577,4386822,10664,16920,16582,17354,18649
A213500,한솔제지,20190107,16950,17250,16800,17200,55706,4399288,8621,16820,16525,17381,18651
A213500,한솔제지,20190104,16600,16900,16300,16900,79002,4388784,20460,16650,16478,17430,18650
A213500,한솔제지,20190103,16850,17050,16300,16550,42008,4393945,10002,16620,16448,17488,18646
A213500,한솔제지,20190102,16600,16850,16550,16850,35993,4397418,15745,16710,16442,17549,18646
A213500,한솔제지,20181228,16450,16800,16300,16600,59579,4393317,26436,16770,16425,17602,18644
A213500,한솔제지,20181227,16700,16700,16200,16350,59193,4398240,-17755,16740,16442,17663,18648
A213500,한솔제지,20181226,16800,17050,16700,16750,89987,4417840,9199,16770,16508,17733,18650
A213500,한솔제지,20181224,17400,17400,16900,17000,74287,4444019,12141,16670,16552,17791,18647
A213500,한솔제지,20181221,16350,17150,16350,17150,153698,4468961,31626,16570,16588,17846,18645
A213500,한솔제지,20181220,16400,16800,16250,16450,82104,4449754,2305,16460,16608,17898,18642
A213500,한솔제지,20181219,16250,16650,16050,16500,86722,4459139,27032,16440,16662,17961,18651
A213500,한솔제지,20181218,16450,16450,16100,16250,84684,4463145,-9339,16430,16710,18022,18656
A213500,한솔제지,20181217,16600,16750,16150,16500,86580,4489467,8464,16330,16782,18107,18665
