stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A214450,파마리서치프로덕트,20190129,33750,33750,32900,33300,30470,234696,3295,33580,32725,33197,36638
A214450,파마리서치프로덕트,20190128,33950,34450,33600,33700,18818,239560,-1719,33470,32742,33188,36694
A214450,파마리서치프로덕트,20190125,33450,34200,33350,34000,17545,242739,2718,33290,32692,33171,36737
A214450,파마리서치프로덕트,20190124,33200,33800,33200,33700,23366,242825,213,33070,32602,33158,36772
A214450,파마리서치프로덕트,20190123,32700,33500,32600,33200,17210,243578,1158,32890,32525,33148,36816
A214450,파마리서치프로덕트,20190122,32600,32950,32550,32750,10828,242895,-765,32800,32465,33163,36865
A214450,파마리서치프로덕트,20190121,32900,33150,32600,32800,13385,240383,-497,32820,32425,33216,36912
A214450,파마리서치프로덕트,20190118,33400,33400,32750,32900,10917,244141,2945,32680,32395,33281,36971
A214450,파마리서치프로덕트,20190117,32450,33600,32450,32800,28044,230693,428,32620,32368,33355,37026
A214450,파마리서치프로덕트,20190116,32900,33000,32150,32750,17107,222048,1416,32570,32362,33431,37095
A214450,파마리서치프로덕트,20190115,32400,33450,32400,32850,20827,222201,268,32630,32405,33493,37163
A214450,파마리서치프로덕트,20190114,32800,32800,32050,32100,11131,220640,-998,32510,32475,33539,37240
A214450,파마리서치프로덕트,20190111,32500,33150,32150,32600,13784,220448,-460,32420,32475,33607,37325
A214450,파마리서치프로덕트,20190110,32900,33400,32450,32550,22751,214918,-2745,32210,32435,33654,37415
A214450,파마리서치프로덕트,20190109,32300,33500,32100,33050,23627,219548,1292,32000,32408,33693,37494
A214450,파마리서치프로덕트,20190108,31650,32550,31650,32250,17602,218682,-1980,31890,32420,33751,37564
A214450,파마리서치프로덕트,20190107,31600,32000,31600,31650,15412,209266,-1163,32170,32472,33807,37635
A214450,파마리서치프로덕트,20190104,31050,31700,31000,31550,21192,209205,850,32380,32578,33908,37720
A214450,파마리서치프로덕트,20190103,32300,32800,31500,31500,30224,209620,-315,32510,32715,34038,37800
A214450,파마리서치프로덕트,20190102,33700,34050,32350,32500,22501,217896,-3772,32640,32848,34180,37885
A214450,파마리서치프로덕트,20181228,32700,34000,32450,33650,28317,222714,-5253,32540,32885,34342,37952
A214450,파마리서치프로덕트,20181227,32700,32950,32050,32700,20020,218512,106,32200,32892,34481,37987
A214450,파마리서치프로덕트,20181226,32050,32700,31750,32200,20054,219308,9611,32100,32978,34671,38020
A214450,파마리서치프로덕트,20181224,31850,32700,31800,32150,15057,221882,6976,32130,33092,34882,38056
A214450,파마리서치프로덕트,20181221,31950,32250,31850,32000,11836,219470,-5,32240,33182,35107,38108
A214450,파마리서치프로덕트,20181220,32000,32350,31750,31950,15622,219160,-1333,32560,33245,35327,38157
A214450,파마리서치프로덕트,20181219,31950,32750,31800,32200,20123,221211,978,33020,33355,35534,38212
A214450,파마리서치프로덕트,20181218,32500,32700,31800,32350,22574,221824,-10580,33000,33430,35711,38275
A214450,파마리서치프로덕트,20181217,33050,34100,32600,32700,11236,222958,3645,32890,33512,35878,38334
A214450,파마리서치프로덕트,20181214,34200,34200,33250,33600,15708,226345,1087,32750,33638,36027,38383
A214450,파마리서치프로덕트,20181213,32200,34250,32100,34250,44331,228245,8829,32690,33692,36169,38420
A214450,파마리서치프로덕트,20181212,31500,32400,31500,32100,14248,218838,3177,32500,33685,36306,38461
A214450,파마리서치프로덕트,20181211,32450,32450,31750,31800,17591,215577,2420,32830,33728,36476,38513
A214450,파마리서치프로덕트,20181210,32900,32900,31900,32000,25905,205418,-742,33330,33800,36649,38581
A214450,파마리서치프로덕트,20181207,33300,33950,32850,33300,12329,209036,-2557,33760,33845,36811,38658
