stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A214680,디알텍,20190129,1700,1705,1655,1700,2756815,860606,0,1513,1384,1365,1559
A214680,디알텍,20190128,1430,1820,1425,1680,19880189,859752,0,1451,1364,1358,1560
A214680,디알텍,20190125,1410,1410,1385,1400,97449,996100,0,1396,1342,1350,1562
A214680,디알텍,20190124,1390,1400,1370,1395,94345,991647,0,1395,1332,1348,1566
A214680,디알텍,20190123,1370,1400,1370,1390,101813,977982,-6,1390,1324,1346,1570
A214680,디알텍,20190122,1405,1435,1385,1390,235922,964641,-7,1390,1317,1346,1573
A214680,디알텍,20190121,1410,1435,1395,1405,272942,998836,1197,1387,1312,1348,1576
A214680,디알텍,20190118,1370,1400,1340,1395,238733,990119,-4,1376,1306,1350,1579
A214680,디알텍,20190117,1390,1405,1360,1370,141211,960136,41,1367,1301,1353,1582
A214680,디알텍,20190116,1390,1400,1365,1390,262726,970793,8752,1353,1297,1357,1586
A214680,디알텍,20190115,1335,1390,1330,1375,335285,976330,2247,1340,1293,1361,1589
A214680,디알텍,20190114,1365,1375,1335,1350,211336,962792,2,1324,1290,1367,1592
A214680,디알텍,20190111,1335,1360,1310,1350,190507,956357,-2,1312,1288,1371,1596
A214680,디알텍,20190110,1325,1345,1300,1300,98250,945752,-43,1299,1285,1376,1600
A214680,디알텍,20190109,1285,1355,1285,1325,305421,952249,4361,1299,1285,1380,1605
A214680,디알텍,20190108,1290,1300,1270,1295,68505,947574,0,1295,1286,1385,1609
A214680,디알텍,20190107,1295,1320,1275,1290,74864,946041,2588,1294,1288,1388,1613
A214680,디알텍,20190104,1295,1295,1255,1285,64460,953187,44,1283,1293,1395,1617
A214680,디알텍,20190103,1305,1310,1270,1300,88971,954823,44,1265,1298,1403,1621
A214680,디알텍,20190102,1320,1320,1285,1305,84294,956625,0,1253,1302,1411,1625
A214680,디알텍,20181228,1270,1315,1220,1290,121828,953884,0,1244,1306,1419,1629
A214680,디알텍,20181227,1200,1245,1195,1235,115070,941736,47,1242,1310,1427,1633
A214680,디알텍,20181226,1200,1215,1170,1195,172356,935413,-5329,1253,1319,1437,1637
A214680,디알텍,20181224,1260,1260,1215,1240,145683,955181,0,1273,1330,1447,1641
A214680,디알텍,20181221,1280,1295,1250,1260,120372,975368,4,1284,1339,1457,1646
A214680,디알텍,20181220,1290,1300,1265,1280,75626,989029,-40,1294,1346,1466,1649
A214680,디알텍,20181219,1295,1310,1280,1290,84208,1004007,-40,1299,1352,1475,1654
A214680,디알텍,20181218,1285,1335,1260,1295,125438,1013008,-5996,1305,1360,1484,1659
A214680,디알텍,20181217,1310,1315,1245,1295,285093,1013575,-111000,1302,1367,1494,1664
A214680,디알텍,20181214,1320,1320,1275,1310,95627,1002326,4,1305,1375,1504,1669
A214680,디알텍,20181213,1335,1335,1295,1305,102310,1010194,3,1313,1381,1513,1674
A214680,디알텍,20181212,1270,1360,1270,1320,265866,997600,0,1319,1387,1523,1680
A214680,디알텍,20181211,1310,1325,1275,1280,99699,971576,0,1330,1392,1533,1686
A214680,디알텍,20181210,1315,1335,1265,1310,161126,990108,0,1353,1397,1543,1692
A214680,디알텍,20181207,1325,1375,1325,1350,105402,1005683,0,1366,1401,1553,1700
A214680,디알텍,20181206,1390,1390,1315,1335,173044,1020340,-1201,1371,1405,1562,1708
A214680,디알텍,20181205,1395,1395,1355,1375,116567,1038797,0,1380,1409,1571,1714
A214680,디알텍,20181204,1415,1415,1365,1395,153402,1039351,0,1387,1410,1580,1719
A214680,디알텍,20181203,1410,1410,1335,1375,520352,1033578,-302000,1392,1408,1588,1723
A214680,디알텍,20181130,1390,1400,1360,1375,79359,972719,-26780,1402,1408,1597,1728
A214680,디알텍,20181129,1415,1420,1380,1380,121195,963248,0,1405,1406,1606,1732
A214680,디알텍,20181128,1420,1425,1395,1410,102363,969074,-21080,1412,1401,1614,1737
A214680,디알텍,20181127,1440,1440,1400,1420,99151,961106,0,1416,1391,1622,1741
A214680,디알텍,20181126,1400,1430,1390,1425,135923,958823,-15497,1421,1382,1629,1745
A214680,디알텍,20181123,1415,1430,1390,1390,112421,925792,-7960,1427,1374,1635,1748
A214680,디알텍,20181122,1440,1450,1405,1415,124733,933788,-52478,1435,1376,1642,1752
A214680,디알텍,20181121,1425,1450,1395,1430,178101,940123,-5960,1436,1379,1650,1757
A214680,디알텍,20181120,1415,1445,1410,1445,229633,934208,-6460,1435,1384,1656,1760
A214680,디알텍,20181119,1415,1465,1415,1455,194555,919459,-2960,1421,1391,1663,1764
A214680,디알텍,20181116,1415,1440,1400,1430,103418,898275,-7960,1409,1399,1670,1767
A214680,디알텍,20181115,1435,1440,1400,1420,126678,882942,-7095,1410,1410,1677,1772
A214680,디알텍,20181114,1375,1470,1360,1425,344347,896680,-32000,1409,1424,1682,1776
A214680,디알텍,20181113,1360,1375,1300,1375,249320,911401,-24944,1400,1433,1689,1780
A214680,디알텍,20181112,1450,1450,1365,1395,136257,885160,-1500,1398,1446,1696,1784
A214680,디알텍,20181109,1415,1445,1395,1435,122574,895461,-8000,1392,1455,1704,1790
A214680,디알텍,20181108,1390,1445,1390,1415,263105,914491,-3036,1375,1462,1711,1795
A214680,디알텍,20181107,1370,1425,1325,1380,261257,931308,-10035,1346,1468,1719,1801
A214680,디알텍,20181106,1375,1380,1330,1365,190249,955505,-1533,1312,1482,1728,1808
A214680,디알텍,20181105,1390,1390,1310,1365,195408,926612,-19532,1287,1502,1736,1813
A214680,디알텍,20181102,1275,1350,1275,1350,289649,937841,-54341,1269,1522,1744,1819
A214680,디알텍,20181101,1230,1320,1225,1270,561717,899708,-67578,1282,1544,1752,1826
A214680,디알텍,20181031,1210,1280,1165,1210,923119,867466,-27000,1325,1570,1762,1834
A214680,디알텍,20181030,1100,1240,1100,1240,1612724,818541,-205500,1389,1600,1773,1843
A214680,디알텍,20181029,1395,1445,1260,1275,437644,593109,-72530,1457,1629,1784,1852
A214680,디알텍,20181026,1515,1540,1385,1415,325967,509998,0,1526,1656,1793,1861
A214680,디알텍,20181025,1470,1520,1455,1485,158696,468017,0,1572,1677,1800,1869
A214680,디알텍,20181024,1580,1620,1510,1530,173896,445175,0,1614,1694,1804,1878
A214680,디알텍,20181023,1600,1630,1575,1580,134066,452223,0,1631,1710,1808,1885
A214680,디알텍,20181022,1635,1640,1610,1620,122877,461343,0,1641,1725,1811,1892
A214680,디알텍,20181019,1680,1680,1605,1645,234381,459686,5,1632,1737,1815,1899
A214680,디알텍,20181018,1630,1830,1620,1695,1430794,468462,0,1620,1749,1817,1906
A214680,디알텍,20181017,1630,1695,1615,1615,153745,633683,10000,1585,1759,1818,1912
A214680,디알텍,20181016,1560,1650,1560,1630,102728,631369,1418,1598,1774,1821,1921
A214680,디알텍,20181015,1560,1615,1560,1575,148661,611432,0,1624,1788,1825,1929
A214680,디알텍,20181012,1425,1625,1425,1585,467007,607454,641,1662,1804,1829,1938
A214680,디알텍,20181011,1555,1645,1520,1520,305396,532740,492,1702,1819,1833,1943
A214680,디알텍,20181010,1745,1770,1670,1680,208411,492955,285,1755,1837,1837,1949
A214680,디알텍,20181008,1750,1790,1740,1760,63248,499555,475,1783,1847,1839,1954
A214680,디알텍,20181005,1745,1790,1740,1765,166828,544442,510,1794,1855,1840,1957
A214680,디알텍,20181004,1780,1820,1760,1785,153987,554718,0,1805,1862,1840,1960
A214680,디알텍,20181002,1820,1830,1770,1785,228941,561471,4000,1814,1868,1839,1962
A214680,디알텍,20181001,1855,1860,1810,1820,171841,525489,0,1823,1872,1839,1966
A214680,디알텍,20180928,1810,1830,1800,1815,147828,546554,1031,1826,1874,1837,1970
A214680,디알텍,20180927,1860,1875,1800,1820,231239,551039,0,1842,1876,1836,1973
A214680,디알텍,20180921,1820,1835,1800,1830,198647,570231,5489,1849,1876,1834,1977
A214680,디알텍,20180920,1830,1850,1800,1830,240705,566001,0,1859,1875,1833,1981
A214680,디알텍,20180919,1920,1920,1820,1835,312352,511608,761,1874,1876,1832,1983
A214680,디알텍,20180918,1860,1915,1860,1895,293396,577052,898,1888,1876,1833,1986
A214680,디알텍,20180917,1895,1910,1850,1855,253648,486365,0,1891,1874,1833,1988
A214680,디알텍,20180914,1895,1915,1850,1880,394490,494313,28000,1900,1873,1835,1990
A214680,디알텍,20180913,1905,1915,1890,1905,83085,456711,30,1901,1871,1835,1993
A214680,디알텍,20180912,1940,1940,1895,1905,153553,467758,29,1896,1865,1837,1995
A214680,디알텍,20180911,1900,1945,1870,1910,294413,471535,0,1892,1859,1838,1997
A214680,디알텍,20180910,1900,1900,1850,1900,158025,420328,30,1893,1854,1841,1999
A214680,디알텍,20180907,1895,1915,1860,1885,268455,424516,435,1894,1853,1846,2001
A214680,디알텍,20180906,1905,1905,1870,1880,141282,412938,30,1898,1853,1854,2003
A214680,디알텍,20180905,1955,1975,1885,1885,400702,402184,0,1895,1853,1856,2005
A214680,디알텍,20180904,1905,1920,1875,1915,128527,473081,0,1890,1853,1858,2008
A214680,디알텍,20180903,1910,1920,1895,1905,151347,435952,0,1877,1850,1857,2010
A214680,디알텍,20180831,1860,1965,1860,1905,492277,422915,-2234,1859,1848,1858,2012
A214680,디알텍,20180830,1875,1875,1850,1865,96495,420620,388,1842,1846,1859,2014
A214680,디알텍,20180829,1860,1870,1845,1860,189101,428747,0,1838,1846,1859,2016
A214680,디알텍,20180828,1820,1885,1820,1850,321491,423796,127,1833,1846,1860,2019
A214680,디알텍,20180827,1815,1840,1810,1815,155614,360604,12000,1833,1846,1860,2022
A214680,디알텍,20180824,1850,1850,1815,1820,171795,343161,19000,1840,1848,1861,2026
A214680,디알텍,20180823,1850,1855,1820,1845,100903,322116,268,1844,1848,1862,2030
A214680,디알텍,20180822,1860,1865,1830,1835,149499,299829,0,1830,1843,1864,2035
A214680,디알텍,20180821,1865,1865,1825,1850,136174,278593,0,1822,1840,1864,2040
A214680,디알텍,20180820,1865,1865,1825,1850,126729,272394,0,1812,1835,1864,2044
A214680,디알텍,20180817,1765,1845,1765,1840,178826,265022,-1,1818,1834,1865,2048
A214680,디알텍,20180816,1790,1805,1745,1775,215740,220691,1,1827,1830,1867,2053
A214680,디알텍,20180814,1800,1820,1790,1795,128306,198274,7000,1849,1830,1869,2058
A214680,디알텍,20180813,1905,1905,1770,1800,287302,171484,12000,1868,1831,1871,2062
A214680,디알텍,20180810,1905,1905,1870,1880,146504,182295,0,1877,1834,1872,2066
A214680,디알텍,20180809,1870,1915,1870,1885,153203,196829,0,1874,1830,1876,2069
A214680,디알텍,20180808,1910,1920,1870,1885,170696,168596,14497,1869,1826,1879,2074
A214680,디알텍,20180807,1865,1890,1840,1890,197604,183271,2503,1866,1822,1884,2076
A214680,디알텍,20180806,1865,1870,1830,1845,144464,130866,6000,1861,1817,1888,2078
A214680,디알텍,20180803,1860,1895,1840,1865,149098,127066,1,1864,1814,1891,2079
A214680,디알텍,20180802,1885,1885,1850,1860,162116,89695,0,1860,1810,1895,2081
A214680,디알텍,20180801,1865,1915,1850,1870,343154,67018,0,1851,1804,1900,2082
A214680,디알텍,20180731,1860,1895,1830,1865,385507,54942,0,1828,1799,1906,2086
A214680,디알텍,20180730,1890,1940,1855,1860,899331,20842,0,1807,1792,1912,2090
A214680,디알텍,20180727,1825,1895,1815,1845,831540,56479,0,1786,1785,1920,2092
A214680,디알텍,20180726,1800,1970,1790,1815,2723969,11375,0,1783,1780,1929,2095
A214680,디알텍,20180725,1760,1785,1745,1755,234723,104529,32434,1775,1776,1939,2098
A214680,디알텍,20180724,1755,1795,1745,1760,220135,131447,33567,1776,1778,1951,2101
A214680,디알텍,20180723,1845,1860,1755,1755,287020,144148,33000,1788,1785,1962,2104
A214680,디알텍,20180720,1785,1865,1765,1830,375584,162107,10000,1807,1792,1973,2108
A214680,디알텍,20180719,1780,1785,1755,1775,183458,95676,30000,1802,1797,1983,2111
A214680,디알텍,20180718,1820,1835,1755,1760,292389,95145,0,1810,1803,1994,2114
A214680,디알텍,20180717,1830,1855,1815,1820,200272,71863,0,1816,1816,2007,2117
A214680,디알텍,20180716,1870,1885,1825,1850,707182,80681,0,1812,1824,2020,2118
A214680,디알텍,20180713,1835,1835,1760,1805,438836,195429,-1242,1798,1835,2033,2119
A214680,디알텍,20180712,1785,1840,1750,1815,337628,155263,0,1793,1856,2047,2121
A214680,디알텍,20180711,1800,1825,1780,1790,176810,108601,0,1778,1884,2053,2122
A214680,디알텍,20180710,1810,1820,1790,1800,172248,127491,0,1777,1894,2061,2124
A214680,디알텍,20180709,1800,1810,1765,1780,305876,82399,-13240,1762,1903,2068,2125
A214680,디알텍,20180706,1735,1805,1715,1780,407240,118648,0,1749,1909,2074,2125
A214680,디알텍,20180705,1765,1805,1720,1740,217826,139970,0,1742,1918,2080,2126
A214680,디알텍,20180704,1730,1840,1730,1785,388719,187429,0,1740,1927,2086,2127
A214680,디알텍,20180703,1705,1745,1680,1725,297736,221761,-556,1745,1933,2093,2128
A214680,디알텍,20180702,1745,1825,1710,1715,480596,172380,1,1778,1941,2102,2129
A214680,디알텍,20180629,1725,1790,1710,1745,375202,223182,0,1814,1949,2110,2130
A214680,디알텍,20180628,1780,1825,1725,1730,666376,201792,0,1850,1955,2119,2131
A214680,디알텍,20180627,1875,1890,1810,1810,690138,183645,0,1885,1964,2129,2132
A214680,디알텍,20180626,1845,1920,1845,1890,597369,176399,0,1924,1969,2134,2131
A214680,디알텍,20180625,1920,1930,1865,1895,546938,183194,0,1944,1967,2138,2130
A214680,디알텍,20180622,1925,1940,1880,1925,856152,146447,0,1979,1966,2142,2129
A214680,디알텍,20180621,2020,2025,1895,1905,1314923,133786,0,2041,1965,2146,2128
A214680,디알텍,20180620,2090,2100,1980,2005,2305758,107736,0,2134,1966,2151,2128
A214680,디알텍,20180619,2015,2070,1970,1990,1825508,267973,964,2132,1962,2153,2126
A214680,디알텍,20180618,2240,2240,2035,2070,3161945,207519,1613,2127,1958,2156,2126
A214680,디알텍,20180615,2205,2325,2115,2235,9343584,154653,-237949,2093,1949,2157,2124
A214680,디알텍,20180614,2440,2590,2250,2370,31003197,154041,-521245,2040,1941,2155,2121
A214680,디알텍,20180612,1945,2055,1930,1995,1741247,186212,-120994,1950,1927,2152,2118
A214680,디알텍,20180611,1955,2035,1930,1965,921295,178004,-24021,1930,1935,2154,2116
A214680,디알텍,20180608,1970,1970,1900,1900,721081,196265,10000,1915,1943,2158,2115
A214680,디알텍,20180607,2000,2185,1970,1970,4445367,198974,-308619,1911,1951,2162,2114
A214680,디알텍,20180605,1900,1985,1880,1920,1232175,330976,-90394,1890,1957,2166,2113
A214680,디알텍,20180604,1915,1945,1870,1895,203200,397796,0,1887,1970,2169,2113
A214680,디알텍,20180601,1900,1905,1850,1890,342494,320268,-75000,1891,1985,2173,2113
A214680,디알텍,20180531,2000,2080,1875,1880,1056561,262492,-76591,1882,2003,2179,2113
A214680,디알텍,20180530,1910,1925,1850,1865,312809,383679,-8531,1882,2026,2185,2113
A214680,디알텍,20180529,1920,1965,1895,1905,238541,415915,-3000,1888,2051,2191,2113
A214680,디알텍,20180528,1845,1955,1845,1915,405546,536914,-29000,1895,2077,2198,2113
A214680,디알텍,20180525,1870,1880,1825,1845,389859,546664,0,1897,2106,2206,2113
A214680,디알텍,20180524,1900,1910,1870,1880,244284,556992,0,1909,2134,2216,2113
