stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A217320,썬테크,20190129,10500,11100,10500,11100,101,0,99,11900,10432,8270,9823
A217320,썬테크,20190128,12000,12000,12000,12000,1,0,0,12060,10416,8179,9825
A217320,썬테크,20190125,10500,10500,10500,10500,100,0,100,11730,10412,8090,9831
A217320,썬테크,20190124,11650,12300,11650,12300,101,0,99,11930,10404,8017,9867
A217320,썬테크,20190123,13600,13600,13600,13600,1,0,0,11470,10240,7906,9887
A217320,썬테크,20190122,8800,11900,8800,11900,2,0,0,10940,10059,7789,9884
A217320,썬테크,20190121,9800,10350,9800,10350,104,0,102,10470,9898,7720,9895
A217320,썬테크,20190118,8500,11500,8500,11500,2,0,0,10640,9863,7660,9905
A217320,썬테크,20190117,12550,12550,10000,10000,2,0,0,10294,9823,7600,9896
A217320,썬테크,20190116,10950,10950,10950,10950,1,0,0,9994,9788,7548,9899
A217320,썬테크,20190115,9550,9550,9550,9550,105,0,105,9690,9646,7500,9894
A217320,썬테크,20190114,11200,11200,11200,11200,1,0,0,9870,9618,7465,9902
A217320,썬테크,20190111,9770,9770,9770,9770,1,0,0,9448,9449,7386,9895
A217320,썬테크,20190110,8020,8500,8020,8500,126,0,124,9076,9394,7350,9889
A217320,썬테크,20190109,8900,9430,8900,9430,114,0,112,9132,9347,7325,9894
A217320,썬테크,20190108,10450,10450,10450,10450,1,0,0,9196,9294,7275,9891
A217320,썬테크,20190107,9090,9090,9090,9090,1,0,0,9266,9136,7227,9874
A217320,썬테크,20190104,7470,7910,7470,7910,135,0,133,9828,9054,7223,9859
A217320,썬테크,20190103,8290,8780,8290,8780,122,0,120,10316,8983,7265,9846
A217320,썬테크,20190102,9200,9750,9200,9750,110,0,108,10362,8842,7318,9834
A217320,썬테크,20181228,10200,10800,10200,10800,101,0,99,10410,8630,7356,9826
A217320,썬테크,20181227,11900,11900,11900,11900,1,0,0,9988,8351,7376,9799
A217320,썬테크,20181226,10350,10350,10350,10350,1,0,0,9536,8062,7394,9755
A217320,썬테크,20181224,8500,9010,8500,9010,119,0,117,9606,7904,7461,9717
A217320,썬테크,20181221,9990,9990,9990,9990,1,0,0,9666,7767,7578,9684
