stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A217780,TIGER 차이나CSI300인버스(합성),20190129,14380,14575,14370,14370,200348,0,-536,14416,14867,14865,14749
A217780,TIGER 차이나CSI300인버스(합성),20190128,14285,14375,14210,14370,210898,0,622,14484,14924,14875,14744
A217780,TIGER 차이나CSI300인버스(합성),20190125,14440,14480,14275,14285,227544,0,0,14513,14983,14885,14739
A217780,TIGER 차이나CSI300인버스(합성),20190124,14725,14725,14375,14375,218765,0,-9468,14587,15043,14898,14735
A217780,TIGER 차이나CSI300인버스(합성),20190123,14720,14775,14605,14680,242645,0,-2074,14672,15095,14912,14729
A217780,TIGER 차이나CSI300인버스(합성),20190122,14535,14710,14475,14710,198972,0,-1096,14684,15136,14917,14719
A217780,TIGER 차이나CSI300인버스(합성),20190121,14600,14600,14400,14515,208146,0,-2939,14702,15164,14920,14708
A217780,TIGER 차이나CSI300인버스(합성),20190118,14790,14790,14640,14655,287309,0,-550,14802,15190,14927,14697
A217780,TIGER 차이나CSI300인버스(합성),20190117,14725,14810,14710,14800,203265,0,-295,14845,15202,14931,14688
A217780,TIGER 차이나CSI300인버스(합성),20190116,14800,14840,14730,14740,226339,0,-1179,14876,15199,14929,14677
A217780,TIGER 차이나CSI300인버스(합성),20190115,15015,15015,14760,14800,220484,0,-1088,14912,15197,14938,14669
A217780,TIGER 차이나CSI300인버스(합성),20190114,14905,15045,14905,15015,227720,0,-11,14999,15183,14950,14658
A217780,TIGER 차이나CSI300인버스(합성),20190111,14950,15000,14870,14870,237081,0,58,15030,15168,14953,14648
A217780,TIGER 차이나CSI300인버스(합성),20190110,14920,15150,14920,14955,144908,0,26,15136,15167,14960,14637
A217780,TIGER 차이나CSI300인버스(합성),20190109,15170,15240,14900,14920,253998,0,0,15295,15164,14962,14624
A217780,TIGER 차이나CSI300인버스(합성),20190108,15155,15240,15155,15235,178405,0,0,15455,15158,14961,14611
A217780,TIGER 차이나CSI300인버스(합성),20190107,15190,15830,15095,15170,188224,0,1383,15510,15138,14957,14600
A217780,TIGER 차이나CSI300인버스(합성),20190104,15705,15810,15330,15400,168849,0,-1643,15588,15108,14946,14587
A217780,TIGER 차이나CSI300인버스(합성),20190103,15720,15795,15640,15750,110710,0,-83,15605,15068,14928,14573
A217780,TIGER 차이나CSI300인버스(합성),20190102,15510,15740,15450,15720,130653,0,-143,15536,15012,14908,14558
A217780,TIGER 차이나CSI300인버스(합성),20181228,15600,15600,15465,15510,174574,0,2156,15495,14977,14886,14545
A217780,TIGER 차이나CSI300인버스(합성),20181227,15105,15560,15015,15560,120831,0,9657,15444,14953,14864,14532
A217780,TIGER 차이나CSI300인버스(합성),20181226,15450,15530,15355,15485,120218,0,0,15342,14918,14840,14518
A217780,TIGER 차이나CSI300인버스(합성),20181224,15465,15560,15375,15405,121486,0,27,15222,14895,14818,14504
