stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A222180,ARIRANG 스마트베타 Value,20190129,9965,10005,9925,10005,157,1,59,9982,9660,9474,9737
A222180,ARIRANG 스마트베타 Value,20190128,10070,10070,10000,10030,95,1,0,9935,9634,9455,9741
A222180,ARIRANG 스마트베타 Value,20190125,9910,10055,9910,10055,201,1,-100,9909,9604,9438,9744
A222180,ARIRANG 스마트베타 Value,20190124,9865,9925,9850,9925,116,1,-22,9869,9566,9418,9746
A222180,ARIRANG 스마트베타 Value,20190123,9805,9915,9800,9895,236,1,6,9837,9544,9402,9749
A222180,ARIRANG 스마트베타 Value,20190122,9910,9910,9745,9770,3062,1,6,9797,9526,9389,9753
A222180,ARIRANG 스마트베타 Value,20190121,9940,9940,9860,9900,115,1,-16,9779,9513,9381,9756
A222180,ARIRANG 스마트베타 Value,20190118,9855,9865,9825,9855,147,1,-50,9703,9496,9371,9759
A222180,ARIRANG 스마트베타 Value,20190117,9735,9765,9695,9765,97,1,0,9649,9479,9363,9761
A222180,ARIRANG 스마트베타 Value,20190116,9655,9715,9655,9695,1096,1,0,9599,9471,9360,9764
A222180,ARIRANG 스마트베타 Value,20190115,9585,9710,9585,9680,88,1,-1,9568,9463,9357,9767
A222180,ARIRANG 스마트베타 Value,20190114,9590,9595,9485,9520,6819,1,0,9498,9456,9354,9771
A222180,ARIRANG 스마트베타 Value,20190111,9505,9590,9505,9585,94,1,0,9471,9454,9356,9777
A222180,ARIRANG 스마트베타 Value,20190110,9505,9535,9480,9515,78,1,0,9407,9441,9355,9782
A222180,ARIRANG 스마트베타 Value,20190109,9365,9570,9365,9540,171,1,105,9340,9429,9355,9788
A222180,ARIRANG 스마트베타 Value,20190108,9390,9390,9325,9330,100,1,-1,9295,9420,9355,9793
A222180,ARIRANG 스마트베타 Value,20190107,9345,9400,9295,9385,14974,1,1,9323,9422,9358,9799
A222180,ARIRANG 스마트베타 Value,20190104,9200,9265,9165,9265,165,1,0,9333,9427,9368,9806
A222180,ARIRANG 스마트베타 Value,20190103,9295,9295,9180,9180,107,1,-24,9341,9438,9384,9813
A222180,ARIRANG 스마트베타 Value,20190102,9425,9495,9245,9315,25808,1,-5,9402,9461,9402,9821
A222180,ARIRANG 스마트베타 Value,20181228,9520,9520,9455,9470,158,1,0,9442,9468,9418,9827
A222180,ARIRANG 스마트베타 Value,20181227,9440,9545,9375,9435,34446,1,-19,9452,9468,9433,9831
A222180,ARIRANG 스마트베타 Value,20181226,9385,9395,9220,9305,24252,1,0,9478,9469,9450,9835
A222180,ARIRANG 스마트베타 Value,20181224,9470,9535,9470,9485,100,1,0,9519,9474,9470,9841
A222180,ARIRANG 스마트베타 Value,20181221,9575,9575,9475,9515,124,1,-24,9542,9468,9484,9848
A222180,ARIRANG 스마트베타 Value,20181220,9550,9585,9450,9520,8098,1,-5,9546,9456,9496,9854
A222180,ARIRANG 스마트베타 Value,20181219,9525,9580,9525,9565,110,1,0,9553,9447,9506,9861
A222180,ARIRANG 스마트베타 Value,20181218,9610,9675,9510,9510,3172,1,-2,9535,9439,9516,9868
A222180,ARIRANG 스마트베타 Value,20181217,9650,9685,9590,9600,13049,1,1,9497,9435,9527,9877
A222180,ARIRANG 스마트베타 Value,20181214,9575,9595,9475,9535,5684,1,113,9432,9426,9537,9884
A222180,ARIRANG 스마트베타 Value,20181213,9445,9555,9445,9555,6300,1,0,9397,9418,9549,9891
A222180,ARIRANG 스마트베타 Value,20181212,9375,9475,9355,9475,100,1,0,9358,9406,9561,9901
