stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A223190,KODEX 200가치저변동,20190129,8470,8535,8435,8535,40549,0,-1579,8425,8087,7948,8171
A223190,KODEX 200가치저변동,20190128,8545,8545,8440,8495,311721,0,-21078,8360,8052,7934,8173
A223190,KODEX 200가치저변동,20190125,8370,8510,8370,8510,19360,0,7963,8312,8016,7922,8174
A223190,KODEX 200가치저변동,20190124,8245,8335,8245,8335,6088,0,-2841,8258,7976,7909,8176
A223190,KODEX 200가치저변동,20190123,8175,8255,8140,8250,3403,0,-299,8231,7948,7898,8179
A223190,KODEX 200가치저변동,20190122,8265,8270,8150,8210,23138,0,-15216,8212,7926,7890,8183
A223190,KODEX 200가치저변동,20190121,8235,8255,8175,8255,11578,0,10574,8189,7904,7883,8186
A223190,KODEX 200가치저변동,20190118,8180,8240,8180,8240,7653,0,-5099,8123,7884,7878,8189
A223190,KODEX 200가치저변동,20190117,8195,8210,8130,8200,17281,0,15004,8075,7862,7874,8192
A223190,KODEX 200가치저변동,20190116,8065,8155,8060,8155,14780,0,12276,8027,7843,7873,8196
A223190,KODEX 200가치저변동,20190115,7905,8095,7905,8095,9256,0,6489,7986,7824,7872,8199
A223190,KODEX 200가치저변동,20190114,7975,7975,7880,7925,48043,0,-2926,7917,7815,7872,8204
A223190,KODEX 200가치저변동,20190111,7965,8000,7945,8000,5187,0,4617,7892,7812,7876,8209
A223190,KODEX 200가치저변동,20190110,7935,7960,7915,7960,11023,0,8262,7832,7800,7877,8215
A223190,KODEX 200가치저변동,20190109,7785,7950,7780,7950,160675,0,-23589,7770,7789,7879,8220
A223190,KODEX 200가치저변동,20190108,7785,7820,7750,7750,7025,0,-2910,7726,7784,7882,8225
A223190,KODEX 200가치저변동,20190107,7760,7835,7760,7800,51798,0,-23058,7741,7786,7887,8232
A223190,KODEX 200가치저변동,20190104,7635,7700,7625,7700,2004,0,889,7738,7792,7897,8238
A223190,KODEX 200가치저변동,20190103,7680,7715,7630,7650,4371,0,668,7738,7805,7909,8246
A223190,KODEX 200가치저변동,20190102,7830,7865,7685,7730,40210,0,3717,7766,7825,7923,8253
A223190,KODEX 200가치저변동,20181228,7830,7840,7800,7825,6916,0,-815,7778,7834,7935,8259
A223190,KODEX 200가치저변동,20181227,7765,7815,7740,7785,27118,0,-3992,7769,7842,7948,8264
A223190,KODEX 200가치저변동,20181226,7705,7730,7615,7700,39686,0,2221,7782,7852,7963,8270
A223190,KODEX 200가치저변동,20181224,7785,7790,7715,7790,7162,0,4495,7801,7864,7980,8276
A223190,KODEX 200가치저변동,20181221,7745,7790,7710,7790,5227,0,3631,7809,7868,7996,8284
A223190,KODEX 200가치저변동,20181220,7780,7815,7705,7780,11456,0,5030,7805,7867,8010,8291
A223190,KODEX 200가치저변동,20181219,7780,7850,7780,7850,3895,0,1548,7833,7869,8024,8299
A223190,KODEX 200가치저변동,20181218,7790,7835,7765,7795,5838,0,117,7837,7869,8036,8307
A223190,KODEX 200가치저변동,20181217,7770,7860,7765,7830,11953,0,9085,7827,7872,8048,8315
A223190,KODEX 200가치저변동,20181214,7880,7895,7755,7770,47806,0,-19947,7811,7879,8059,8323
A223190,KODEX 200가치저변동,20181213,7865,7940,7860,7920,3177,0,845,7825,7889,8072,8331
A223190,KODEX 200가치저변동,20181212,7755,7870,7750,7870,3118,0,682,7803,7891,8082,8339
A223190,KODEX 200가치저변동,20181211,7785,7785,7700,7745,96208,0,23269,7812,7892,8092,8346
A223190,KODEX 200가치저변동,20181210,7700,7755,7695,7750,12260,0,8344,7855,7902,8104,8356
A223190,KODEX 200가치저변동,20181207,7810,7870,7805,7840,2115,0,1122,7914,7914,8116,8366
A223190,KODEX 200가치저변동,20181206,7900,7900,7775,7810,52027,0,3835,7929,7920,8127,8377
A223190,KODEX 200가치저변동,20181205,7850,7915,7835,7915,54381,0,-17338,7964,7928,8140,8389
A223190,KODEX 200가치저변동,20181204,8035,8035,7905,7960,2551,0,-1187,7975,7928,8150,8400
A223190,KODEX 200가치저변동,20181203,7975,8055,7960,8045,137972,0,-12758,7971,7927,8161,8411
A223190,KODEX 200가치저변동,20181130,7990,7995,7895,7915,6656,0,5633,7936,7920,8171,8421
A223190,KODEX 200가치저변동,20181129,8030,8045,7940,7985,3608,0,-206,7909,7922,8184,8432
A223190,KODEX 200가치저변동,20181128,7900,7970,7895,7970,2976,0,1370,7876,7909,8195,8443
A223190,KODEX 200가치저변동,20181127,7845,7945,7830,7940,26245,0,-11133,7852,7898,8206,8453
A223190,KODEX 200가치저변동,20181126,7780,7870,7765,7870,74400,0,12578,7836,7888,8218,8462
A223190,KODEX 200가치저변동,20181123,7785,7820,7725,7780,2763,0,1571,7855,7879,8230,8472
A223190,KODEX 200가치저변동,20181122,7825,7855,7775,7820,67459,0,-6793,7892,7876,8243,8485
A223190,KODEX 200가치저변동,20181121,7790,7850,7745,7850,84533,0,-10158,7922,7876,8255,8498
A223190,KODEX 200가치저변동,20181120,7880,7910,7840,7860,66751,0,10397,7928,7882,8266,8511
A223190,KODEX 200가치저변동,20181119,7985,8030,7920,7965,115777,0,30294,7944,7887,8277,8523
A223190,KODEX 200가치저변동,20181116,7970,7985,7925,7965,5362,0,-52,7952,7898,8285,8535
A223190,KODEX 200가치저변동,20181115,7785,7970,7785,7970,62556,0,-3965,7948,7904,8292,8546
A223190,KODEX 200가치저변동,20181114,7895,7950,7855,7880,4263,0,-184,7952,7910,8300,8557
A223190,KODEX 200가치저변동,20181113,7805,7940,7790,7940,53450,0,-11880,7959,7924,8310,8568
A223190,KODEX 200가치저변동,20181112,7835,8005,7835,8005,10743,0,8954,7958,7931,8318,8579
A223190,KODEX 200가치저변동,20181109,7980,8000,7940,7945,54348,0,-16294,7935,7934,8327,8590
A223190,KODEX 200가치저변동,20181108,7960,8085,7960,7990,4685,0,126,7941,7943,8338,8602
A223190,KODEX 200가치저변동,20181107,7905,7985,7885,7915,25738,0,738,7886,7946,8350,8613
A223190,KODEX 200가치저변동,20181106,7895,7940,7840,7935,4101,0,506,7855,7969,8362,8625
A223190,KODEX 200가치저변동,20181105,7925,7925,7785,7890,92569,0,-7973,7816,7994,8373,8636
A223190,KODEX 200가치저변동,20181102,7795,7975,7790,7975,4522,0,50,7774,8024,8384,8648
A223190,KODEX 200가치저변동,20181101,7760,7820,7705,7715,87224,0,2686,7724,8049,8394,8659
A223190,KODEX 200가치저변동,20181031,7675,7760,7650,7760,27071,0,-72,7744,8093,8411,8673
A223190,KODEX 200가치저변동,20181030,7620,7770,7620,7740,121899,0,17966,7785,8140,8426,8688
A223190,KODEX 200가치저변동,20181029,7765,7765,7655,7680,297984,0,-16710,7829,8188,8442,8702
A223190,KODEX 200가치저변동,20181026,7755,7795,7650,7725,15196,0,1333,7929,8241,8460,8717
A223190,KODEX 200가치저변동,20181025,7735,7825,7675,7815,131916,0,25,8005,8287,8476,8731
A223190,KODEX 200가치저변동,20181024,7990,7990,7915,7965,96608,0,21787,8059,8328,8489,8742
A223190,KODEX 200가치저변동,20181023,8030,8070,7890,7960,96382,0,-4669,8099,8356,8500,8753
A223190,KODEX 200가치저변동,20181022,7995,8180,7995,8180,19582,0,3089,8120,8384,8511,8765
A223190,KODEX 200가치저변동,20181019,8010,8115,7985,8105,7686,0,1114,8098,8401,8518,8774
A223190,KODEX 200가치저변동,20181018,8165,8165,8060,8085,31063,0,6353,8102,8424,8527,8785
A223190,KODEX 200가치저변동,20181017,8155,8185,8120,8165,87854,0,-3802,8095,8444,8535,8795
A223190,KODEX 200가치저변동,20181016,8135,8135,8035,8065,107931,0,-10167,8138,8458,8543,8803
A223190,KODEX 200가치저변동,20181015,8140,8140,8035,8070,23351,0,7304,8210,8478,8552,8812
A223190,KODEX 200가치저변동,20181012,8035,8155,8010,8125,62410,0,-30636,8296,8501,8562,8820
A223190,KODEX 200가치저변동,20181011,8175,8215,8025,8050,76393,0,37586,8364,8520,8568,8828
A223190,KODEX 200가치저변동,20181010,8425,8425,8325,8380,153677,0,-10084,8473,8544,8576,8837
A223190,KODEX 200가치저변동,20181008,8465,8490,8415,8425,89986,0,-26751,8538,8552,8580,8842
A223190,KODEX 200가치저변동,20181005,8475,8500,8415,8500,200641,0,17053,8593,8563,8583,8848
A223190,KODEX 200가치저변동,20181004,8565,8565,8440,8465,53942,0,18446,8640,8569,8582,8852
A223190,KODEX 200가치저변동,20181002,8705,8710,8590,8595,87151,0,-1859,8677,8580,8582,8857
A223190,KODEX 200가치저변동,20181001,8700,8720,8655,8705,244944,0,162,8684,8583,8580,8859
A223190,KODEX 200가치저변동,20180928,8720,8735,8680,8700,233260,0,-18342,8648,8581,8576,8862
A223190,KODEX 200가치저변동,20180927,8645,8735,8630,8735,125974,0,-5634,8612,8577,8573,8865
A223190,KODEX 200가치저변동,20180921,8625,8650,8605,8650,350124,0,28710,8570,8571,8572,8868
A223190,KODEX 200가치저변동,20180920,8570,8640,8540,8630,106613,0,12194,8553,8566,8572,8872
A223190,KODEX 200가치저변동,20180919,8555,8575,8505,8525,87671,0,1221,8523,8561,8574,8875
A223190,KODEX 200가치저변동,20180918,8465,8525,8455,8520,91604,0,-36981,8510,8562,8578,8880
A223190,KODEX 200가치저변동,20180917,8565,8565,8480,8525,16095,0,9847,8499,8561,8583,8885
A223190,KODEX 200가치저변동,20180914,8530,8590,8530,8565,43133,0,-23989,8498,8556,8587,8890
A223190,KODEX 200가치저변동,20180913,8465,8490,8435,8480,116085,0,1707,8484,8548,8590,8896
A223190,KODEX 200가치저변동,20180912,8475,8490,8410,8460,26525,0,-1399,8496,8545,8596,8903
A223190,KODEX 200가치저변동,20180911,8485,8540,8430,8465,13056,0,-735,8514,8546,8601,8911
A223190,KODEX 200가치저변동,20180910,8480,8525,8470,8520,11523,0,905,8549,8545,8609,8917
A223190,KODEX 200가치저변동,20180907,8480,8520,8435,8495,67902,0,17080,8569,8547,8616,8924
A223190,KODEX 200가치저변동,20180906,8510,8570,8500,8540,27073,0,2763,8607,8553,8627,8931
A223190,KODEX 200가치저변동,20180905,8605,8625,8520,8550,16062,0,3949,8630,8558,8638,8938
A223190,KODEX 200가치저변동,20180904,8600,8640,8590,8640,7312,0,-4078,8651,8563,8651,8945
A223190,KODEX 200가치저변동,20180903,8680,8680,8590,8620,11325,0,5206,8649,8562,8660,8950
A223190,KODEX 200가치저변동,20180831,8620,8685,8580,8685,4668,0,1559,8646,8560,8671,8955
A223190,KODEX 200가치저변동,20180830,8625,8690,8625,8655,6552,0,2455,8619,8552,8681,8958
A223190,KODEX 200가치저변동,20180829,8660,8660,8610,8655,6603,0,-371,8596,8556,8690,8961
