stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A225590,패션플랫폼,20190129,1490,1520,1450,1475,92182,58765,0,1505,1434,1444,1578
A225590,패션플랫폼,20190128,1515,1570,1470,1505,89313,66890,0,1519,1427,1442,1583
A225590,패션플랫폼,20190125,1540,1540,1485,1515,71795,61437,0,1517,1418,1437,1588
A225590,패션플랫폼,20190124,1540,1570,1510,1515,71015,48359,0,1505,1407,1433,1592
A225590,패션플랫폼,20190123,1545,1545,1500,1515,109987,47525,0,1491,1398,1428,1596
A225590,패션플랫폼,20190122,1490,1565,1480,1545,227305,46150,0,1484,1388,1425,1600
A225590,패션플랫폼,20190121,1460,1525,1440,1495,200398,49229,0,1470,1377,1422,1604
A225590,패션플랫폼,20190118,1445,1475,1420,1455,105140,44569,-2,1457,1371,1423,1608
A225590,패션플랫폼,20190117,1535,1535,1430,1445,262201,31488,38,1448,1367,1425,1612
A225590,패션플랫폼,20190116,1485,1535,1465,1480,596977,31386,0,1439,1368,1427,1617
A225590,패션플랫폼,20190115,1405,1630,1400,1475,2055368,30668,0,1420,1366,1428,1621
A225590,패션플랫폼,20190114,1420,1440,1410,1430,57188,50420,0,1393,1369,1429,1626
A225590,패션플랫폼,20190111,1400,1470,1390,1410,104170,49899,0,1377,1374,1431,1631
A225590,패션플랫폼,20190110,1385,1455,1360,1400,155322,51621,0,1359,1380,1432,1636
A225590,패션플랫폼,20190109,1360,1430,1335,1385,100894,46058,0,1335,1384,1433,1642
A225590,패션플랫폼,20190108,1350,1360,1330,1340,21948,46825,0,1325,1390,1433,1647
A225590,패션플랫폼,20190107,1345,1360,1320,1350,35177,45084,-38,1325,1396,1434,1653
A225590,패션플랫폼,20190104,1280,1325,1260,1320,69713,41391,0,1321,1403,1434,1659
A225590,패션플랫폼,20190103,1335,1370,1275,1280,43999,34833,0,1316,1412,1437,1666
A225590,패션플랫폼,20190102,1370,1370,1315,1335,33039,35873,0,1325,1421,1441,1672
A225590,패션플랫폼,20181228,1330,1360,1305,1340,33021,37164,0,1321,1426,1444,1679
A225590,패션플랫폼,20181227,1315,1360,1295,1330,46428,37368,0,1321,1429,1448,1686
A225590,패션플랫폼,20181226,1265,1330,1265,1295,38533,36065,0,1329,1433,1452,1692
A225590,패션플랫폼,20181224,1305,1355,1295,1325,49494,39395,0,1346,1440,1456,1699
A225590,패션플랫폼,20181221,1340,1350,1315,1315,39547,45583,42,1371,1444,1460,1706
A225590,패션플랫폼,20181220,1350,1380,1300,1340,102821,44137,0,1400,1449,1465,1713
A225590,패션플랫폼,20181219,1365,1390,1335,1370,130328,43826,0,1437,1458,1468,1719
A225590,패션플랫폼,20181218,1450,1455,1355,1380,266896,34857,0,1471,1471,1472,1726
A225590,패션플랫폼,20181217,1435,1465,1380,1450,99481,30702,0,1501,1485,1475,1734
A225590,패션플랫폼,20181214,1525,1525,1440,1460,146446,30099,0,1503,1494,1480,1739
A225590,패션플랫폼,20181213,1565,1565,1510,1525,115550,33233,0,1514,1502,1486,1744
A225590,패션플랫폼,20181212,1530,1555,1500,1540,143736,32808,0,1501,1505,1491,1749
A225590,패션플랫폼,20181211,1460,1560,1435,1530,294598,28213,0,1492,1510,1495,1754
A225590,패션플랫폼,20181210,1495,1535,1420,1460,205347,30826,-2381,1485,1500,1499,1759
A225590,패션플랫폼,20181207,1495,1580,1460,1515,499893,25300,-41,1486,1494,1505,1765
A225590,패션플랫폼,20181206,1525,1525,1440,1460,93168,45175,0,1468,1489,1510,1770
A225590,패션플랫폼,20181205,1470,1505,1435,1495,92109,74561,0,1456,1488,1516,1776
A225590,패션플랫폼,20181204,1470,1515,1455,1495,192931,80576,0,1439,1484,1522,1782
A225590,패션플랫폼,20181203,1440,1495,1435,1465,237229,85363,0,1430,1479,1528,1788
A225590,패션플랫폼,20181130,1390,1440,1390,1425,72463,88923,-3270,1418,1475,1536,1794
