stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A226320,잇츠한불,20190129,26650,27000,25750,26050,89686,962032,-8279,26350,24968,25981,32879
A226320,잇츠한불,20190128,26700,26700,26200,26500,47323,963603,-3152,26180,25008,25969,33098
A226320,잇츠한불,20190125,26350,26650,26000,26450,72275,905357,-9443,25780,25008,25937,33293
A226320,잇츠한불,20190124,26650,26650,25800,26350,65625,919515,-2530,25370,24935,25914,33479
A226320,잇츠한불,20190123,25200,27500,25000,26400,246713,935846,1591,24910,24898,25879,33677
A226320,잇츠한불,20190122,24550,25300,24400,25200,70308,939676,-17781,24510,24858,25882,33874
A226320,잇츠한불,20190121,24500,24750,24400,24500,40220,922415,-9904,24480,24895,25918,34082
A226320,잇츠한불,20190118,24200,24400,23950,24400,28485,919739,3908,24550,24995,25979,34280
A226320,잇츠한불,20190117,24550,24650,24000,24050,54192,926528,-4897,24570,25105,26078,34485
A226320,잇츠한불,20190116,25150,25150,24300,24400,58021,924849,-3491,24700,25195,26212,34718
A226320,잇츠한불,20190115,25000,25200,24850,25050,25134,933677,-88,24730,25292,26355,34949
A226320,잇츠한불,20190114,24500,25500,24500,24850,50523,938557,1121,24570,25380,26458,35198
A226320,잇츠한불,20190111,24700,24750,24400,24500,26130,1003798,-7106,24400,25458,26583,35448
A226320,잇츠한불,20190110,24700,24750,24200,24700,38311,1003010,2075,24250,25490,26705,35682
A226320,잇츠한불,20190109,24350,24650,24250,24550,43182,1011477,-7448,24160,25525,26823,35918
A226320,잇츠한불,20190108,24100,25150,24100,24250,68371,1004663,-565,24280,25600,26962,36165
A226320,잇츠한불,20190107,24300,24300,23850,24000,39904,988844,-5918,24800,25665,27084,36410
A226320,잇츠한불,20190104,24000,24150,22950,23750,71203,998206,-17652,25300,25828,27228,36643
A226320,잇츠한불,20190103,25050,25450,24150,24250,55662,1002024,-9353,25550,26042,27434,36875
A226320,잇츠한불,20190102,27200,27350,25150,25150,56389,1005180,-3093,25820,26252,27642,37111
A226320,잇츠한불,20181228,26450,27150,26450,26850,49579,1025623,8790,25910,26418,27845,37326
A226320,잇츠한불,20181227,25500,26500,25450,26500,45080,1028538,6466,25730,26458,28082,37536
A226320,잇츠한불,20181226,25000,25400,24800,25000,33998,1009887,13564,25730,26568,28353,37753
A226320,잇츠한불,20181224,25600,25800,25350,25600,22869,1013972,2395,26050,26720,28642,37974
A226320,잇츠한불,20181221,25700,26000,25600,25600,28732,1017892,3385,26100,26820,28917,38205
A226320,잇츠한불,20181220,26500,26800,25850,25950,30630,992272,4003,26250,26930,29169,38440
A226320,잇츠한불,20181219,26500,26750,26300,26500,31638,1000732,-1169,26420,27035,29413,38674
A226320,잇츠한불,20181218,25450,26800,25300,26600,62683,1001801,10502,26400,27165,29662,38884
A226320,잇츠한불,20181217,26000,26150,25450,25850,30672,998697,142,26110,27098,29922,39066
A226320,잇츠한불,20181214,26800,26850,25850,26350,36984,1002716,2598,26020,27112,30205,39230
A226320,잇츠한불,20181213,26400,27250,25950,26800,62772,1004623,9283,25960,27125,30493,39385
A226320,잇츠한불,20181212,25250,26600,25250,26400,74336,1007321,314,25710,27095,30769,39538
A226320,잇츠한불,20181211,25600,25750,25150,25150,37588,987788,-680,25880,27010,31049,39700
A226320,잇츠한불,20181210,25450,26250,25250,25400,50729,978970,-4882,26460,26970,31355,39880
A226320,잇츠한불,20181207,25800,26300,25650,26050,41756,970997,-8880,27070,26952,31652,40070
A226320,잇츠한불,20181206,27300,27350,25350,25550,88246,964728,-9314,27550,26942,31948,40264
A226320,잇츠한불,20181205,27450,27550,27000,27250,57200,959611,-11391,27970,26945,32259,40482
A226320,잇츠한불,20181204,28650,28650,27900,28050,54033,959699,-56,28260,26812,32542,40691
A226320,잇츠한불,20181203,29000,29400,28200,28450,98521,960656,-5287,28260,26732,32799,40896
A226320,잇츠한불,20181130,27800,28850,27650,28450,93316,961822,-721,28090,26640,33060,41108
A226320,잇츠한불,20181129,29100,29150,27650,27650,98971,949389,5716,27960,26558,33324,41330
