stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A226440,한송네오텍,20190129,1800,1865,1740,1810,9318639,194690,1963113,1756,1762,1852,1768
A226440,한송네오텍,20190128,1800,1800,1745,1765,2311814,201407,0,1738,1765,1855,1768
A226440,한송네오텍,20190125,1760,1760,1730,1745,679262,275961,0,1726,1769,1858,1767
A226440,한송네오텍,20190124,1720,1755,1710,1735,960232,187209,0,1714,1773,1858,1767
A226440,한송네오텍,20190123,1720,1745,1700,1725,721119,192949,0,1700,1776,1861,1766
A226440,한송네오텍,20190122,1710,1750,1685,1720,942949,192775,0,1692,1785,1859,1766
A226440,한송네오텍,20190121,1730,1740,1685,1705,988171,212503,0,1694,1798,1855,1766
A226440,한송네오텍,20190118,1665,1725,1650,1685,899534,217937,0,1713,1813,1853,1766
A226440,한송네오텍,20190117,1700,1720,1645,1665,926305,172766,0,1695,1832,1852,1766
A226440,한송네오텍,20190116,1730,1765,1650,1685,2229194,164239,0,1691,1862,1852,1768
A226440,한송네오텍,20190115,1800,1800,1710,1730,1807440,164953,0,1726,1891,1851,1770
A226440,한송네오텍,20190114,1885,1945,1750,1800,6061023,163665,0,1746,1917,1850,1772
A226440,한송네오텍,20190111,1650,1680,1585,1595,2061222,260973,0,1771,1932,1846,1775
A226440,한송네오텍,20190110,1885,1910,1585,1645,3835375,242112,0,1821,1953,1846,1780
A226440,한송네오텍,20190109,1880,1895,1850,1860,1569088,252408,0,1866,1972,1842,1792
A226440,한송네오텍,20190108,1885,1900,1800,1830,1456580,28097,0,1874,1976,1835,1802
A226440,한송네오텍,20190107,1900,1965,1860,1925,1455258,77452,0,1883,1984,1826,1814
A226440,한송네오텍,20190104,1885,1895,1825,1845,1033348,66096,0,1867,1992,1819,1825
A226440,한송네오텍,20190103,1900,1940,1815,1870,1330748,22969,0,1861,1993,1814,1838
A226440,한송네오텍,20190102,1910,1925,1855,1900,914997,43771,0,1847,1993,1809,1848
A226440,한송네오텍,20181228,1860,1960,1845,1875,1213052,37775,0,1848,1985,1804,1859
A226440,한송네오텍,20181227,1830,1890,1800,1845,1380578,116724,0,1869,1978,1801,1870
A226440,한송네오텍,20181226,1730,1850,1730,1815,833932,300758,0,1900,1967,1799,1880
A226440,한송네오텍,20181224,1865,1905,1760,1800,1115616,309611,0,1951,1959,1798,1889
A226440,한송네오텍,20181221,1960,2025,1870,1905,1314167,90603,0,2042,1951,1797,1899
A226440,한송네오텍,20181220,1980,2045,1940,1980,1341729,107698,351,2115,1935,1795,1908
A226440,한송네오텍,20181219,2095,2120,1970,2000,2263023,109151,0,2170,1921,1791,1918
A226440,한송네오텍,20181218,2210,2215,2020,2070,3407968,70955,0,2188,1910,1787,1926
A226440,한송네오텍,20181217,2270,2300,2180,2255,2655260,168448,0,2178,1897,1781,1934
A226440,한송네오텍,20181214,2260,2375,2220,2270,9254274,126747,-300,2132,1877,1772,1939
A226440,한송네오텍,20181213,2090,2255,2070,2255,7077953,231204,0,2066,1856,1764,1944
A226440,한송네오텍,20181212,2150,2200,2040,2090,4915471,203807,0,2012,1838,1756,1949
A226440,한송네오텍,20181211,2010,2175,1970,2020,8040244,205408,0,2014,1826,1750,1955
A226440,한송네오텍,20181210,1950,2035,1930,2025,3512400,85905,-2181,1982,1814,1746,1963
A226440,한송네오텍,20181207,2060,2295,1920,1940,30095930,97854,-1518,1950,1802,1740,1970
A226440,한송네오텍,20181206,2115,2120,1940,1985,6973829,195730,0,1910,1800,1736,1979
A226440,한송네오텍,20181205,1815,2100,1810,2100,8304438,254229,0,1863,1799,1732,1987
A226440,한송네오텍,20181204,1900,1910,1815,1860,3136465,156308,0,1767,1787,1726,1994
A226440,한송네오텍,20181203,1800,1875,1765,1865,3932024,187419,-14356,1725,1790,1724,2005
A226440,한송네오텍,20181130,1735,1835,1695,1740,2693469,193763,-80000,1680,1797,1723,2017
A226440,한송네오텍,20181129,1645,1760,1615,1750,1978878,272486,-20000,1650,1810,1724,2029
A226440,한송네오텍,20181128,1655,1680,1620,1620,581239,322161,0,1638,1822,1723,2040
A226440,한송네오텍,20181127,1640,1670,1620,1650,589827,389374,0,1672,1836,1725,2053
A226440,한송네오텍,20181126,1590,1660,1570,1640,1141941,410761,0,1703,1842,1726,2067
A226440,한송네오텍,20181123,1695,1715,1575,1590,1737530,276841,0,1746,1856,1728,2082
A226440,한송네오텍,20181122,1805,1815,1650,1690,1620158,225864,-80190,1798,1857,1729,2094
A226440,한송네오텍,20181121,1780,1840,1780,1790,1381495,340484,0,1837,1847,1729,2105
A226440,한송네오텍,20181120,1810,1845,1780,1805,1347432,414815,-1,1849,1836,1727,2114
A226440,한송네오텍,20181119,1895,1900,1845,1855,1606654,244708,0,1844,1826,1725,2119
A226440,한송네오텍,20181116,1900,1910,1840,1850,1815115,244337,-7000,1834,1818,1722,2123
A226440,한송네오텍,20181115,1895,1940,1815,1885,3905720,187307,-135000,1844,1806,1718,2128
A226440,한송네오텍,20181114,1770,1915,1760,1850,5345125,285815,-34540,1859,1795,1713,2133
A226440,한송네오텍,20181113,1770,1825,1710,1780,2513002,115605,1,1860,1780,1710,2139
A226440,한송네오텍,20181112,1860,1905,1805,1805,2344337,68906,-39,1889,1772,1708,2145
A226440,한송네오텍,20181109,1950,1995,1880,1900,3882907,38009,-40,1927,1753,1705,2150
A226440,한송네오텍,20181108,1885,1975,1875,1960,5616700,66463,-41,1949,1728,1702,2155
A226440,한송네오텍,20181107,2080,2115,1795,1855,14190376,183371,-160852,1955,1697,1697,2158
A226440,한송네오텍,20181106,1970,1975,1840,1925,7281627,201224,154775,1964,1678,1695,2161
A226440,한송네오텍,20181105,2020,2050,1980,1995,5378385,152519,1964,1934,1660,1692,2164
A226440,한송네오텍,20181102,1980,2065,1955,2010,12351551,128478,-31,1915,1638,1688,2166
A226440,한송네오텍,20181101,1940,1990,1865,1990,12755618,30019,-9000,1836,1618,1684,2167
A226440,한송네오텍,20181031,1805,1935,1780,1900,21868961,29693,-209000,1738,1602,1680,2170
A226440,한송네오텍,20181030,2005,2025,1690,1775,17067009,109413,-200000,1669,1593,1676,2172
A226440,한송네오텍,20181029,1655,1960,1625,1900,36872277,233521,-300000,1636,1592,1675,2176
A226440,한송네오텍,20181026,1535,1640,1450,1615,2717447,312982,36,1594,1584,1672,2180
A226440,한송네오텍,20181025,1485,1550,1460,1500,690964,240252,0,1594,1592,1673,2186
A226440,한송네오텍,20181024,1620,1655,1550,1555,1434961,177762,0,1628,1604,1676,2193
A226440,한송네오텍,20181023,1675,1715,1590,1610,1302016,156565,-28950,1629,1614,1678,2200
A226440,한송네오텍,20181022,1595,1730,1595,1690,1966589,148351,0,1630,1621,1680,2207
A226440,한송네오텍,20181019,1640,1655,1590,1615,880969,115937,0,1577,1623,1684,2213
