stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A227840,현대코퍼레이션홀딩스,20190129,17950,18050,17250,17400,78622,758539,326,18030,17705,16973,22632
A227840,현대코퍼레이션홀딩스,20190128,18250,18400,17800,17950,45011,757856,-15,18140,17635,16966,22712
A227840,현대코퍼레이션홀딩스,20190125,18350,18450,18050,18150,48496,759659,308,18130,17542,16947,22788
A227840,현대코퍼레이션홀딩스,20190124,18450,19000,18000,18350,88299,761910,2365,18260,17448,16926,22860
A227840,현대코퍼레이션홀딩스,20190123,18000,18400,17500,18300,84409,788998,9,18330,17360,16883,22925
A227840,현대코퍼레이션홀딩스,20190122,18000,18400,17650,17950,60386,779243,148,18530,17248,16861,22989
A227840,현대코퍼레이션홀딩스,20190121,19000,19000,17900,17900,90720,773579,-11,18840,17152,16868,23053
A227840,현대코퍼레이션홀딩스,20190118,18550,19150,18400,18800,49579,770292,723,19160,17055,16892,23120
A227840,현대코퍼레이션홀딩스,20190117,19350,19600,18500,18700,89773,770161,-23,19190,16910,17012,23173
A227840,현대코퍼레이션홀딩스,20190116,19500,19800,18900,19300,150731,769536,-31905,18850,16772,17156,23235
A227840,현대코퍼레이션홀딩스,20190115,19900,19950,19100,19500,149421,761592,-1177,18400,16640,17308,23290
A227840,현대코퍼레이션홀딩스,20190114,19350,19900,18800,19500,200591,772191,994,17890,16512,17458,23345
A227840,현대코퍼레이션홀딩스,20190111,17150,19400,16850,18950,619225,769590,36833,17090,16365,17614,23399
A227840,현대코퍼레이션홀딩스,20190110,17250,17250,16600,17000,82435,766658,65,16390,16242,17767,23458
A227840,현대코퍼레이션홀딩스,20190109,17000,17300,16800,17050,102470,765166,83,16130,16225,17915,23535
A227840,현대코퍼레이션홀딩스,20190108,15650,17150,15550,16950,350912,757348,25,15860,16248,18040,23602
A227840,현대코퍼레이션홀딩스,20190107,15700,15750,15450,15500,64969,730505,55,15670,16262,18152,23665
A227840,현대코퍼레이션홀딩스,20190104,15550,15700,15200,15450,94858,711252,-81,15790,16388,18453,23731
A227840,현대코퍼레이션홀딩스,20190103,15800,15950,15500,15700,50571,713070,-1196,15950,16510,18785,23796
A227840,현대코퍼레이션홀딩스,20190102,16200,16300,15500,15700,54117,715519,-109,16130,16582,19120,23863
A227840,현대코퍼레이션홀딩스,20181228,16100,16300,15900,16000,41649,722206,-195,16200,16632,19451,23924
A227840,현대코퍼레이션홀딩스,20181227,16250,16550,16000,16100,55221,721836,47,16210,16668,19754,23982
A227840,현대코퍼레이션홀딩스,20181226,16300,16550,16050,16250,64343,725857,-203,16180,16698,20085,24034
A227840,현대코퍼레이션홀딩스,20181224,16050,16800,16000,16600,81741,750532,-64,16110,16722,20426,24075
A227840,현대코퍼레이션홀딩스,20181221,16050,16300,15900,16050,41841,749532,-122,15980,16690,20769,24143
A227840,현대코퍼레이션홀딩스,20181220,15950,16400,15800,16050,58731,744373,3630,16100,16710,21098,24218
A227840,현대코퍼레이션홀딩스,20181219,15900,16000,15550,15950,53298,720395,3017,16280,16742,21410,24283
A227840,현대코퍼레이션홀딩스,20181218,15600,16050,15600,15900,46379,714028,46,16400,16785,21706,24345
A227840,현대코퍼레이션홀딩스,20181217,16500,16600,15750,15950,162000,704055,261,16520,16822,22009,24408
A227840,현대코퍼레이션홀딩스,20181214,16950,17400,16500,16650,40467,724371,920,16660,16862,22303,24474
A227840,현대코퍼레이션홀딩스,20181213,16550,16950,16450,16950,34678,726661,173,16830,16858,22582,24527
A227840,현대코퍼레이션홀딩스,20181212,16400,16750,16300,16550,42402,715286,216,16890,16822,22783,24579
A227840,현대코퍼레이션홀딩스,20181211,16950,16950,16350,16500,49438,714455,108,17180,16800,22986,24622
A227840,현대코퍼레이션홀딩스,20181210,17150,17200,16500,16650,73449,713626,15,17460,16788,23194,24662
A227840,현대코퍼레이션홀딩스,20181207,17300,17700,17250,17500,70006,724891,-1172,17560,16752,23406,24705
A227840,현대코퍼레이션홀딩스,20181206,17900,17950,17000,17250,98556,723138,14,17400,16692,23602,24733
A227840,현대코퍼레이션홀딩스,20181205,17750,18350,17500,18000,124817,740000,-599,17290,16658,23800,24742
A227840,현대코퍼레이션홀딩스,20181204,17200,18250,17100,17900,163939,759328,-35,17030,16558,23979,24743
