stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A230240,에치에프알,20190129,2700,2730,2575,2700,2418017,71766,286087,2744,2482,2255,2399
A230240,에치에프알,20190128,2840,2845,2695,2750,1265533,27366,-74696,2690,2461,2246,2395
A230240,에치에프알,20190125,2720,2870,2710,2835,2684994,65652,40379,2638,2438,2233,2390
A230240,에치에프알,20190124,2705,2830,2665,2735,2958327,41597,75296,2575,2410,2218,2384
A230240,에치에프알,20190123,2425,2800,2420,2700,5817522,54300,396461,2523,2394,2205,2378
A230240,에치에프알,20190122,2500,2565,2400,2430,920494,26121,156,2458,2368,2194,2374
A230240,에치에프알,20190121,2565,2565,2465,2490,649855,23675,-83679,2449,2346,2188,2371
A230240,에치에프알,20190118,2455,2545,2380,2520,1105139,42469,49568,2414,2308,2184,2368
A230240,에치에프알,20190117,2380,2580,2370,2475,1301892,38354,-3327,2386,2268,2181,2365
A230240,에치에프알,20190116,2385,2385,2315,2375,314368,49683,15500,2345,2233,2179,2362
A230240,에치에프알,20190115,2325,2410,2315,2385,356743,45018,25877,2326,2208,2179,2360
A230240,에치에프알,20190114,2365,2375,2315,2315,322376,59305,27068,2316,2187,2180,2357
A230240,에치에프알,20190111,2290,2400,2275,2380,1005618,69346,74484,2343,2170,2181,2356
A230240,에치에프알,20190110,2255,2305,2240,2270,301431,33006,-29421,2354,2149,2181,2354
A230240,에치에프알,20190109,2320,2355,2255,2280,680755,46417,-27851,2373,2138,2182,2352
A230240,에치에프알,20190108,2450,2450,2310,2335,620415,61190,-39757,2402,2128,2182,2351
A230240,에치에프알,20190107,2490,2500,2360,2450,1039730,32779,-38790,2389,2115,2180,2349
A230240,에치에프알,20190104,2365,2460,2285,2435,1328860,59347,-50320,2359,2102,2180,2346
A230240,에치에프알,20190103,2430,2515,2285,2365,1624852,35792,37878,2326,2093,2183,2344
A230240,에치에프알,20190102,2270,2430,2230,2425,1326006,100790,64572,2333,2092,2188,2342
A230240,에치에프알,20181228,2300,2455,2225,2270,1201156,118062,7219,2288,2088,2192,2339
A230240,에치에프알,20181227,2285,2390,2250,2300,1233858,85029,54010,2231,2086,2197,2338
A230240,에치에프알,20181226,2390,2410,2205,2270,1779493,126200,-515,2117,2082,2202,2336
A230240,에치에프알,20181224,2230,2440,2155,2400,4654557,210285,600179,2006,2073,2211,2335
A230240,에치에프알,20181221,2050,2250,1990,2200,3286620,83733,346701,1880,2062,2218,2333
