stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A230360,에코마케팅,20190129,13600,13850,13250,13700,59699,207899,11646,13700,12845,12335,12438
A230360,에코마케팅,20190128,13800,13900,13400,13600,59825,202169,2470,13580,12730,12312,12425
A230360,에코마케팅,20190125,13950,14000,13650,13900,49758,201984,980,13480,12610,12305,12412
A230360,에코마케팅,20190124,13300,14100,13200,13900,145074,207424,20608,13300,12475,12281,12396
A230360,에코마케팅,20190123,12900,13500,12900,13400,100527,206467,24999,13090,12345,12248,12379
A230360,에코마케팅,20190122,13150,13200,12900,13100,49346,207539,22941,13030,12238,12236,12364
A230360,에코마케팅,20190121,13150,13150,12800,13100,59839,211343,20920,12940,12130,12241,12348
A230360,에코마케팅,20190118,12800,13050,12750,13000,74636,212345,30390,12830,12010,12255,12335
A230360,에코마케팅,20190117,13200,13200,12850,12850,50902,204846,6102,12770,11880,12283,12324
A230360,에코마케팅,20190116,12650,13200,12600,13100,121327,218887,21310,12710,11765,12322,12320
A230360,에코마케팅,20190115,12450,12650,12450,12650,56461,207229,5600,12590,11662,12355,12311
A230360,에코마케팅,20190114,12800,12950,12500,12550,53416,192696,4430,12560,11595,12398,12303
A230360,에코마케팅,20190111,12550,12800,12450,12700,58148,191576,8900,12550,11512,12447,12300
A230360,에코마케팅,20190110,12550,12700,12400,12550,86576,180104,27476,12490,11398,12483,12295
A230360,에코마케팅,20190109,12650,12900,12250,12500,116455,175589,1087,12260,11305,12511,12292
A230360,에코마케팅,20190108,12500,12750,12450,12500,33033,170962,2837,12060,11240,12542,12288
A230360,에코마케팅,20190107,12450,12750,12350,12500,108702,171603,5898,11840,11208,12563,12285
A230360,에코마케팅,20190104,11300,12400,11250,12400,307936,202337,60579,11580,11195,12617,12275
A230360,에코마케팅,20190103,11750,11750,11400,11400,106117,201082,44600,11340,11198,12650,12270
A230360,에코마케팅,20190102,11500,11700,11200,11500,140774,268631,73300,11320,11265,12698,12272
A230360,에코마케팅,20181228,11200,11600,11100,11400,89645,328543,35400,11270,11310,12753,12272
A230360,에코마케팅,20181227,11150,11550,11100,11200,120773,365685,42300,11180,11358,12816,12274
A230360,에코마케팅,20181226,11300,11300,10800,11200,102933,391205,18358,11080,11415,12858,12274
A230360,에코마케팅,20181224,11250,11550,11000,11300,149412,427492,82519,10920,11478,12890,12268
A230360,에코마케팅,20181221,10850,11250,10800,11250,141082,505804,70077,10770,11545,12928,12263
A230360,에코마케팅,20181220,10600,11350,10600,10950,159116,556423,33527,10730,11608,12963,12259
A230360,에코마케팅,20181219,10300,11050,10100,10700,213393,585087,14881,10800,11688,13006,12264
A230360,에코마케팅,20181218,10500,10750,10100,10400,147706,660565,-25270,10840,11790,13025,12271
A230360,에코마케팅,20181217,10950,11100,10450,10550,95978,639691,-27451,10840,11905,13052,12280
A230360,에코마케팅,20181214,11300,11450,10900,11050,45862,637578,0,10870,12032,13057,12291
