stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A230980,솔트웍스,20190129,5200,5300,5090,5230,186667,298105,0,4839,4210,4500,4690
A230980,솔트웍스,20190128,5150,5450,5060,5200,601675,290773,0,4633,4133,4484,4676
A230980,솔트웍스,20190125,4350,5300,4330,5140,1218562,292473,0,4427,4057,4464,4661
A230980,솔트웍스,20190124,4240,4350,4200,4350,60367,310945,0,4266,3982,4449,4646
A230980,솔트웍스,20190123,4075,4360,4075,4275,78423,308416,0,4250,3953,4445,4636
A230980,솔트웍스,20190122,4140,4290,4135,4200,73936,297074,0,4255,3933,4467,4626
A230980,솔트웍스,20190121,4335,4340,4160,4170,83855,293652,243,4231,3920,4494,4617
A230980,솔트웍스,20190118,4270,4335,4215,4335,59873,298769,0,4217,3912,4525,4608
A230980,솔트웍스,20190117,4320,4330,4200,4270,101074,297323,0,4149,3900,4564,4598
A230980,솔트웍스,20190116,4085,4300,4070,4300,62285,303958,0,4082,3890,4609,4588
A230980,솔트웍스,20190115,4045,4190,4045,4080,65148,309657,0,4018,3882,4656,4578
A230980,솔트웍스,20190114,4085,4165,3995,4100,81832,311933,0,3963,3887,4703,4571
A230980,솔트웍스,20190111,3935,4030,3915,3995,26125,311882,0,3897,3882,4748,4563
A230980,솔트웍스,20190110,3950,4050,3900,3935,90814,313460,0,3838,3885,4791,4557
A230980,솔트웍스,20190109,3810,4050,3810,3980,133633,327190,0,3780,3903,4838,4551
A230980,솔트웍스,20190108,3730,3855,3730,3805,66527,321997,0,3726,3928,4871,4544
A230980,솔트웍스,20190107,3725,3815,3680,3770,65532,322690,0,3705,3962,4891,4538
A230980,솔트웍스,20190104,3670,3765,3600,3700,73409,311907,0,3688,4014,4919,4534
A230980,솔트웍스,20190103,3585,3690,3585,3645,85373,301830,0,3675,4074,4956,4529
A230980,솔트웍스,20190102,3700,3820,3630,3710,78004,296916,0,3699,4136,4995,4524
A230980,솔트웍스,20181228,3730,3760,3685,3700,44546,298070,0,3732,4174,5031,4519
A230980,솔트웍스,20181227,3610,3770,3610,3685,73147,294692,0,3783,4219,5059,4514
A230980,솔트웍스,20181226,3840,3840,3530,3635,97551,278943,0,3845,4265,5089,4509
A230980,솔트웍스,20181224,3860,3970,3765,3765,78611,271585,0,3937,4322,5116,4506
A230980,솔트웍스,20181221,3885,3970,3875,3875,55132,267123,0,4000,4381,5155,4502
A230980,솔트웍스,20181220,3935,4060,3855,3955,97203,272303,0,4051,4436,5182,4498
A230980,솔트웍스,20181219,4200,4240,3940,3995,95017,271188,-10142,4096,4485,5210,4493
A230980,솔트웍스,20181218,4100,4150,3945,4095,49587,280065,0,4100,4542,5235,4488
A230980,솔트웍스,20181217,4195,4195,4000,4080,84807,269945,0,4091,4592,5258,4483
A230980,솔트웍스,20181214,4190,4340,4105,4130,88747,267587,0,4133,4648,5284,4476
A230980,솔트웍스,20181213,4095,4210,4040,4180,97837,282415,0,4201,4712,5310,4469
A230980,솔트웍스,20181212,4080,4255,4015,4015,106316,249928,0,4263,4776,5328,4462
A230980,솔트웍스,20181211,4230,4330,4050,4050,85114,228486,0,4424,4847,5343,4457
A230980,솔트웍스,20181210,4470,4470,4090,4290,190872,216271,0,4593,4914,5351,4452
A230980,솔트웍스,20181207,4490,4665,4370,4470,120245,195902,-11177,4714,4963,5354,4447
A230980,솔트웍스,20181206,4820,4820,4485,4490,71568,199186,0,4712,5011,5346,4441
A230980,솔트웍스,20181205,4890,4890,4705,4820,38861,207053,0,4734,5055,5336,4436
A230980,솔트웍스,20181204,4825,4970,4805,4895,58261,209675,0,4690,5072,5321,4427
A230980,솔트웍스,20181203,4470,4990,4420,4895,208639,226758,21319,4669,5082,5304,4418
A230980,솔트웍스,20181130,4665,4665,4380,4460,153093,209555,0,4676,5101,5287,4409
A230980,솔트웍스,20181129,4600,4670,4500,4600,150973,220307,0,4782,5116,5282,4403
A230980,솔트웍스,20181128,4800,4800,4535,4600,125488,211030,0,4847,5100,5276,4396
A230980,솔트웍스,20181127,5070,5070,4765,4790,127792,182141,0,4953,5072,5270,4388
A230980,솔트웍스,20181126,4990,5090,4855,4930,67738,185108,-1090,5017,5043,5261,4378
A230980,솔트웍스,20181123,4900,5060,4900,4990,93572,176183,0,5071,5001,5247,4367
A230980,솔트웍스,20181122,5130,5130,4900,4925,163416,160479,0,5155,5031,5232,4356
A230980,솔트웍스,20181121,5080,5140,4910,5130,83400,169455,0,5258,5076,5218,4345
A230980,솔트웍스,20181120,5150,5260,4960,5110,126619,167633,0,5322,5120,5199,4331
A230980,솔트웍스,20181119,5410,5480,5160,5200,196747,171364,0,5378,5198,5179,4319
A230980,솔트웍스,20181116,5460,5840,5370,5410,463129,171844,0,5392,5289,5155,4308
A230980,솔트웍스,20181115,5620,5620,5310,5440,120294,148227,0,5394,5372,5130,4295
A230980,솔트웍스,20181114,5350,5500,5290,5450,183044,169065,0,5380,5446,5103,4282
A230980,솔트웍스,20181113,5100,5470,4985,5390,357758,170342,0,5322,5514,5074,4269
A230980,솔트웍스,20181112,5420,5470,5230,5270,195481,139099,0,5266,5574,5045,4257
A230980,솔트웍스,20181109,5370,5440,5150,5420,198537,149389,0,5266,5648,5022,4247
A230980,솔트웍스,20181108,5230,5390,5100,5370,231542,159730,0,5133,5676,4996,4237
A230980,솔트웍스,20181107,5130,5570,5070,5160,614646,132587,0,4913,5657,4972,4229
A230980,솔트웍스,20181106,5270,5420,5070,5110,263815,139605,0,4689,5670,4948,4222
A230980,솔트웍스,20181105,4755,5460,4560,5270,546962,172022,0,4511,5712,4925,4212
A230980,솔트웍스,20181102,4270,4910,4260,4755,437908,231134,0,4274,5747,4899,4201
A230980,솔트웍스,20181101,4050,4330,4050,4270,279331,286380,0,4443,5804,4880,4197
A230980,솔트웍스,20181031,4175,4250,3905,4040,314983,304108,0,4755,5859,4868,4194
A230980,솔트웍스,20181030,3800,4270,3755,4220,575969,303211,0,5149,5932,4857,4195
A230980,솔트웍스,20181029,5550,5680,3990,4085,962796,236083,0,5639,5982,4842,4191
A230980,솔트웍스,20181026,5750,5840,5200,5600,591978,131058,0,6224,6083,4827,4188
A230980,솔트웍스,20181025,5800,6170,5650,5830,284765,157125,0,6520,6077,4786,4173
