stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A236460,ARIRANG 스마트베타 LowVOL,20190129,10080,10150,10055,10115,132,1,23,10116,9924,9696,9812
A236460,ARIRANG 스마트베타 LowVOL,20190128,10135,10160,10080,10135,155,1,51,10088,9908,9681,9813
A236460,ARIRANG 스마트베타 LowVOL,20190125,10060,10180,10060,10140,169,1,-6,10065,9888,9667,9814
A236460,ARIRANG 스마트베타 LowVOL,20190124,10020,10120,10020,10100,127,1,46,10048,9863,9650,9815
A236460,ARIRANG 스마트베타 LowVOL,20190123,10020,10100,10020,10090,144,1,34,10024,9848,9636,9816
A236460,ARIRANG 스마트베타 LowVOL,20190122,10025,10025,9960,9975,1201,1,-7,9995,9834,9624,9818
A236460,ARIRANG 스마트베타 LowVOL,20190121,10085,10085,10005,10020,105,1,-6,9987,9827,9616,9820
A236460,ARIRANG 스마트베타 LowVOL,20190118,10040,10055,10015,10055,102,1,-7,9944,9818,9610,9822
A236460,ARIRANG 스마트베타 LowVOL,20190117,9965,10020,9920,9980,154,1,-7,9912,9805,9601,9823
A236460,ARIRANG 스마트베타 LowVOL,20190116,9900,9965,9900,9945,105,1,-7,9878,9798,9597,9825
A236460,ARIRANG 스마트베타 LowVOL,20190115,9870,9965,9870,9935,173,1,57,9862,9789,9592,9825
A236460,ARIRANG 스마트베타 LowVOL,20190114,9865,9875,9780,9805,2656,1,-152,9830,9782,9587,9827
A236460,ARIRANG 스마트베타 LowVOL,20190111,9795,9895,9795,9895,111,1,-7,9826,9779,9585,9831
A236460,ARIRANG 스마트베타 LowVOL,20190110,9805,9835,9775,9810,178,1,-7,9807,9764,9579,9833
A236460,ARIRANG 스마트베타 LowVOL,20190109,9845,9895,9845,9865,104,1,-7,9772,9751,9575,9837
A236460,ARIRANG 스마트베타 LowVOL,20190108,9830,9835,9760,9775,105,1,-7,9723,9738,9570,9839
A236460,ARIRANG 스마트베타 LowVOL,20190107,9810,9855,9760,9785,11593,1,-7,9726,9729,9567,9842
A236460,ARIRANG 스마트베타 LowVOL,20190104,9685,9820,9685,9800,95,1,-8,9715,9722,9570,9846
A236460,ARIRANG 스마트베타 LowVOL,20190103,9650,9700,9635,9635,107,1,-7,9685,9714,9574,9850
A236460,ARIRANG 스마트베타 LowVOL,20190102,9725,9755,9595,9620,913,1,-7,9719,9718,9582,9855
A236460,ARIRANG 스마트베타 LowVOL,20181228,9805,9810,9775,9790,156,1,0,9755,9720,9591,9858
A236460,ARIRANG 스마트베타 LowVOL,20181227,9720,9815,9650,9730,1986,1,3,9766,9713,9598,9861
A236460,ARIRANG 스마트베타 LowVOL,20181226,9735,9735,9585,9650,793,1,-107,9789,9707,9607,9864
A236460,ARIRANG 스마트베타 LowVOL,20181224,9775,9835,9770,9805,100,1,0,9817,9704,9618,9869
A236460,ARIRANG 스마트베타 LowVOL,20181221,9840,9840,9765,9800,111,1,11,9824,9691,9625,9874
A236460,ARIRANG 스마트베타 LowVOL,20181220,9845,9855,9725,9845,100,1,0,9817,9674,9629,9878
A236460,ARIRANG 스마트베타 LowVOL,20181219,9740,9845,9740,9845,118,1,17,9807,9659,9631,9883
A236460,ARIRANG 스마트베타 LowVOL,20181218,9840,9895,9760,9790,101,1,-1,9785,9646,9633,9889
A236460,ARIRANG 스마트베타 LowVOL,20181217,9870,9910,9835,9840,101,1,13,9747,9632,9636,9896
A236460,ARIRANG 스마트베타 LowVOL,20181214,9845,9865,9740,9765,2885,1,-11,9688,9618,9639,9902
