stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A237440,TIGER 경기방어채권혼합,20190129,9580,9605,9565,9590,2483,0,26,9587,9596,9540,9593
A237440,TIGER 경기방어채권혼합,20190128,9580,9610,9575,9605,4184,0,9,9581,9598,9535,9593
A237440,TIGER 경기방어채권혼합,20190125,9595,9605,9580,9600,3444,0,1,9569,9598,9531,9594
A237440,TIGER 경기방어채권혼합,20190124,9560,9585,9555,9585,4247,0,51,9566,9596,9526,9594
A237440,TIGER 경기방어채권혼합,20190123,9560,9560,9555,9555,2155,0,0,9558,9595,9522,9594
A237440,TIGER 경기방어채권혼합,20190122,9525,9560,9525,9560,4429,0,6,9565,9596,9519,9594
A237440,TIGER 경기방어채권혼합,20190121,9565,9565,9520,9545,4573,0,-186,9577,9598,9518,9594
A237440,TIGER 경기방어채권혼합,20190118,9570,9585,9560,9585,802,0,10,9591,9602,9516,9595
A237440,TIGER 경기방어채권혼합,20190117,9570,9570,9545,9545,2070,0,118,9596,9602,9514,9596
A237440,TIGER 경기방어채권혼합,20190116,9610,9610,9570,9590,4295,0,-6,9609,9605,9515,9597
A237440,TIGER 경기방어채권혼합,20190115,9615,9625,9595,9620,3578,0,26,9611,9604,9514,9597
A237440,TIGER 경기방어채권혼합,20190114,9580,9615,9580,9615,1281,0,-8,9613,9604,9512,9598
A237440,TIGER 경기방어채권혼합,20190111,9620,9620,9585,9610,629,0,40,9618,9603,9511,9599
A237440,TIGER 경기방어채권혼합,20190110,9620,9630,9590,9610,1272,0,8,9626,9603,9509,9600
A237440,TIGER 경기방어채권혼합,20190109,9605,9635,9600,9600,2260,0,1352,9624,9603,9507,9601
A237440,TIGER 경기방어채권혼합,20190108,9645,9645,9620,9630,823,0,-163,9621,9601,9506,9602
A237440,TIGER 경기방어채권혼합,20190107,9655,9655,9615,9640,3468,0,-123,9622,9598,9504,9602
A237440,TIGER 경기방어채권혼합,20190104,9590,9650,9590,9650,651,0,-233,9615,9595,9504,9603
A237440,TIGER 경기방어채권혼합,20190103,9580,9615,9575,9600,2401,0,339,9597,9591,9505,9603
A237440,TIGER 경기방어채권혼합,20190102,9635,9650,9570,9585,8178,0,-1393,9588,9590,9506,9604
A237440,TIGER 경기방어채권혼합,20181228,9600,9650,9600,9635,1022,0,4,9589,9589,9508,9605
A237440,TIGER 경기방어채권혼합,20181227,9580,9615,9580,9605,2422,0,12,9580,9585,9510,9605
A237440,TIGER 경기방어채권혼합,20181226,9550,9560,9510,9560,6635,0,-3,9586,9583,9514,9606
A237440,TIGER 경기방어채권혼합,20181224,9565,9575,9545,9555,3564,0,-27,9591,9581,9526,9608
A237440,TIGER 경기방어채권혼합,20181221,9615,9615,9575,9590,1205,0,13,9599,9578,9530,9610
A237440,TIGER 경기방어채권혼합,20181220,9605,9610,9585,9590,2659,0,76,9597,9571,9533,9612
