stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A237750,피앤씨테크,20190129,9490,9490,9060,9210,12770,59298,0,9370,9010,8910,9846
A237750,피앤씨테크,20190128,9480,9560,9390,9410,12292,60554,0,9402,8969,8897,9860
A237750,피앤씨테크,20190125,9360,9540,9260,9510,25294,60491,0,9400,8898,8875,9871
A237750,피앤씨테크,20190124,9400,9400,9280,9360,10140,57249,0,9376,8828,8845,9883
A237750,피앤씨테크,20190123,9210,9380,9210,9360,8717,58509,0,9358,8785,8821,9900
A237750,피앤씨테크,20190122,9400,9530,9200,9370,7939,58669,0,9378,8750,8818,9915
A237750,피앤씨테크,20190121,9360,9530,9150,9400,15363,60356,0,9316,8708,8824,9931
A237750,피앤씨테크,20190118,9160,9490,9160,9390,10430,59768,0,9248,8662,8831,9948
A237750,피앤씨테크,20190117,9540,9660,9150,9270,23721,58589,0,9178,8609,8838,9954
A237750,피앤씨테크,20190116,9060,9460,9060,9460,43227,60994,0,9068,8574,8851,9962
A237750,피앤씨테크,20190115,9050,9180,8960,9060,13555,58669,0,8952,8542,8865,9967
A237750,피앤씨테크,20190114,9030,9190,8990,9060,7083,59251,0,8834,8531,8888,9978
A237750,피앤씨테크,20190111,8940,9100,8730,9040,22730,58977,0,8704,8508,8911,9994
A237750,피앤씨테크,20190110,8900,9030,8710,8720,9097,59157,0,8574,8510,8928,10010
A237750,피앤씨테크,20190109,8430,9270,8430,8880,49760,59664,0,8492,8528,8946,10026
A237750,피앤씨테크,20190108,8300,8590,8300,8470,17904,63374,0,8338,8562,8955,10040
A237750,피앤씨테크,20190107,8590,8590,8250,8410,8902,61484,-101,8324,8598,8967,10056
A237750,피앤씨테크,20190104,8230,8480,8060,8390,13022,63554,0,8238,8654,8997,10068
A237750,피앤씨테크,20190103,8120,8370,8100,8310,10334,64426,0,8184,8719,9053,10079
A237750,피앤씨테크,20190102,8410,8500,8100,8110,11987,66198,0,8222,8790,9106,10094
A237750,피앤씨테크,20181228,7990,8400,7990,8400,13993,67781,0,8330,8852,9161,10111
A237750,피앤씨테크,20181227,8120,8380,7980,7980,18741,66028,0,8360,8900,9205,10123
A237750,피앤씨테크,20181226,8180,8380,7920,8120,21361,65088,-62,8460,8960,9260,10138
A237750,피앤씨테크,20181224,8660,8680,8420,8500,11750,66371,0,8500,9030,9310,10151
A237750,피앤씨테크,20181221,8600,8690,8470,8650,10372,69268,0,8514,9080,9359,10166
A237750,피앤씨테크,20181220,8580,8810,8400,8550,10537,71535,0,8550,9112,9412,10176
A237750,피앤씨테크,20181219,8570,8570,8300,8480,15608,71410,0,8606,9134,9463,10199
A237750,피앤씨테크,20181218,8430,8590,8290,8320,20517,71560,0,8632,9159,9513,10225
A237750,피앤씨테크,20181217,8600,8830,8450,8570,6140,71723,-166,8780,9184,9565,10253
A237750,피앤씨테크,20181214,8830,8940,8670,8830,16050,73348,0,8886,9191,9619,10276
A237750,피앤씨테크,20181213,8540,8850,8540,8830,13979,74141,-6245,9028,9169,9671,10297
A237750,피앤씨테크,20181212,9060,9150,8610,8610,28880,71056,0,9102,9148,9719,10325
A237750,피앤씨테크,20181211,9100,9290,8660,9060,13681,73526,0,9286,9138,9774,10357
A237750,피앤씨테크,20181210,9540,9540,8590,9100,15100,73195,0,9412,9104,9822,10377
A237750,피앤씨테크,20181207,9410,9550,9240,9540,13293,73885,0,9540,9072,9854,10396
A237750,피앤씨테크,20181206,9490,9600,9140,9200,18634,73982,0,9500,9030,9876,10410
A237750,피앤씨테크,20181205,9690,9750,9380,9530,13168,73996,0,9530,9012,9904,10428
A237750,피앤씨테크,20181204,9740,9780,9450,9690,14135,74472,0,9462,8973,9926,10443
A237750,피앤씨테크,20181203,9400,9740,9320,9740,20086,75681,0,9426,8936,9944,10456
A237750,피앤씨테크,20181130,9350,9470,9260,9340,10767,75218,0,9378,8892,9958,10473
A237750,피앤씨테크,20181129,9260,9800,9260,9350,69789,76106,-6338,9370,8868,9983,10495
A237750,피앤씨테크,20181128,9510,9600,9190,9190,19901,74303,0,9298,8823,10010,10518
A237750,피앤씨테크,20181127,9350,9540,9270,9510,28523,75452,0,9256,8768,10036,10549
A237750,피앤씨테크,20181126,9680,9890,9300,9500,36202,74732,0,9120,8678,10055,10584
A237750,피앤씨테크,20181123,9150,9650,9110,9300,33538,79398,0,8960,8600,10080,10614
A237750,피앤씨테크,20181122,9140,9140,8800,8990,21173,83573,0,8778,8594,10124,10642
A237750,피앤씨테크,20181121,8900,9070,8700,8980,24339,87563,0,8664,8630,10170,10673
A237750,피앤씨테크,20181120,8690,9090,8570,8830,19679,91230,0,8546,8671,10219,10686
A237750,피앤씨테크,20181119,8380,8820,8380,8700,14746,93993,-186,8458,8721,10273,10714
A237750,피앤씨테크,20181116,8500,8500,8300,8390,22184,91052,0,8412,8788,10329,10745
A237750,피앤씨테크,20181115,8310,8500,8250,8420,11584,89585,0,8474,8884,10386,10779
A237750,피앤씨테크,20181114,8880,8880,8110,8390,14379,91092,0,8556,8986,10432,10814
A237750,피앤씨테크,20181113,8450,8460,8040,8390,28705,93747,0,8628,9086,10475,10840
A237750,피앤씨테크,20181112,8410,8990,8410,8470,14362,91142,0,8740,9172,10519,10863
A237750,피앤씨테크,20181109,8820,8910,8470,8700,13093,91065,0,8820,9237,10564,10901
A237750,피앤씨테크,20181108,8750,9350,8690,8830,14029,92529,0,8852,9273,10602,10934
A237750,피앤씨테크,20181107,8840,9170,8120,8750,36317,94714,0,8774,9292,10639,10962
A237750,피앤씨테크,20181106,8960,8980,8750,8950,15280,95835,0,8642,9364,10677,10988
A237750,피앤씨테크,20181105,9150,9150,8670,8870,14551,98258,0,8392,9504,10712,11015
A237750,피앤씨테크,20181102,8670,8970,8540,8860,17654,102735,0,8206,9636,10750,11036
A237750,피앤씨테크,20181101,8260,8490,8190,8440,24010,103551,0,8272,9762,10782,11056
A237750,피앤씨테크,20181031,7650,8100,7650,8090,70980,107068,0,8524,9893,10822,11080
A237750,피앤씨테크,20181030,7430,8100,7020,7700,81925,100929,0,8868,10051,10867,11110
A237750,피앤씨테크,20181029,9000,9300,7550,7940,73287,95389,0,9294,10224,10921,11147
A237750,피앤씨테크,20181026,9610,9900,8940,9190,33431,92436,-309,9716,10399,10980,11161
A237750,피앤씨테크,20181025,9690,9700,9320,9700,8817,93927,-476,9938,10530,11012,11165
A237750,피앤씨테크,20181024,9830,9960,9500,9810,14813,93989,-106,10088,10624,11037,11165
A237750,피앤씨테크,20181023,9960,10200,9770,9830,20200,95268,0,10206,10709,11066,11163
A237750,피앤씨테크,20181022,10350,10350,9900,10050,18738,94645,-263,10260,10790,11070,11163
A237750,피앤씨테크,20181019,10450,10450,9930,10300,16921,95662,0,10206,10878,11073,11162
A237750,피앤씨테크,20181018,10650,10650,10200,10450,9845,96597,0,10030,10960,11069,11164
A237750,피앤씨테크,20181017,10150,10550,10100,10400,18129,96769,0,9780,11022,11068,11164
A237750,피앤씨테크,20181016,9780,10100,9780,10100,12374,97482,0,9740,11098,11078,11158
A237750,피앤씨테크,20181015,9380,10150,9380,9780,26893,97241,0,10070,11190,11092,11154
A237750,피앤씨테크,20181012,8800,9580,8800,9420,67499,96444,0,10414,11251,11107,11154
A237750,피앤씨테크,20181011,9420,9880,9200,9200,96941,90473,0,10810,11325,11124,11157
A237750,피앤씨테크,20181010,11400,11600,10200,10200,154835,85205,0,11180,11410,11144,11160
A237750,피앤씨테크,20181008,11650,11850,11350,11750,70462,110691,0,11390,11442,11140,11156
