stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A238120,로고스바이오,20190129,13450,13450,13100,13350,16223,79539,0,13530,13182,13176,14823
A238120,로고스바이오,20190128,13650,13700,13250,13500,12424,79763,0,13500,13170,13171,14832
A238120,로고스바이오,20190125,13900,13900,13250,13550,10877,80912,0,13490,13125,13160,14838
A238120,로고스바이오,20190124,13500,13900,13400,13750,21390,80424,88,13380,13065,13146,14839
A238120,로고스바이오,20190123,13150,13500,13100,13500,9939,79457,0,13230,12985,13122,14836
A238120,로고스바이오,20190122,13450,13700,13200,13200,15233,78688,0,13170,12925,13123,14837
A238120,로고스바이오,20190121,13000,13650,12950,13450,35240,80100,107,13160,12880,13149,14839
A238120,로고스바이오,20190118,13150,13150,12850,13000,13401,76531,0,13110,12840,13178,14842
A238120,로고스바이오,20190117,13200,13200,12800,13000,18202,73781,0,13110,12818,13224,14847
A238120,로고스바이오,20190116,13100,13300,13000,13200,7741,75564,0,13170,12800,13288,14858
A238120,로고스바이오,20190115,13000,13250,13000,13150,8745,76221,0,13110,12795,13354,14868
A238120,로고스바이오,20190114,13000,13200,12800,13200,9741,76036,0,13050,12795,13423,14880
A238120,로고스바이오,20190111,13250,13400,13000,13000,12520,75835,0,12960,12772,13498,14891
A238120,로고스바이오,20190110,12800,13350,12800,13300,11160,75418,0,12950,12760,13572,14903
A238120,로고스바이오,20190109,12700,13050,12550,12900,13386,74580,0,12840,12732,13652,14912
A238120,로고스바이오,20190108,12600,12950,12600,12850,6300,73737,0,12920,12728,13687,14923
A238120,로고스바이오,20190107,13150,13150,12650,12750,16301,73112,0,12970,12728,13718,14935
A238120,로고스바이오,20190104,12750,12950,12450,12950,10770,73639,0,12940,12760,13763,14953
A238120,로고스바이오,20190103,13350,13400,12750,12750,14304,74050,0,12820,12798,13809,14965
A238120,로고스바이오,20190102,13200,13350,13000,13300,21811,76608,0,12700,12845,13861,14981
A238120,로고스바이오,20181228,12500,14500,12500,13100,136754,75827,2000,12500,12858,13918,14999
A238120,로고스바이오,20181227,12350,12700,12350,12600,3631,79449,2000,12340,12880,13968,15018
A238120,로고스바이오,20181226,11800,12500,11800,12350,11308,79783,2000,12350,12935,14036,15036
A238120,로고스바이오,20181224,12100,12300,12000,12150,9454,79753,2000,12390,13000,14126,15051
A238120,로고스바이오,20181221,12150,12450,12150,12300,4892,80794,0,12490,13062,14228,15062
A238120,로고스바이오,20181220,12600,12600,12100,12300,16554,81084,0,12650,13108,14318,15070
A238120,로고스바이오,20181219,12350,12650,12250,12650,9352,83191,0,12820,13192,14407,15077
A238120,로고스바이오,20181218,12250,12700,12200,12550,16079,83615,0,12840,13262,14488,15082
A238120,로고스바이오,20181217,13050,13050,12550,12650,14194,85945,0,12880,13322,14578,15088
A238120,로고스바이오,20181214,13000,13100,12800,13100,21515,88187,0,12900,13385,14669,15091
A238120,로고스바이오,20181213,12700,13150,12650,13150,12258,90022,0,12840,13402,14765,15090
A238120,로고스바이오,20181212,12750,12950,12600,12750,9269,87942,0,12780,13392,14851,15092
A238120,로고스바이오,20181211,12650,13250,12450,12750,8665,86582,0,12910,13405,14947,15095
A238120,로고스바이오,20181210,12800,13300,12350,12750,12141,87502,0,13100,13420,15042,15099
A238120,로고스바이오,20181207,12850,13050,12750,12800,12979,87418,0,13290,13418,15129,15109
A238120,로고스바이오,20181206,13450,13450,12750,12850,20476,86252,0,13440,13445,15222,15119
A238120,로고스바이오,20181205,13450,13650,13000,13400,18668,90507,0,13580,13488,15309,15135
A238120,로고스바이오,20181204,13700,13950,13400,13700,18273,91310,0,13640,13492,15399,15148
A238120,로고스바이오,20181203,13550,13750,13450,13700,13395,91919,0,13630,13480,15486,15159
A238120,로고스바이오,20181130,13600,13600,13250,13550,7711,88846,0,13570,13488,15577,15168
A238120,로고스바이오,20181129,13950,14000,13300,13550,17616,89223,0,13500,13488,15661,15176
A238120,로고스바이오,20181128,13550,14100,13550,13700,10173,88927,0,13590,13462,15748,15185
A238120,로고스바이오,20181127,13400,13700,13250,13650,11153,89042,0,13660,13420,15831,15194
A238120,로고스바이오,20181126,13150,13550,13150,13400,10135,85918,0,13680,13372,15936,15205
A238120,로고스바이오,20181123,13900,14300,13200,13200,27812,80650,0,13780,13318,16044,15219
A238120,로고스바이오,20181122,14050,14150,13800,14000,15679,84380,0,13830,13338,16160,15239
A238120,로고스바이오,20181121,13500,14050,13500,14050,16340,83790,0,13620,13375,16185,15247
