stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A240340,인터코스,20190129,3250,3400,3250,3400,519,0,-300,3370,3174,3220,3593
A240340,인터코스,20190128,3050,3400,3000,3250,7800,0,0,3320,3159,3222,3602
A240340,인터코스,20190125,3100,3300,3100,3300,2001,0,0,3310,3152,3229,3612
A240340,인터코스,20190124,3200,3500,3100,3400,2146,0,0,3330,3141,3236,3622
A240340,인터코스,20190123,3000,3500,3000,3500,322,0,0,3289,3126,3236,3630
A240340,인터코스,20190122,3000,3150,2950,3150,5963,0,0,3248,3111,3234,3636
A240340,인터코스,20190121,3400,3400,3000,3200,3210,0,0,3275,3111,3236,3643
A240340,인터코스,20190118,3300,3400,3300,3400,6,0,0,3275,3111,3240,3653
A240340,인터코스,20190117,3195,3195,3195,3195,313,0,313,3173,3098,3244,3660
A240340,인터코스,20190116,3185,3295,3185,3295,329,0,314,3114,3096,3250,3669
A240340,인터코스,20190115,3100,3285,2900,3285,331,0,322,3033,3086,3254,3676
A240340,인터코스,20190114,3200,3200,3200,3200,15,0,0,2956,3071,3259,3684
A240340,인터코스,20190111,2900,2900,2700,2890,2015,0,0,2906,3075,3265,3693
A240340,인터코스,20190110,2900,2900,2900,2900,1,0,0,2946,3111,3275,3704
A240340,인터코스,20190109,2700,2890,2700,2890,1674,0,-10,3006,3146,3285,3715
A240340,인터코스,20190108,2700,2900,2700,2900,1001,0,0,3047,3176,3297,3731
A240340,인터코스,20190107,2800,2950,2800,2950,2201,0,0,3086,3206,3311,3743
A240340,인터코스,20190104,2900,3090,2800,3090,1536,0,-516,3115,3232,3324,3754
A240340,인터코스,20190103,3200,3200,3200,3200,1,0,0,3116,3253,3334,3762
A240340,인터코스,20190102,3000,3095,3000,3095,335,0,334,3096,3266,3344,3771
A240340,인터코스,20181228,3000,3095,3000,3095,1075,0,-516,3117,3280,3356,3779
A240340,인터코스,20181227,3095,3095,3095,3095,400,0,-36,3128,3290,3371,3791
A240340,인터코스,20181226,3005,3095,3005,3095,336,0,333,3149,3295,3386,3803
A240340,인터코스,20181224,3100,3100,3100,3100,328,0,323,3157,3299,3401,3816
A240340,인터코스,20181221,3300,3500,3200,3200,16,0,0,3169,3299,3416,3827
A240340,인터코스,20181220,3250,3250,3150,3150,11,0,0,3145,3299,3430,3837
A240340,인터코스,20181219,3300,3300,2900,3200,17,0,0,3115,3291,3445,3850
A240340,인터코스,20181218,3065,3135,3065,3135,427,0,271,3131,3281,3460,3861
A240340,인터코스,20181217,3160,3160,3160,3160,1,0,-1,3224,3274,3474,3874
A240340,인터코스,20181214,3080,3080,3080,3080,1,0,-1,3312,3271,3491,3888
A240340,인터코스,20181213,3180,3190,3000,3000,480,0,315,3396,3276,3509,3901
A240340,인터코스,20181212,3400,3400,3100,3280,1424,0,-410,3496,3289,3529,3912
A240340,인터코스,20181211,3300,3600,3060,3600,3041,0,0,3534,3290,3543,3920
