stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A241790,오션브릿지,20190129,8260,8440,8150,8390,11816,23873,0,8244,7984,7994,8110
A241790,오션브릿지,20190128,8410,8450,8180,8260,13301,23563,-2539,8194,7941,7986,8114
A241790,오션브릿지,20190125,8080,8400,8080,8400,38476,23637,2539,8156,7898,7982,8118
A241790,오션브릿지,20190124,8250,8250,7950,8080,17035,20833,5118,8094,7850,7974,8123
A241790,오션브릿지,20190123,8150,8160,8000,8090,6140,20032,0,8086,7816,7972,8129
A241790,오션브릿지,20190122,8070,8450,7990,8140,4766,19328,0,8102,7782,7972,8133
A241790,오션브릿지,20190121,7930,8130,7880,8070,18717,19013,-4195,8102,7744,7969,8135
A241790,오션브릿지,20190118,8080,8200,7870,8090,18394,16966,-8721,8114,7721,7972,8139
A241790,오션브릿지,20190117,8200,8240,7880,8040,25453,15777,-11809,8138,7700,7976,8144
A241790,오션브릿지,20190116,8140,8390,8050,8170,4228,15120,-808,8156,7687,7982,8150
A241790,오션브릿지,20190115,8100,8170,7950,8140,10654,15178,-1147,8096,7669,7987,8156
A241790,오션브릿지,20190114,8300,8300,7960,8130,11282,14704,0,8004,7662,7991,8163
A241790,오션브릿지,20190111,8130,8280,8070,8210,12018,14317,0,7870,7652,7996,8170
A241790,오션브릿지,20190110,7870,8150,7870,8130,11169,14069,0,7708,7640,7993,8176
A241790,오션브릿지,20190109,7700,7890,7700,7870,6906,14442,0,7560,7632,7989,8183
A241790,오션브릿지,20190108,7680,7700,7450,7680,13295,14190,0,7494,7644,7992,8191
A241790,오션브릿지,20190107,7690,7690,7350,7460,4264,14877,0,7464,7662,7999,8202
A241790,오션브릿지,20190104,7500,7510,7200,7400,7107,14990,-980,7450,7701,8013,8214
A241790,오션브릿지,20190103,7400,7700,7250,7390,16745,14315,0,7460,7748,8026,8228
A241790,오션브릿지,20190102,7690,7690,7250,7540,10971,14624,-2000,7464,7794,8041,8241
A241790,오션브릿지,20181228,7310,7650,7310,7530,5808,14882,0,7434,7830,8054,8256
A241790,오션브릿지,20181227,7310,7450,7250,7390,12139,15006,0,7408,7859,8068,8271
A241790,오션브릿지,20181226,7330,7510,7200,7450,8002,15194,-1469,7450,7888,8086,8287
A241790,오션브릿지,20181224,7700,7700,7320,7410,3816,15752,-1469,7496,7910,8103,8303
A241790,오션브릿지,20181221,7400,7430,7210,7390,13929,16029,-417,7568,7934,8118,8322
A241790,오션브릿지,20181220,7700,7700,7380,7400,16855,15989,327,7652,7964,8134,8340
A241790,오션브릿지,20181219,7700,7700,7520,7600,11382,16137,-1742,7772,7992,8149,8358
A241790,오션브릿지,20181218,7770,7770,7550,7680,10828,16249,0,7840,8016,8161,8376
A241790,오션브릿지,20181217,7750,7770,7630,7770,8262,16270,0,7896,8032,8172,8394
A241790,오션브릿지,20181214,8090,8090,7700,7810,12241,17692,-1400,7936,8051,8181,8409
