stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A242850,영현무역,20190129,89,89,89,89,0,0,0,122,191,168,368
A242850,영현무역,20190128,103,103,103,103,5,0,0,135,200,169,372
A242850,영현무역,20190125,119,119,119,119,0,0,0,142,209,169,376
A242850,영현무역,20190124,138,138,138,138,0,0,0,145,215,169,379
A242850,영현무역,20190123,152,161,152,161,6580,0,6578,143,222,169,382
A242850,영현무역,20190122,156,156,156,156,1,0,0,137,227,169,384
A242850,영현무역,20190121,129,136,129,136,7757,0,7751,136,231,169,385
A242850,영현무역,20190118,125,132,125,132,8001,0,7999,145,235,170,388
A242850,영현무역,20190117,128,128,128,128,7813,0,7813,160,241,172,390
A242850,영현무역,20190116,131,131,131,131,4,0,0,184,248,173,393
A242850,영현무역,20190115,153,153,153,153,5748,0,5748,216,255,174,395
A242850,영현무역,20190114,179,179,179,179,4902,0,4902,237,260,175,398
A242850,영현무역,20190111,210,210,210,210,4167,0,4167,261,262,176,400
A242850,영현무역,20190110,247,247,247,247,3547,0,3547,272,263,177,401
A242850,영현무역,20190109,290,290,290,290,1,0,0,284,262,177,403
A242850,영현무역,20190108,257,257,257,257,3413,0,3413,290,258,176,405
A242850,영현무역,20190107,302,302,302,302,1,0,0,294,253,176,406
A242850,영현무역,20190104,263,263,263,263,3334,0,3334,287,247,175,408
A242850,영현무역,20190103,309,309,309,309,3237,0,3237,282,243,175,410
A242850,영현무역,20190102,318,318,318,318,1,0,0,276,236,174,411
A242850,영현무역,20181228,262,277,262,277,3818,0,3816,265,228,173,412
A242850,영현무역,20181227,270,270,270,270,1,0,0,256,221,173,414
A242850,영현무역,20181226,237,237,237,237,3704,0,3704,249,214,173,415
A242850,영현무역,20181224,257,278,257,278,4093,0,3892,248,208,173,417
A242850,영현무역,20181221,264,264,264,264,0,0,0,248,200,173,418
A242850,영현무역,20181220,232,232,232,232,0,0,0,250,191,174,418
A242850,영현무역,20181219,232,232,232,232,0,0,0,252,183,177,419
A242850,영현무역,20181218,235,235,235,235,0,0,0,251,175,182,419
A242850,영현무역,20181217,276,276,276,276,0,0,0,250,166,186,419
A242850,영현무역,20181214,277,277,277,277,10,0,0,240,156,190,419
A242850,영현무역,20181213,241,241,241,241,1,0,0,225,145,197,419
A242850,영현무역,20181212,228,228,228,228,0,0,0,211,136,206,419
A242850,영현무역,20181211,228,228,228,228,1431,0,0,201,128,217,419
A242850,영현무역,20181210,228,228,228,228,250,0,0,190,119,228,420
A242850,영현무역,20181207,199,199,199,199,0,0,0,179,111,242,420
A242850,영현무역,20181206,174,174,174,174,0,0,0,170,105,259,421
A242850,영현무역,20181205,174,174,174,174,0,0,0,165,101,274,422
A242850,영현무역,20181204,174,174,174,174,0,0,0,157,96,288,423
A242850,영현무역,20181203,174,174,174,174,101,0,0,145,92,301,424
A242850,영현무역,20181130,152,152,152,152,0,0,0,131,88,313,426
A242850,영현무역,20181129,152,152,152,152,1,0,0,118,86,326,428
A242850,영현무역,20181128,133,133,133,133,100,0,0,103,84,341,429
A242850,영현무역,20181127,116,116,116,116,101,0,-1,90,83,355,432
A242850,영현무역,20181126,101,101,101,101,100,0,0,80,84,369,435
A242850,영현무역,20181123,88,88,88,88,100,0,0,72,86,381,440
A242850,영현무역,20181122,77,77,77,77,99,0,0,67,89,395,445
A242850,영현무역,20181121,67,67,67,67,12982,0,-12982,64,94,409,451
A242850,영현무역,20181120,65,65,65,65,15385,0,-15385,63,100,423,457
A242850,영현무역,20181119,63,63,63,63,10,0,0,62,108,436,463
A242850,영현무역,20181116,64,64,63,63,15626,0,-15625,63,115,449,469
A242850,영현무역,20181115,62,62,62,62,102,0,0,67,122,462,475
A242850,영현무역,20181114,62,62,62,62,16130,0,-16130,71,129,475,482
A242850,영현무역,20181113,72,72,60,60,13890,0,-13889,74,138,488,489
A242850,영현무역,20181112,70,70,70,70,11100,0,0,80,149,500,496
A242850,영현무역,20181109,82,82,82,82,12196,0,-12196,88,157,512,502
A242850,영현무역,20181108,80,80,80,80,12500,0,-12500,93,165,524,507
