stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A243840,신흥에스이씨,20190129,36700,38700,36550,38100,80471,90933,5652,35770,35015,37389,42642
A243840,신흥에스이씨,20190128,35850,37150,35850,36550,55154,90335,2334,34990,34905,37528,42673
A243840,신흥에스이씨,20190125,34250,35900,34250,35600,30305,81731,3544,34450,34870,37688,42719
A243840,신흥에스이씨,20190124,34600,34600,33850,34250,11845,72477,-1032,34300,34920,37864,42784
A243840,신흥에스이씨,20190123,34000,34800,33750,34350,11580,73009,-143,34530,34990,38045,42854
A243840,신흥에스이씨,20190122,34200,34900,33850,34200,18708,72342,-1397,34820,35088,38272,42916
A243840,신흥에스이씨,20190121,35000,35500,33750,33850,24439,70874,944,35030,35125,38542,42984
A243840,신흥에스이씨,20190118,35500,35800,34150,34850,36497,69859,3531,35270,35222,38809,43044
A243840,신흥에스이씨,20190117,36200,36200,34900,35400,19531,75414,123,35440,35125,39075,43085
A243840,신흥에스이씨,20190116,35600,36200,34800,35800,31380,80496,7837,35440,34975,39387,43144
A243840,신흥에스이씨,20190115,35450,36150,35100,35250,25151,79965,1320,35310,34905,39683,43214
A243840,신흥에스이씨,20190114,35950,35950,34600,35050,13079,79908,3148,35060,34862,39961,43280
A243840,신흥에스이씨,20190111,36000,36000,35350,35700,19944,83673,3394,35110,34858,40235,43351
A243840,신흥에스이씨,20190110,35350,35800,34700,35400,34480,89340,3616,34640,34735,40473,43425
A243840,신흥에스이씨,20190109,34100,35650,34100,35150,48380,87121,-12275,34160,34590,40722,43503
A243840,신흥에스이씨,20190108,35500,35500,33900,34000,29368,76499,-17231,34160,34530,40967,43586
A243840,신흥에스이씨,20190107,34350,35500,33900,35300,34067,78236,3172,34540,34542,41167,43674
A243840,신흥에스이씨,20190104,32800,33650,32250,33350,38992,74178,-1529,34650,34595,41395,43749
A243840,신흥에스이씨,20190103,35250,35250,33000,33000,60877,71185,-11620,35300,34798,41672,43842
A243840,신흥에스이씨,20190102,36500,36550,34700,35150,23415,70170,-2862,35830,35002,41937,43925
A243840,신흥에스이씨,20181228,35900,36850,35200,35900,36754,71586,-12539,36060,35062,42181,43974
A243840,신흥에스이씨,20181227,37400,37400,35700,35850,57515,71200,-13531,35870,35075,42415,44025
A243840,신흥에스이씨,20181226,34700,36700,34250,36600,52297,79829,15111,35860,35105,42650,44088
A243840,신흥에스이씨,20181224,36100,36100,35200,35650,27032,76978,36,35120,35108,42905,44120
A243840,신흥에스이씨,20181221,34750,37450,34700,36300,68754,79253,9219,34470,35185,43184,44160
A243840,신흥에스이씨,20181220,35650,35650,34050,34950,53994,81519,-6552,34090,35205,43439,44196
A243840,신흥에스이씨,20181219,33700,36450,33300,35800,74279,97973,2027,33980,35388,43725,44245
A243840,신흥에스이씨,20181218,32250,33350,31800,32900,30636,93362,8857,33810,35532,44005,44290
A243840,신흥에스이씨,20181217,33900,34450,32300,32400,32808,92534,1462,33880,35910,44380,44361
A243840,신흥에스이씨,20181214,34500,34500,32500,34400,26190,102687,7341,33900,36438,44722,44445
A243840,신흥에스이씨,20181213,34600,35500,34100,34400,18783,108438,682,33810,36725,44985,44513
A243840,신흥에스이씨,20181212,33050,35450,33050,34950,43316,113430,3478,33780,37170,45258,44576
A243840,신흥에스이씨,20181211,32500,33500,32250,33250,54915,106247,-894,34060,37770,45529,44623
A243840,신흥에스이씨,20181210,33500,34050,31600,32500,51651,88921,-8119,34890,38422,45853,44683
A243840,신흥에스이씨,20181207,34250,34900,33000,33950,46911,68970,-4072,35810,39088,46172,44762
A243840,신흥에스이씨,20181206,36000,36300,34200,34250,55172,62058,8020,36290,39702,46464,44818
A243840,신흥에스이씨,20181205,36900,36900,36000,36350,32580,63013,4509,36670,40330,46737,44875
A243840,신흥에스이씨,20181204,37700,37750,37200,37400,43626,71766,9983,36690,40712,46986,44927
A243840,신흥에스이씨,20181203,36900,37750,36450,37100,46110,90343,3970,36540,41115,47212,44980
A243840,신흥에스이씨,20181130,36150,36550,36100,36350,41970,112201,16496,36560,41552,47394,45037
A243840,신흥에스이씨,20181129,37050,37400,35700,36150,38283,131940,-3175,36630,42090,47592,45083
A243840,신흥에스이씨,20181128,36650,36950,35850,36450,50490,151321,1430,37120,42602,47793,45118
A243840,신흥에스이씨,20181127,37350,37550,35950,36650,58001,149187,-5806,37570,43088,47987,45160
A243840,신흥에스이씨,20181126,36350,37550,36000,37200,49460,144332,-14920,38330,43565,48180,45189
