stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A243880,TIGER 200IT레버리지,20190129,22675,23390,22315,23320,34505,500,-2150,22378,20234,20070,22179
A243880,TIGER 200IT레버리지,20190128,23525,23525,22610,22905,15395,500,-590,21853,19998,20008,22211
A243880,TIGER 200IT레버리지,20190125,21800,23315,21800,23315,44215,500,28032,21537,19778,19954,22246
A243880,TIGER 200IT레버리지,20190124,21105,21400,20820,21400,17090,500,5418,21021,19497,19885,22278
A243880,TIGER 200IT레버리지,20190123,20460,21180,20400,20950,6101,500,-328,20851,19339,19828,22333
A243880,TIGER 200IT레버리지,20190122,21430,21530,20570,20695,12496,500,260,20831,19202,19788,22389
A243880,TIGER 200IT레버리지,20190121,21000,21350,20765,21325,13273,500,5758,20783,19060,19762,22442
A243880,TIGER 200IT레버리지,20190118,20725,20970,20565,20735,12759,500,5755,20450,18914,19743,22492
A243880,TIGER 200IT레버리지,20190117,20945,21055,20545,20550,16734,500,2769,20353,18787,19747,22545
A243880,TIGER 200IT레버리지,20190116,20600,20865,20370,20850,14081,500,1861,20192,18696,19771,22610
A243880,TIGER 200IT레버리지,20190115,19720,20470,19720,20455,13091,500,3621,19894,18576,19792,22674
A243880,TIGER 200IT레버리지,20190114,20000,20090,19605,19660,21162,500,4287,19403,18544,19813,22738
A243880,TIGER 200IT레버리지,20190111,19980,20350,19930,20250,25512,500,-497,19116,18542,19854,22807
A243880,TIGER 200IT레버리지,20190110,19595,19870,19505,19745,32131,500,18767,18526,18473,19880,22873
A243880,TIGER 200IT레버리지,20190109,18000,19500,18000,19360,24272,500,14976,18047,18430,19915,22946
A243880,TIGER 200IT레버리지,20190108,18195,18420,17930,18000,5629,500,935,17831,18446,19967,23017
A243880,TIGER 200IT레버리지,20190107,17785,18325,17785,18225,22778,500,15305,17953,18522,20023,23099
A243880,TIGER 200IT레버리지,20190104,17100,17345,16565,17300,8178,500,319,18009,18654,20102,23180
A243880,TIGER 200IT레버리지,20190103,18170,18170,17275,17350,11234,500,-3980,18089,18846,20202,23266
A243880,TIGER 200IT레버리지,20190102,18610,19000,18195,18280,6016,500,2233,18265,19076,20300,23342
A243880,TIGER 200IT레버리지,20181228,18400,18910,18400,18610,9193,500,4846,18250,19226,20387,23412
A243880,TIGER 200IT레버리지,20181227,20150,20150,7115,18505,16258,500,7972,18102,19394,20481,23478
A243880,TIGER 200IT레버리지,20181226,17605,18080,17605,17700,9415,500,2962,18081,19558,20591,23545
A243880,TIGER 200IT레버리지,20181224,18225,18300,17940,18230,5683,500,1150,18181,19726,20712,23615
A243880,TIGER 200IT레버리지,20181221,17570,18300,17570,18205,16101,500,12811,18281,19854,20834,23688
A243880,TIGER 200IT레버리지,20181220,17830,18040,17570,17870,15279,500,2444,18330,19932,20960,23758
A243880,TIGER 200IT레버리지,20181219,18080,18455,18080,18400,3251,500,545,18718,20029,21096,23838
A243880,TIGER 200IT레버리지,20181218,18305,18535,18145,18200,8403,500,-3129,18961,20088,21219,23909
A243880,TIGER 200IT레버리지,20181217,18340,18840,18105,18730,16716,500,-7530,19097,20168,21342,23986
A243880,TIGER 200IT레버리지,20181214,19510,19510,18235,18450,41579,500,-23791,19125,20266,21454,24060
A243880,TIGER 200IT레버리지,20181213,19820,19880,19300,19810,4738,500,-295,19373,20374,21577,24131
A243880,TIGER 200IT레버리지,20181212,19400,19615,19010,19615,8668,500,592,19316,20433,21662,24192
A243880,TIGER 200IT레버리지,20181211,19215,19225,18715,18880,10596,500,-1990,19563,20479,21755,24247
A243880,TIGER 200IT레버리지,20181210,19200,19290,18715,18870,13300,500,-2783,20018,20574,21863,24310
A243880,TIGER 200IT레버리지,20181207,19900,20100,19565,19690,4735,500,-2407,20632,20697,21973,24384
A243880,TIGER 200IT레버리지,20181206,20300,20300,19445,19525,22096,500,-13849,20951,20756,22071,24458
A243880,TIGER 200IT레버리지,20181205,20395,21030,20395,20850,7175,500,718,21439,20835,22181,24537
A243880,TIGER 200IT레버리지,20181204,21850,21850,20965,21155,8245,500,-5312,21625,20825,22277,24605
A243880,TIGER 200IT레버리지,20181203,21895,21940,21510,21940,7711,500,2368,21606,20804,22382,24669
A243880,TIGER 200IT레버리지,20181130,21990,22000,21110,21285,7859,500,2403,21378,20748,22464,24729
A243880,TIGER 200IT레버리지,20181129,22455,22640,21910,21965,19764,500,7357,21073,20750,22566,24792
A243880,TIGER 200IT레버리지,20181128,21235,21780,21200,21780,14097,500,6344,20642,20632,22655,24847
A243880,TIGER 200IT레버리지,20181127,20995,21155,20600,21060,10399,500,-772,20204,20526,22745,24905
A243880,TIGER 200IT레버리지,20181126,20000,20875,20000,20800,17785,500,12860,19951,20432,22837,24966
A243880,TIGER 200IT레버리지,20181123,19800,20055,19590,19760,9897,500,5155,19930,20292,22940,25031
A243880,TIGER 200IT레버리지,20181122,19605,19925,19605,19810,5057,500,1360,20101,20230,23049,25111
A243880,TIGER 200IT레버리지,20181121,19145,19630,19010,19590,12233,500,-720,20335,20196,23154,25192
A243880,TIGER 200IT레버리지,20181120,19855,20620,19705,19795,8770,500,-3344,20524,20226,23252,25276
A243880,TIGER 200IT레버리지,20181119,20600,21000,20500,20695,8390,500,1215,20721,20286,23342,25353
A243880,TIGER 200IT레버리지,20181116,21325,21325,20550,20615,5125,500,-2179,20848,20351,23398,25425
A243880,TIGER 200IT레버리지,20181115,20540,20980,20335,20980,8078,500,4518,20899,20426,23462,25486
A243880,TIGER 200IT레버리지,20181114,20860,20900,20500,20535,4721,500,-464,20923,20462,23520,25540
A243880,TIGER 200IT레버리지,20181113,20565,20825,20065,20780,16329,500,5487,20948,20540,23596,25598
A243880,TIGER 200IT레버리지,20181112,20565,21450,20565,21330,12707,500,9028,20937,20594,23662,25655
A243880,TIGER 200IT레버리지,20181109,20900,21340,20800,20870,10254,500,6723,20838,20619,23730,25704
A243880,TIGER 200IT레버리지,20181108,21415,21645,21100,21100,17565,500,9727,20926,20699,23823,25760
A243880,TIGER 200IT레버리지,20181107,20710,21035,20550,20660,11851,500,4232,20626,20712,23915,25815
A243880,TIGER 200IT레버리지,20181106,20935,20935,20305,20725,11334,500,1311,20427,20826,24014,25874
A243880,TIGER 200IT레버리지,20181105,21285,21285,20365,20835,40598,500,1146,20120,20955,24102,25927
A243880,TIGER 200IT레버리지,20181102,20180,21365,20130,21310,32792,500,11087,19551,21074,24200,25976
A243880,TIGER 200IT레버리지,20181101,19895,20300,19600,19600,22706,500,-1909,18995,21186,24288,26024
A243880,TIGER 200IT레버리지,20181031,19660,19695,19085,19665,13500,500,1402,18901,21417,24415,26093
A243880,TIGER 200IT레버리지,20181030,17860,19450,17745,19190,34838,500,12903,19004,21689,24537,26164
A243880,TIGER 200IT레버리지,20181029,18505,18800,17990,17990,10730,500,5053,19365,21977,24671,26240
A243880,TIGER 200IT레버리지,20181026,19305,19335,17670,18530,37869,500,8673,20167,22357,24837,26329
A243880,TIGER 200IT레버리지,20181025,18980,19325,18250,19130,43270,500,-8382,20883,22718,24990,26407
A243880,TIGER 200IT레버리지,20181024,21160,21160,20040,20180,12723,500,-6294,21397,23062,25122,26476
A243880,TIGER 200IT레버리지,20181023,21920,21920,20650,20995,11540,500,-4041,21782,23343,25242,26536
A243880,TIGER 200IT레버리지,20181022,21795,22075,21650,22000,2878,500,-244,21954,23572,25343,26598
A243880,TIGER 200IT레버리지,20181019,21375,22110,21130,22110,7008,500,1116,21919,23746,25449,26653
A243880,TIGER 200IT레버리지,20181018,21825,22105,21600,21700,4992,500,-620,21992,23931,25555,26714
A243880,TIGER 200IT레버리지,20181017,22570,22750,22000,22105,11746,500,-4467,21923,24091,25663,26776
A243880,TIGER 200IT레버리지,20181016,21925,22320,21710,21855,6982,500,2716,22093,24244,25760,26831
A243880,TIGER 200IT레버리지,20181015,22465,22465,21720,21825,3933,500,-263,22381,24421,25865,26888
A243880,TIGER 200IT레버리지,20181012,21370,22655,21345,22475,6243,500,392,22661,24604,25977,26947
A243880,TIGER 200IT레버리지,20181011,21125,22280,21100,21355,28396,500,3691,22876,24757,26068,26998
A243880,TIGER 200IT레버리지,20181010,23270,23295,22700,22955,21654,500,3151,23447,24996,26175,27054
A243880,TIGER 200IT레버리지,20181008,22695,23675,22695,23295,3176,500,-45,23876,25178,26258,27098
A243880,TIGER 200IT레버리지,20181005,23260,23655,22980,23225,19721,500,-4882,24209,25386,26330,27141
A243880,TIGER 200IT레버리지,20181004,24210,24350,23475,23550,21962,500,-13479,24681,25570,26385,27182
A243880,TIGER 200IT레버리지,20181002,25145,25245,24165,24210,18582,500,-8880,25120,25761,26436,27225
A243880,TIGER 200IT레버리지,20181001,25130,25365,24825,25100,6427,500,-2665,25481,25918,26476,27255
A243880,TIGER 200IT레버리지,20180928,25480,25700,24960,24960,21305,500,7182,25621,26020,26500,27292
A243880,TIGER 200IT레버리지,20180927,25730,25830,25490,25585,9274,500,-482,25743,26100,26519,27332
A243880,TIGER 200IT레버리지,20180921,25985,25990,25600,25745,10269,500,-3987,25721,26172,26542,27367
A243880,TIGER 200IT레버리지,20180920,25780,26320,25780,26015,12740,500,6102,25737,26198,26557,27395
A243880,TIGER 200IT레버리지,20180919,26400,26400,25610,25800,11286,500,-2322,25514,26204,26580,27420
A243880,TIGER 200IT레버리지,20180918,25200,25640,24965,25570,6234,500,-629,25388,26187,26599,27455
A243880,TIGER 200IT레버리지,20180917,25660,25865,25265,25475,10844,500,2249,25350,26170,26630,27493
A243880,TIGER 200IT레버리지,20180914,26805,26805,25400,25825,23954,500,-9954,25355,26098,26666,27526
A243880,TIGER 200IT레버리지,20180913,24800,25350,24800,24900,7120,500,-4082,25296,26028,26686,27579
A243880,TIGER 200IT레버리지,20180912,25020,25380,24900,25170,8597,500,-4564,25542,26008,26722,27638
A243880,TIGER 200IT레버리지,20180911,25800,25940,25295,25380,8802,500,3511,25829,26003,26739,27696
A243880,TIGER 200IT레버리지,20180910,25510,25700,25405,25500,4674,500,-784,26243,25971,26757,27750
A243880,TIGER 200IT레버리지,20180907,25275,25715,25100,25530,16992,500,-7980,26522,25967,26795,27806
A243880,TIGER 200IT레버리지,20180906,26020,26355,26000,26130,12208,500,-8090,26890,26014,26846,27863
A243880,TIGER 200IT레버리지,20180905,27255,27255,26545,26605,11962,500,-1633,27134,26036,26894,27914
A243880,TIGER 200IT레버리지,20180904,27180,27500,27125,27450,12523,500,10809,27242,26038,26934,27962
A243880,TIGER 200IT레버리지,20180903,27410,27530,26800,26895,8929,500,-1823,27065,25965,26957,27990
A243880,TIGER 200IT레버리지,20180831,26995,27370,26700,27370,9195,500,4839,27088,25957,26993,28017
A243880,TIGER 200IT레버리지,20180830,27200,27570,27105,27350,13924,500,10394,26870,25917,27018,28032
A243880,TIGER 200IT레버리지,20180829,26835,27175,26600,27145,20534,500,15779,26626,25909,27039,28042
A243880,TIGER 200IT레버리지,20180828,27300,27400,26520,26565,14550,500,6714,26290,25903,27065,28053
A243880,TIGER 200IT레버리지,20180827,26640,27080,26590,27010,18234,500,10488,26021,25936,27096,28054
A243880,TIGER 200IT레버리지,20180824,25935,26450,25800,26280,22564,500,8741,25425,25983,27121,28055
A243880,TIGER 200IT레버리지,20180823,25660,26175,25660,26130,21951,500,11547,25056,26056,27174,28064
A243880,TIGER 200IT레버리지,20180822,25430,25670,25285,25465,21922,500,6959,24731,26099,27229,28084
A243880,TIGER 200IT레버리지,20180821,24100,25250,24100,25220,28671,500,13589,24652,26196,27299,28108
A243880,TIGER 200IT레버리지,20180820,24500,24835,24000,24030,24896,500,6774,24554,26288,27364,28135
A243880,TIGER 200IT레버리지,20180817,24610,24750,24350,24435,3771,500,-1822,24834,26504,27453,28165
A243880,TIGER 200IT레버리지,20180816,24190,24575,23845,24505,14593,500,800,25240,26707,27510,28196
A243880,TIGER 200IT레버리지,20180814,25000,25150,24725,25070,42124,500,32093,25653,26888,27559,28221
A243880,TIGER 200IT레버리지,20180813,24800,25030,24430,24730,18865,500,2294,25966,27033,27600,28249
A243880,TIGER 200IT레버리지,20180810,26295,26295,25290,25430,28929,500,-15607,26220,27203,27648,28277
A243880,TIGER 200IT레버리지,20180809,26535,26560,26150,26465,7196,500,67,26482,27358,27678,28295
A243880,TIGER 200IT레버리지,20180808,26900,26940,26485,26570,5125,500,1157,26502,27432,27696,28295
A243880,TIGER 200IT레버리지,20180807,26350,26635,26130,26635,11860,500,6717,26627,27494,27716,28290
A243880,TIGER 200IT레버리지,20180806,26750,26750,26000,26000,18101,500,-3190,26705,27558,27734,28296
A243880,TIGER 200IT레버리지,20180803,26825,26825,26445,26740,9721,500,595,26951,27637,27752,28302
A243880,TIGER 200IT레버리지,20180802,27430,27430,26405,26565,15746,500,-5678,27192,27627,27752,28308
A243880,TIGER 200IT레버리지,20180801,27325,27420,27030,27195,17016,500,1747,27424,27630,27759,28324
A243880,TIGER 200IT레버리지,20180731,27430,27430,26935,27025,8644,500,-4258,27386,27600,27772,28346
A243880,TIGER 200IT레버리지,20180730,27945,27945,27070,27230,6238,500,-4060,27461,27576,27791,28383
A243880,TIGER 200IT레버리지,20180727,27705,28000,27615,27945,7973,500,5877,27428,27520,27809,28417
A243880,TIGER 200IT레버리지,20180726,27400,27890,26780,27725,31940,500,13840,27506,27472,27821,28446
A243880,TIGER 200IT레버리지,20180725,27490,27900,26885,27005,13468,500,7034,27661,27416,27824,28487
A243880,TIGER 200IT레버리지,20180724,27010,27475,26960,27400,8841,500,791,27888,27435,27830,28532
A243880,TIGER 200IT레버리지,20180723,28035,28035,26900,27065,23334,500,-12700,28001,27415,27830,28570
A243880,TIGER 200IT레버리지,20180720,28500,28700,28000,28335,9935,500,3878,28213,27433,27852,28601
A243880,TIGER 200IT레버리지,20180719,28350,28850,28350,28500,37551,500,31441,28252,27398,27857,28620
