stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A250060,모비스,20190129,4060,4070,3955,4050,362317,290819,0,4046,4012,4312,3821
A250060,모비스,20190128,4105,4150,3980,4045,496291,256015,0,4031,4030,4325,3806
A250060,모비스,20190125,4000,4160,3990,4135,700392,343980,0,4010,4048,4333,3791
A250060,모비스,20190124,4040,4040,3950,4000,235776,253585,0,3989,4060,4339,3774
A250060,모비스,20190123,3970,4015,3915,4000,293340,288870,0,3993,4089,4357,3759
A250060,모비스,20190122,3920,3975,3830,3975,371385,295938,0,4013,4122,4388,3743
A250060,모비스,20190121,4075,4075,3780,3940,714437,268723,0,4069,4155,4416,3728
A250060,모비스,20190118,4020,4090,3950,4030,437803,320138,0,4141,4194,4438,3712
A250060,모비스,20190117,4160,4160,3955,4020,341760,313986,0,4167,4216,4457,3697
A250060,모비스,20190116,4200,4250,4055,4100,642312,328442,0,4127,4239,4475,3683
A250060,모비스,20190115,4300,4335,4175,4255,682562,345900,0,4063,4256,4493,3668
A250060,모비스,20190114,4225,4410,4160,4300,922802,425211,0,3972,4256,4503,3653
A250060,모비스,20190111,3840,4165,3830,4160,1209689,486415,0,3870,4250,4506,3636
A250060,모비스,20190110,3750,3820,3720,3820,539659,455060,0,3805,4248,4515,3621
A250060,모비스,20190109,3800,3840,3680,3780,763197,416559,0,3845,4257,4530,3608
A250060,모비스,20190108,3785,3830,3720,3800,654365,417983,0,3925,4276,4545,3595
A250060,모비스,20190107,3875,3875,3715,3790,786270,434462,0,4046,4284,4562,3582
A250060,모비스,20190104,3870,3900,3740,3835,1003768,349395,0,4169,4302,4578,3569
A250060,모비스,20190103,4145,4150,3830,4020,917029,311902,0,4280,4324,4588,3555
A250060,모비스,20190102,4390,4390,4130,4180,905253,299070,0,4390,4336,4588,3540
