stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A250730,KBSTAR 차이나HSCEI(H),20190129,12255,12255,12065,12085,76,0,-26,12036,11668,11715,11842
A250730,KBSTAR 차이나HSCEI(H),20190128,12260,12295,12115,12115,59,0,42,11992,11626,11707,11845
A250730,KBSTAR 차이나HSCEI(H),20190125,11945,12135,11945,12135,56,0,51,11956,11583,11694,11849
A250730,KBSTAR 차이나HSCEI(H),20190124,11860,11925,11860,11915,94,0,-2,11901,11540,11680,11852
A250730,KBSTAR 차이나HSCEI(H),20190123,11865,11975,11865,11930,81,0,35,11890,11510,11669,11857
A250730,KBSTAR 차이나HSCEI(H),20190122,11975,11980,11815,11865,32,0,28,11845,11477,11660,11862
A250730,KBSTAR 차이나HSCEI(H),20190121,11995,12025,11890,11935,232,0,27,11806,11448,11652,11868
A250730,KBSTAR 차이나HSCEI(H),20190118,11855,11950,11845,11860,773,0,231,11727,11423,11645,11872
A250730,KBSTAR 차이나HSCEI(H),20190117,11740,11860,11740,11860,102,0,40,11698,11406,11639,11876
A250730,KBSTAR 차이나HSCEI(H),20190116,11705,11745,11705,11705,12204,0,-18,11650,11396,11639,11877
A250730,KBSTAR 차이나HSCEI(H),20190115,11610,11720,11610,11670,461,0,58,11634,11396,11637,11880
A250730,KBSTAR 차이나HSCEI(H),20190114,11785,11785,11475,11540,333,0,186,11571,11405,11633,11882
A250730,KBSTAR 차이나HSCEI(H),20190111,11605,11715,11605,11715,70,0,62,11520,11411,11633,11887
A250730,KBSTAR 차이나HSCEI(H),20190110,11525,11685,11525,11620,17,0,0,11408,11402,11630,11890
A250730,KBSTAR 차이나HSCEI(H),20190109,11430,11695,11430,11625,169,0,-20,11283,11400,11626,11895
A250730,KBSTAR 차이나HSCEI(H),20190108,11335,11390,11290,11355,617,0,565,11157,11404,11627,11901
A250730,KBSTAR 차이나HSCEI(H),20190107,11280,11665,11220,11285,695,0,132,11136,11423,11626,11907
A250730,KBSTAR 차이나HSCEI(H),20190104,11010,11225,10805,11155,668,0,138,11130,11464,11636,11916
A250730,KBSTAR 차이나HSCEI(H),20190103,11160,11160,10965,10995,517,0,448,11155,11513,11647,11925
A250730,KBSTAR 차이나HSCEI(H),20190102,11500,11500,10970,10995,1312,0,511,11218,11575,11662,11935
A250730,KBSTAR 차이나HSCEI(H),20181228,11255,11260,11185,11250,760,0,-144,11273,11625,11677,11942
A250730,KBSTAR 차이나HSCEI(H),20181227,11340,11400,11190,11255,1742,0,-299,11278,11656,11693,11947
A250730,KBSTAR 차이나HSCEI(H),20181226,11320,11325,11030,11280,299,0,176,11316,11692,11715,11955
A250730,KBSTAR 차이나HSCEI(H),20181224,11320,11380,11195,11310,141,0,104,11363,11722,11734,11964
A250730,KBSTAR 차이나HSCEI(H),20181221,11175,11270,11125,11270,114,0,102,11435,11752,11751,11973
A250730,KBSTAR 차이나HSCEI(H),20181220,11495,11495,11275,11275,33,0,-9,11519,11772,11771,11981
A250730,KBSTAR 차이나HSCEI(H),20181219,11475,11510,11445,11445,175,0,-117,11634,11798,11786,11989
A250730,KBSTAR 차이나HSCEI(H),20181218,11615,11670,11455,11515,566,0,-51,11679,11811,11797,11998
A250730,KBSTAR 차이나HSCEI(H),20181217,11675,11675,11600,11670,229,0,29,11683,11822,11804,12007
A250730,KBSTAR 차이나HSCEI(H),20181214,12015,12015,11645,11690,100,0,-40,11664,11838,11807,12015
A250730,KBSTAR 차이나HSCEI(H),20181213,11750,11865,11750,11850,2980,0,-26,11667,11848,11812,12023
