stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A252420,KBSTAR 200선물인버스2X,20190129,7145,7210,7055,7055,56599,6241,-12469,7243,7818,8000,7579
A252420,KBSTAR 200선물인버스2X,20190128,7100,7165,7025,7125,114130,15958,-24101,7350,7880,8024,7576
A252420,KBSTAR 200선물인버스2X,20190125,7380,7380,7105,7115,318606,10058,-99239,7430,7942,8047,7573
A252420,KBSTAR 200선물인버스2X,20190124,7515,7545,7395,7400,154632,0,5976,7514,8016,8070,7570
A252420,KBSTAR 200선물인버스2X,20190123,7670,7680,7485,7520,37205,14794,-7520,7565,8063,8092,7565
A252420,KBSTAR 200선물인버스2X,20190122,7525,7660,7490,7590,25537,18494,145,7599,8104,8108,7559
A252420,KBSTAR 200선물인버스2X,20190121,7450,7600,7450,7525,107981,19632,-6105,7631,8142,8118,7552
A252420,KBSTAR 200선물인버스2X,20190118,7580,7610,7520,7535,65941,16911,-23105,7739,8175,8126,7547
A252420,KBSTAR 200선물인버스2X,20190117,7645,7710,7580,7655,63762,19293,-12630,7819,8213,8133,7541
A252420,KBSTAR 200선물인버스2X,20190116,7760,7800,7680,7690,36303,11292,8848,7896,8241,8131,7534
A252420,KBSTAR 200선물인버스2X,20190115,8020,8025,7745,7750,178726,17368,-30339,7967,8271,8130,7527
A252420,KBSTAR 200선물인버스2X,20190114,7970,8095,7960,8065,98022,23876,-4494,8094,8285,8128,7519
A252420,KBSTAR 200선물인버스2X,20190111,7970,8030,7900,7935,157247,13307,-28880,8135,8286,8119,7508
A252420,KBSTAR 200선물인버스2X,20190110,8010,8085,7955,8040,109383,6460,-25351,8251,8306,8115,7498
A252420,KBSTAR 200선물인버스2X,20190109,8325,8325,7980,8045,171353,442,-12517,8375,8319,8108,7487
A252420,KBSTAR 200선물인버스2X,20190108,8270,8400,8230,8385,283450,7558,18224,8465,8322,8100,7477
A252420,KBSTAR 200선물인버스2X,20190107,8300,8325,8155,8270,224340,19551,-39460,8445,8312,8089,7464
A252420,KBSTAR 200선물인버스2X,20190104,8685,8720,8510,8515,255038,0,16839,8464,8296,8071,7452
A252420,KBSTAR 200선물인버스2X,20190103,8485,8675,8480,8660,358863,12104,585,8478,8262,8046,7438
A252420,KBSTAR 200선물인버스2X,20190102,8165,8535,8145,8495,429060,0,48481,8416,8213,8018,7424
A252420,KBSTAR 200선물인버스2X,20181228,8320,8320,8220,8285,108626,10286,-49983,8387,8185,7993,7412
A252420,KBSTAR 200선물인버스2X,20181227,8270,8425,8235,8365,99205,2669,-9575,8399,8161,7968,7401
A252420,KBSTAR 200선물인버스2X,20181226,8565,8690,8490,8585,230069,344,25309,8363,8134,7938,7389
A252420,KBSTAR 200선물인버스2X,20181224,8400,8460,8350,8350,68145,564,-1228,8303,8101,7904,7376
A252420,KBSTAR 200선물인버스2X,20181221,8395,8430,8325,8350,55286,1737,3302,8277,8085,7874,7362
