stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A252670,KODEX 200선물인버스2X,20190129,7130,7185,7030,7030,20968301,356639,-2126616,7212,7788,7969,7554
A252670,KODEX 200선물인버스2X,20190128,7075,7145,6995,7095,16348521,468524,-1803765,7321,7848,7994,7551
A252670,KODEX 200선물인버스2X,20190125,7325,7340,7075,7080,24307127,822138,-2409940,7401,7910,8016,7548
A252670,KODEX 200선물인버스2X,20190124,7490,7515,7360,7365,16003102,831148,368890,7486,7984,8039,7545
A252670,KODEX 200선물인버스2X,20190123,7645,7645,7455,7490,13457923,741896,-2126203,7537,8032,8060,7540
A252670,KODEX 200선물인버스2X,20190122,7495,7630,7460,7575,15244091,421646,-2276619,7571,8072,8077,7534
A252670,KODEX 200선물인버스2X,20190121,7410,7590,7405,7495,12932317,417464,-1644826,7601,8109,8088,7527
A252670,KODEX 200선물인버스2X,20190118,7550,7580,7490,7505,12329411,237512,-1040977,7710,8141,8096,7522
A252670,KODEX 200선물인버스2X,20190117,7630,7680,7555,7620,14701843,0,-2435458,7789,8178,8102,7516
A252670,KODEX 200선물인버스2X,20190116,7730,7775,7655,7660,15341497,6979,-2231424,7865,8207,8101,7509
A252670,KODEX 200선물인버스2X,20190115,7990,8000,7710,7725,19146475,243770,-5980412,7932,8236,8099,7502
A252670,KODEX 200선물인버스2X,20190114,7945,8060,7925,8040,11656367,1018227,1517221,8058,8248,8098,7494
A252670,KODEX 200선물인버스2X,20190111,7935,8000,7865,7900,12890304,424322,-1299825,8098,8250,8088,7483
A252670,KODEX 200선물인버스2X,20190110,7990,8055,7915,8000,14366428,487390,-1983551,8214,8269,8085,7474
A252670,KODEX 200선물인버스2X,20190109,8285,8290,7945,7995,21883656,869379,-5789738,8341,8282,8079,7463
A252670,KODEX 200선물인버스2X,20190108,8245,8365,8190,8355,15412503,1829015,676645,8435,8286,8072,7453
A252670,KODEX 200선물인버스2X,20190107,8265,8290,8120,8240,19214971,1594529,2197853,8413,8275,8061,7441
A252670,KODEX 200선물인버스2X,20190104,8650,8690,8470,8480,23193898,3691884,1555542,8432,8259,8042,7429
A252670,KODEX 200선물인버스2X,20190103,8465,8645,8445,8635,25567058,6265871,-4915884,8449,8226,8018,7415
A252670,KODEX 200선물인버스2X,20190102,8120,8500,8105,8465,17775095,2367145,1315867,8384,8176,7990,7401
A252670,KODEX 200선물인버스2X,20181228,8300,8305,8185,8245,9890497,935580,-2369724,8352,8148,7965,7389
A252670,KODEX 200선물인버스2X,20181227,8295,8380,8250,8335,13955319,63723,-2077000,8365,8124,7940,7378
A252670,KODEX 200선물인버스2X,20181226,8510,8650,8440,8565,20328300,139220,3213510,8325,8098,7911,7366
A252670,KODEX 200선물인버스2X,20181224,8365,8425,8310,8310,8443257,233190,-67786,8262,8064,7877,7353
A252670,KODEX 200선물인버스2X,20181221,8350,8390,8290,8305,12509263,616094,-120900,8237,8049,7847,7339
A252670,KODEX 200선물인버스2X,20181220,8240,8390,8200,8310,24428039,612446,4344721,8226,8046,7818,7326
A252670,KODEX 200선물인버스2X,20181219,8215,8245,8115,8135,12721725,970278,-1964776,8158,8037,7790,7312
A252670,KODEX 200선물인버스2X,20181218,8310,8320,8170,8250,17418729,731314,1021033,8143,8036,7767,7298
A252670,KODEX 200선물인버스2X,20181217,8205,8225,8130,8185,13574635,469107,-717798,8152,8025,7742,7284
A252670,KODEX 200선물인버스2X,20181214,7985,8320,7985,8250,20765700,85516,2096662,8165,8010,7720,7270
A252670,KODEX 200선물인버스2X,20181213,8055,8095,7925,7970,13255966,0,-1340739,8130,7994,7694,7256
A252670,KODEX 200선물인버스2X,20181212,8230,8255,8045,8060,13954619,356448,-415672,8164,7992,7677,7244
A252670,KODEX 200선물인버스2X,20181211,8200,8335,8200,8295,11436679,690785,78225,8135,7993,7659,7232
A252670,KODEX 200선물인버스2X,20181210,8305,8355,8210,8250,19788782,616939,2229059,8040,7980,7636,7216
A252670,KODEX 200선물인버스2X,20181207,8050,8160,8015,8075,16354239,792913,700401,7918,7964,7614,7200
A252670,KODEX 200선물인버스2X,20181206,8000,8180,7985,8140,22435009,696274,2367287,7884,7958,7595,7184
A252670,KODEX 200선물인버스2X,20181205,8010,8025,7850,7915,21471134,759580,-1544971,7810,7944,7574,7166
A252670,KODEX 200선물인버스2X,20181204,7705,7885,7680,7820,15167002,618661,-136873,7787,7948,7556,7150
A252670,KODEX 200선물인버스2X,20181203,7670,7795,7600,7640,13758791,761025,-245822,7802,7954,7536,7135
A252670,KODEX 200선물인버스2X,20181130,7725,7950,7705,7905,13567004,1044160,750803,7876,7973,7521,7121
A252670,KODEX 200선물인버스2X,20181129,7575,7805,7560,7770,15642358,0,-495891,7944,7971,7500,7106
A252670,KODEX 200선물인버스2X,20181128,7855,7925,7795,7800,10464263,265937,-1192197,8017,8008,7482,7092
A252670,KODEX 200선물인버스2X,20181127,7960,8055,7865,7895,12826055,114646,-2149914,8078,8040,7464,7078
A252670,KODEX 200선물인버스2X,20181126,8195,8220,8005,8010,13828219,236455,-1828734,8107,8069,7445,7065
A252670,KODEX 200선물인버스2X,20181123,8130,8315,8095,8245,16764163,402415,1707384,8079,8100,7424,7050
A252670,KODEX 200선물인버스2X,20181122,8110,8170,8070,8135,12436657,782533,-707736,8017,8112,7400,7032
A252670,KODEX 200선물인버스2X,20181121,8240,8295,8095,8105,18892158,745838,1042878,7975,8117,7380,7013
A252670,KODEX 200선물인버스2X,20181120,8055,8090,7970,8040,18443356,637103,-965102,7971,8110,7360,6995
A252670,KODEX 200선물인버스2X,20181119,7910,7955,7775,7870,10937414,163124,-607668,7971,8103,7343,6978
A252670,KODEX 200선물인버스2X,20181116,7860,7955,7820,7935,13047395,316498,304816,7982,8086,7330,6962
A252670,KODEX 200선물인버스2X,20181115,8110,8160,7905,7925,18790263,174559,-158348,7985,8067,7317,6946
A252670,KODEX 200선물인버스2X,20181114,8050,8135,8015,8085,16447408,120415,-1039647,7973,8052,7304,6931
A252670,KODEX 200선물인버스2X,20181113,8160,8315,8020,8040,32187253,305737,3108320,7958,8023,7286,6914
A252670,KODEX 200선물인버스2X,20181112,8080,8105,7890,7925,19177631,334299,-2576561,7936,8006,7270,6897
A252670,KODEX 200선물인버스2X,20181109,7875,7965,7815,7950,18115247,915333,-1340751,7955,7992,7253,6882
A252670,KODEX 200선물인버스2X,20181108,7755,7865,7650,7865,19266150,638748,-2355745,7939,7972,7233,6865
A252670,KODEX 200선물인버스2X,20181107,7930,8040,7780,8010,21123965,363921,-1410861,8067,7964,7214,6849
A252670,KODEX 200선물인버스2X,20181106,7935,8100,7900,7930,16142890,615296,-2035632,8151,7920,7193,6832
A252670,KODEX 200선물인버스2X,20181105,7970,8210,7970,8020,26488213,477755,2210386,8262,7876,7175,6817
A252670,KODEX 200선물인버스2X,20181102,8295,8315,7850,7870,28527832,128792,-3653946,8385,7822,7154,6801
A252670,KODEX 200선물인버스2X,20181101,8415,8505,8215,8505,15518401,2063710,1501841,8509,7777,7139,6785
A252670,KODEX 200선물인버스2X,20181031,8445,8600,8405,8430,15795380,2161309,966316,8452,7688,7108,6763
A252670,KODEX 200선물인버스2X,20181030,8705,8720,8345,8485,25902736,2930589,1513330,8360,7595,7080,6742
A252670,KODEX 200선물인버스2X,20181029,8425,8650,8320,8635,28536267,5207096,-811754,8242,7498,7051,6719
A252670,KODEX 200선물인버스2X,20181026,8200,8640,8200,8490,34239135,5103269,1177577,8021,7390,7019,6696
A252670,KODEX 200선물인버스2X,20181025,8305,8455,8215,8220,36026401,4394466,-2346672,7836,7295,6990,6675
A252670,KODEX 200선물인버스2X,20181024,7795,8000,7790,7970,25694960,1266679,-1251102,7718,7216,6967,6657
A252670,KODEX 200선물인버스2X,20181023,7655,7975,7630,7895,18747738,247984,2642259,7624,7155,6948,6641
A252670,KODEX 200선물인버스2X,20181022,7665,7710,7495,7530,10948567,423921,876640,7583,7098,6930,6625
A252670,KODEX 200선물인버스2X,20181019,7740,7840,7545,7565,17023504,499529,-986409,7608,7063,6917,6612
A252670,KODEX 200선물인버스2X,20181018,7555,7640,7505,7630,9993627,528822,-347283,7603,7021,6905,6598
A252670,KODEX 200선물인버스2X,20181017,7480,7555,7400,7500,12283773,401875,-332433,7621,6987,6891,6584
A252670,KODEX 200선물인버스2X,20181016,7595,7710,7530,7690,10800725,394384,617538,7546,6960,6878,6572
A252670,KODEX 200선물인버스2X,20181015,7590,7685,7565,7655,13531952,582019,-219388,7415,6923,6862,6559
A252670,KODEX 200선물인버스2X,20181012,7720,7745,7425,7540,19824571,663772,1457973,7276,6886,6846,6546
A252670,KODEX 200선물인버스2X,20181011,7450,7740,7280,7720,22110467,579377,3524823,7159,6855,6834,6534
A252670,KODEX 200선물인버스2X,20181010,7005,7180,7005,7125,11417502,546660,854564,6961,6813,6820,6521
A252670,KODEX 200선물인버스2X,20181008,7035,7040,6925,7035,7196986,517740,1117080,6850,6798,6815,6513
A252670,KODEX 200선물인버스2X,20181005,6970,7055,6910,6960,15125311,496754,872119,6754,6780,6811,6505
A252670,KODEX 200선물인버스2X,20181004,6720,6965,6715,6955,11510403,466278,3827518,6657,6768,6811,6499
A252670,KODEX 200선물인버스2X,20181002,6590,6740,6540,6730,9925661,456297,1066005,6581,6753,6812,6492
A252670,KODEX 200선물인버스2X,20181001,6530,6615,6500,6570,4829783,452868,-194280,6563,6751,6816,6489
A252670,KODEX 200선물인버스2X,20180928,6470,6565,6470,6555,5338663,541157,604022,6601,6758,6822,6485
A252670,KODEX 200선물인버스2X,20180927,6600,6615,6460,6475,6665108,490117,-1085323,6642,6768,6829,6481
A252670,KODEX 200선물인버스2X,20180921,6600,6645,6575,6575,6168979,635450,-425578,6712,6782,6832,6478
A252670,KODEX 200선물인버스2X,20180920,6720,6735,6575,6640,14048092,511781,-1797897,6742,6794,6835,6474
A252670,KODEX 200선물인버스2X,20180919,6710,6815,6710,6760,6119309,425141,-248016,6803,6806,6833,6470
A252670,KODEX 200선물인버스2X,20180918,6910,6930,6760,6760,8995843,377824,-978364,6844,6815,6830,6464
A252670,KODEX 200선물인버스2X,20180917,6760,6870,6760,6825,5454226,548457,936334,6882,6826,6825,6459
A252670,KODEX 200선물인버스2X,20180914,6845,6845,6705,6725,9545124,455283,-1479399,6898,6842,6820,6454
A252670,KODEX 200선물인버스2X,20180913,6955,6975,6915,6945,4735616,453765,-145165,6939,6864,6818,6446
A252670,KODEX 200선물인버스2X,20180912,6945,7025,6915,6965,5991787,436146,760296,6924,6874,6811,6437
A252670,KODEX 200선물인버스2X,20180911,6930,7000,6860,6950,9787648,537394,1219536,6899,6876,6804,6428
A252670,KODEX 200선물인버스2X,20180910,6960,6970,6885,6905,7434837,407885,-570370,6841,6882,6796,6419
A252670,KODEX 200선물인버스2X,20180907,6960,7040,6890,6930,17395125,351111,1527752,6806,6881,6785,6410
A252670,KODEX 200선물인버스2X,20180906,6860,6900,6800,6870,11556103,331459,-305239,6750,6872,6773,6401
A252670,KODEX 200선물인버스2X,20180905,6715,6865,6690,6840,8165472,437445,1077443,6715,6866,6758,6392
A252670,KODEX 200선물인버스2X,20180904,6725,6760,6655,6660,6936477,335093,-523824,6689,6860,6744,6384
A252670,KODEX 200선물인버스2X,20180903,6670,6750,6660,6730,7660600,368735,1089248,6706,6868,6734,6378
