stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A253150,ARIRANG 200선물레버리지,20190129,23780,23965,23440,23965,3481,1,328,23364,21743,21368,23005
A253150,ARIRANG 200선물레버리지,20190128,23770,24020,23575,23775,1636,1,1146,23025,21571,21306,23025
A253150,ARIRANG 200선물레버리지,20190125,22940,23770,22940,23740,1999,1,1565,22774,21399,21251,23046
A253150,ARIRANG 200선물레버리지,20190124,22705,22860,22590,22860,144,1,121,22515,21204,21195,23066
A253150,ARIRANG 200선물레버리지,20190123,22185,22550,22175,22480,40,1,-20,22371,21079,21147,23094
A253150,ARIRANG 200선물레버리지,20190122,22370,22370,22095,22270,30,1,12,22276,20972,21112,23124
A253150,ARIRANG 200선물레버리지,20190121,22595,22600,22245,22520,1153,1,933,22184,20880,21090,23154
A253150,ARIRANG 200선물레버리지,20190118,22300,22445,22300,22445,660,1,570,21880,20797,21077,23181
A253150,ARIRANG 200선물레버리지,20190117,22105,22225,21965,22140,175,1,63,21668,20704,21067,23208
A253150,ARIRANG 200선물레버리지,20190116,21900,22005,21790,22005,759,1,117,21449,20636,21081,23242
A253150,ARIRANG 200선물레버리지,20190115,21130,21825,21125,21810,2836,1,665,21264,20566,21095,23274
A253150,ARIRANG 200선물레버리지,20190114,21280,21280,20950,21000,2371,1,-221,20950,20540,21110,23309
A253150,ARIRANG 200선물레버리지,20190111,21270,21400,21175,21385,667,1,-17,20852,20542,21145,23353
A253150,ARIRANG 200선물레버리지,20190110,21160,21300,21030,21045,1898,1,-36,20563,20500,21165,23393
A253150,ARIRANG 200선물레버리지,20190109,20705,21205,20695,21080,394,1,225,20276,20481,21192,23438
A253150,ARIRANG 200선물레버리지,20190108,20535,20575,20225,20240,39,1,-7,20067,20482,21223,23477
A253150,ARIRANG 200선물레버리지,20190107,20275,20800,20275,20510,686,1,217,20125,20516,21261,23523
A253150,ARIRANG 200선물레버리지,20190104,19500,19965,19500,19940,556,0,158,20091,20570,21328,23568
A253150,ARIRANG 200선물레버리지,20190103,19990,20000,19600,19610,4641,0,-591,20070,20665,21410,23618
