stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A253590,네오셈,20190129,2060,2060,2040,2040,13627,2000,-832,2001,1870,1963,2096
A253590,네오셈,20190128,2030,2055,1980,2055,40691,2000,-1597,1974,1857,1966,2096
A253590,네오셈,20190125,1980,2315,1955,2030,329181,2000,-60907,1945,1844,1970,2096
A253590,네오셈,20190124,1900,1990,1900,1975,138623,2000,-17500,1913,1834,1973,2097
A253590,네오셈,20190123,1910,1910,1870,1905,4308,2000,0,1901,1826,1978,2098
A253590,네오셈,20190122,1910,1910,1890,1905,2746,2000,0,1904,1822,1983,2099
A253590,네오셈,20190121,1875,1910,1835,1910,10267,2000,0,1901,1812,1989,2101
A253590,네오셈,20190118,1875,1910,1815,1870,36187,2000,-9765,1882,1802,1995,2102
A253590,네오셈,20190117,1945,1945,1910,1915,993,2000,-3,1872,1795,2001,2104
A253590,네오셈,20190116,1890,1945,1800,1920,36652,2000,-5000,1851,1786,2006,2106
A253590,네오셈,20190115,1815,1890,1810,1890,13736,2000,0,1828,1785,2012,2108
A253590,네오셈,20190114,1820,1845,1770,1815,12698,2000,-9415,1812,1786,2018,2110
A253590,네오셈,20190111,1835,1835,1765,1820,19193,2000,-11000,1804,1794,2025,2113
A253590,네오셈,20190110,1805,1820,1775,1810,6521,2000,0,1787,1804,2032,2116
A253590,네오셈,20190109,1780,1810,1780,1805,10640,2000,-3520,1765,1815,2039,2120
A253590,네오셈,20190108,1775,1810,1735,1810,15498,2000,-3960,1748,1827,2047,2123
A253590,네오셈,20190107,1740,1780,1740,1775,3890,2000,0,1740,1835,2054,2126
A253590,네오셈,20190104,1735,1735,1685,1735,2310,2000,0,1746,1844,2062,2129
A253590,네오셈,20190103,1670,1785,1670,1700,16974,2000,-10771,1764,1861,2070,2133
A253590,네오셈,20190102,1720,1795,1695,1720,10951,2000,0,1789,1879,2079,2137
A253590,네오셈,20181228,1815,1815,1770,1770,9047,2000,-2001,1809,1896,2088,2140
A253590,네오셈,20181227,1890,1890,1760,1805,27468,2000,-3441,1795,1913,2096,2143
A253590,네오셈,20181226,1800,1845,1730,1825,6430,2000,-1631,1774,1927,2103,2146
A253590,네오셈,20181224,1875,1875,1795,1825,13010,2000,-2226,1757,1940,2110,2150
A253590,네오셈,20181221,1765,1890,1695,1820,16467,2000,-407,1739,1954,2117,2154
A253590,네오셈,20181220,1705,1820,1660,1700,10708,2000,-4471,1756,1967,2124,2158
A253590,네오셈,20181219,1785,1785,1655,1700,25000,2000,-3986,1797,1986,2133,2163
A253590,네오셈,20181218,1695,1800,1690,1740,15885,2000,-4400,1852,2007,2142,2168
A253590,네오셈,20181217,1965,1965,1735,1735,98199,2000,-35726,1906,2025,2151,2172
A253590,네오셈,20181214,1905,1995,1835,1905,177550,2000,-21974,1968,2042,2159,2177
A253590,네오셈,20181213,1995,1995,1900,1905,79585,2000,-46464,1995,2052,2165,2180
A253590,네오셈,20181212,2035,2040,1970,1975,56526,2000,-13065,2007,2064,2171,2182
A253590,네오셈,20181211,2045,2045,1980,2010,12786,3955,-4000,2004,2072,2175,2185
A253590,네오셈,20181210,2015,2065,2000,2045,20033,3955,0,2016,2084,2179,2187
A253590,네오셈,20181207,1995,2040,1930,2040,37410,5010,500,2020,2093,2182,2189
A253590,네오셈,20181206,2025,2025,1940,1965,41199,5010,1000,2026,2100,2186,2190
A253590,네오셈,20181205,2050,2050,1960,1960,63652,6872,1050,2053,2109,2191,2192
A253590,네오셈,20181204,2050,2090,2045,2070,10179,9181,100,2077,2116,2195,2195
A253590,네오셈,20181203,2090,2090,2035,2065,45097,9181,-10000,2083,2116,2198,2196
A253590,네오셈,20181130,2075,2100,2050,2070,21574,9181,0,2089,2116,2201,2196
A253590,네오셈,20181129,2080,2115,2070,2100,26579,9181,-4000,2092,2122,2204,2197
A253590,네오셈,20181128,2105,2105,2075,2080,23676,9181,3900,2088,2130,2207,2197
A253590,네오셈,20181127,2075,2125,2075,2100,3383,9847,0,2095,2138,2209,2197
A253590,네오셈,20181126,2075,2125,2075,2095,14127,9847,1126,2095,2145,2212,2196
A253590,네오셈,20181123,2055,2105,2055,2085,24832,9847,11451,2092,2153,2213,2196
A253590,네오셈,20181122,2070,2120,2070,2080,69068,9847,16138,2097,2161,2216,2195
A253590,네오셈,20181121,2080,2120,2080,2115,22590,7469,0,2106,2169,2219,2195
A253590,네오셈,20181120,2065,2100,2065,2100,38133,7469,0,2114,2176,2221,2194
A253590,네오셈,20181119,2195,2195,2065,2080,70741,2000,-13496,2140,2183,2224,2193
A253590,네오셈,20181116,2140,2175,2100,2110,84100,2000,-49083,2171,2191,2226,2192
A253590,네오셈,20181115,2145,2190,2110,2125,48233,2000,-3932,2185,2198,2229,2191
A253590,네오셈,20181114,2230,2230,2140,2155,27328,2000,-5971,2190,2204,2231,2190
A253590,네오셈,20181113,2230,2230,2170,2230,75255,2000,-16800,2179,2208,2232,2189
A253590,네오셈,20181112,2190,2270,2185,2235,60301,2000,-27964,2145,2209,2232,2187
