stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A257730,신한제3호스팩,20190129,2050,2070,2045,2045,16795,92,2000,2063,2062,2080,2114
A257730,신한제3호스팩,20190128,2055,2070,2055,2070,38366,92,28955,2069,2062,2080,2115
A257730,신한제3호스팩,20190125,2070,2070,2055,2065,223,92,0,2070,2062,2081,2115
A257730,신한제3호스팩,20190124,2050,2075,2020,2060,15460,92,0,2070,2062,2081,2116
A257730,신한제3호스팩,20190123,2065,2075,2065,2075,4050,92,1660,2071,2062,2082,2116
A257730,신한제3호스팩,20190122,2075,2075,2060,2075,204,92,202,2071,2061,2082,2117
A257730,신한제3호스팩,20190121,2075,2075,2050,2075,9004,92,2000,2066,2062,2082,2117
A257730,신한제3호스팩,20190118,2075,2075,2060,2065,3268,92,2000,2061,2062,2083,2118
A257730,신한제3호스팩,20190117,2065,2075,2065,2065,401,92,0,2061,2062,2083,2118
A257730,신한제3호스팩,20190116,2045,2075,2045,2075,12236,92,11137,2059,2063,2084,2119
A257730,신한제3호스팩,20190115,2035,2050,2035,2050,1974,92,0,2054,2063,2085,2120
A257730,신한제3호스팩,20190114,2065,2070,2015,2050,26102,92,0,2056,2064,2086,2120
A257730,신한제3호스팩,20190111,2045,2065,2045,2065,3555,92,0,2059,2066,2088,2121
A257730,신한제3호스팩,20190110,2075,2075,2050,2055,5237,92,0,2058,2068,2089,2122
A257730,신한제3호스팩,20190109,2075,2075,2050,2050,7416,92,3000,2059,2068,2090,2123
A257730,신한제3호스팩,20190108,2050,2095,2045,2060,13216,92,0,2060,2070,2091,2124
A257730,신한제3호스팩,20190107,2050,2065,2045,2065,8104,92,0,2058,2072,2092,2125
A257730,신한제3호스팩,20190104,2060,2060,2045,2060,6867,92,0,2060,2073,2094,2125
A257730,신한제3호스팩,20190103,2060,2075,2050,2060,2559,92,2000,2058,2075,2095,2126
A257730,신한제3호스팩,20190102,2065,2070,2055,2055,12615,92,0,2057,2077,2096,2127
A257730,신한제3호스팩,20181228,2025,2060,2015,2050,17830,92,0,2059,2079,2098,2127
A257730,신한제3호스팩,20181227,2075,2075,2075,2075,1,92,0,2067,2082,2099,2128
A257730,신한제3호스팩,20181226,2075,2080,2030,2050,6001,92,0,2070,2082,2101,2129
A257730,신한제3호스팩,20181224,2080,2080,2045,2055,4005,92,0,2073,2084,2102,2130
A257730,신한제3호스팩,20181221,2065,2065,2065,2065,1,92,0,2077,2086,2104,2131
A257730,신한제3호스팩,20181220,2090,2090,2090,2090,48,92,0,2080,2088,2106,2132
A257730,신한제3호스팩,20181219,2075,2090,2070,2090,2309,92,0,2076,2088,2108,2133
A257730,신한제3호스팩,20181218,2075,2075,2065,2065,658,92,0,2076,2090,2109,2134
A257730,신한제3호스팩,20181217,2080,2080,2050,2075,1094,92,0,2081,2092,2111,2135
A257730,신한제3호스팩,20181214,2090,2090,2075,2080,377,92,0,2080,2094,2113,2136
A257730,신한제3호스팩,20181213,2090,2135,2070,2070,2913,92,600,2082,2094,2115,2136
A257730,신한제3호스팩,20181212,2090,2090,2085,2090,760,92,600,2086,2095,2117,2137
A257730,신한제3호스팩,20181211,2075,2090,2070,2090,5995,92,5000,2087,2094,2119,2138
A257730,신한제3호스팩,20181210,2090,2090,2070,2070,22107,92,6004,2089,2094,2121,2139
