stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A262760,엔케이맥스,20190129,8790,8790,8440,8760,681,0,0,8696,8173,9065,0
A262760,엔케이맥스,20190128,8250,9080,8250,8800,703,0,0,8538,8104,9083,0
A262760,엔케이맥스,20190125,8800,8880,8150,8770,423,0,0,8378,8034,9092,0
A262760,엔케이맥스,20190124,8050,8720,8050,8680,3258,0,0,8220,7990,9100,0
A262760,엔케이맥스,20190123,7900,8590,7900,8470,3348,0,0,8060,7931,9111,0
A262760,엔케이맥스,20190122,8990,8990,7920,7970,5726,0,0,7946,7885,9129,0
A262760,엔케이맥스,20190121,8140,8500,7500,8000,4496,0,0,7942,7866,9154,0
A262760,엔케이맥스,20190118,7920,7980,7500,7980,27293,0,0,7962,7872,9180,0
A262760,엔케이맥스,20190117,9000,9000,7510,7880,3818,0,-1783,8000,7884,9208,0
A262760,엔케이맥스,20190116,8390,8390,7900,7900,1360,0,-217,8044,7940,9242,0
A262760,엔케이맥스,20190115,8180,8840,7950,7950,5355,0,0,8098,8000,9276,0
A262760,엔케이맥스,20190114,8190,8190,7500,8100,430,0,0,8116,8062,9309,0
A262760,엔케이맥스,20190111,8270,8270,8170,8170,6,0,0,8114,8126,9342,0
A262760,엔케이맥스,20190110,8200,8200,7810,8100,1098,0,0,8076,8182,9375,0
A262760,엔케이맥스,20190109,8310,8310,7810,8170,2003,0,0,8046,8218,9407,0
A262760,엔케이맥스,20190108,7900,8090,7750,8040,1445,0,200,7952,8267,9437,0
A262760,엔케이맥스,20190107,7450,8150,7390,8090,1126,0,0,7820,8337,9459,0
A262760,엔케이맥스,20190104,8500,8500,7750,7980,922,0,0,7682,8388,9507,0
A262760,엔케이맥스,20190103,7700,8100,7700,7950,210,0,0,7664,8478,9563,0
A262760,엔케이맥스,20190102,8000,8390,7700,7700,286,0,0,7574,8571,9639,0
A262760,엔케이맥스,20181228,7200,8140,7200,7380,3558,0,0,7544,8675,9722,0
A262760,엔케이맥스,20181227,9000,9000,7400,7400,4738,0,0,7584,8780,9810,0
A262760,엔케이맥스,20181226,8000,8000,7500,7890,99,0,0,7730,8890,9899,0
A262760,엔케이맥스,20181224,7220,8480,7000,7500,8139,0,0,7794,8986,9980,0
A262760,엔케이맥스,20181221,8700,8700,7110,7550,2978,0,400,8096,9112,10066,0
A262760,엔케이맥스,20181220,7600,8070,7490,7580,14532,0,0,8406,9266,10155,0
A262760,엔케이맥스,20181219,8660,8660,7700,8130,11813,0,0,8730,9430,10242,0
A262760,엔케이맥스,20181218,8910,8910,8210,8210,1965,0,410,8978,9536,10324,0
A262760,엔케이맥스,20181217,9100,9100,8150,9010,7216,0,0,9194,9676,10404,0
A262760,엔케이맥스,20181214,9190,9280,9100,9100,1951,0,0,9156,9780,10478,0
A262760,엔케이맥스,20181213,9360,9360,9000,9200,1543,0,0,9166,9872,10553,0
A262760,엔케이맥스,20181212,9390,9430,9370,9370,3243,0,0,9214,9955,10628,0
A262760,엔케이맥스,20181211,9340,9340,8830,9290,34,0,0,9164,10062,10696,0
A262760,엔케이맥스,20181210,9500,9500,8810,8820,411,0,50,9260,10177,10772,0
A262760,엔케이맥스,20181207,9120,9750,9120,9150,6027,0,400,9458,10241,10854,0
A262760,엔케이맥스,20181206,9440,9440,9110,9440,1260,0,1000,9584,10279,10932,0
A262760,엔케이맥스,20181205,9750,9750,9000,9120,3401,0,150,9594,10300,11004,0
A262760,엔케이맥스,20181204,9990,9990,9120,9770,610,0,300,9690,10306,11084,0
A262760,엔케이맥스,20181203,10000,10000,9030,9810,5777,0,973,9698,10312,11152,0
