stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A263020,디케이앤디,20190129,4610,4635,4450,4555,147992,40551,0,4506,4419,0,0
A263020,디케이앤디,20190128,4550,4570,4455,4530,70298,40347,0,4468,4407,0,0
A263020,디케이앤디,20190125,4520,4560,4480,4550,71490,36237,0,4429,4389,0,0
A263020,디케이앤디,20190124,4500,4570,4420,4520,245631,38415,0,4400,4373,0,0
A263020,디케이앤디,20190123,4385,4445,4325,4375,54217,33288,0,4389,4362,0,0
A263020,디케이앤디,20190122,4340,4400,4285,4365,77255,32063,0,4423,4358,0,0
A263020,디케이앤디,20190121,4450,4500,4335,4335,84455,31069,-27568,4468,4347,0,0
A263020,디케이앤디,20190118,4445,4510,4375,4405,87646,33771,-3500,4492,4336,0,0
A263020,디케이앤디,20190117,4560,4575,4420,4465,86303,33063,0,4510,4322,0,0
A263020,디케이앤디,20190116,4540,4585,4475,4545,212211,29066,0,4542,4315,0,0
A263020,디케이앤디,20190115,4455,4590,4405,4590,160254,31133,0,4519,4295,0,0
A263020,디케이앤디,20190114,4505,4535,4420,4455,91409,34165,0,4488,4285,0,0
A263020,디케이앤디,20190111,4625,4680,4485,4495,161412,36079,0,4471,4285,0,0
A263020,디케이앤디,20190110,4410,4915,4380,4625,1395059,47268,0,4386,4286,0,0
A263020,디케이앤디,20190109,4435,4470,4350,4430,108436,28158,5000,4279,4272,0,0
A263020,디케이앤디,20190108,4380,4465,4330,4435,183137,24789,2500,4229,4272,0,0
A263020,디케이앤디,20190107,4110,4490,4105,4370,664930,35948,20260,4205,4277,0,0
A263020,디케이앤디,20190104,4025,4125,4010,4070,66797,19502,7500,4165,4301,0,0
A263020,디케이앤디,20190103,4200,4250,4055,4090,73738,14783,0,4195,4345,0,0
A263020,디케이앤디,20190102,4330,4330,4165,4180,96295,19416,0,4239,4382,0,0
A263020,디케이앤디,20181228,4170,4315,4120,4315,170425,20481,0,4263,4414,0,0
A263020,디케이앤디,20181227,4335,4335,4140,4170,79403,20120,0,4226,4438,0,0
A263020,디케이앤디,20181226,4250,4285,4120,4220,144623,14297,0,4218,4476,0,0
A263020,디케이앤디,20181224,4300,4455,4190,4310,250601,16073,0,4199,4518,0,0
A263020,디케이앤디,20181221,4130,4345,4100,4300,149872,14575,0,4199,4560,0,0
A263020,디케이앤디,20181220,4100,4340,4070,4130,133670,14622,0,4168,4612,0,0
A263020,디케이앤디,20181219,4160,4220,4105,4130,71177,17227,0,4220,4672,0,0
A263020,디케이앤디,20181218,4270,4270,4110,4125,160235,15323,0,4287,4749,0,0
A263020,디케이앤디,20181217,4150,4445,4145,4310,198644,5690,0,4363,4854,0,0
A263020,디케이앤디,20181214,4365,4425,4145,4145,162618,541,0,4373,0,0,0
A263020,디케이앤디,20181213,4505,4560,4375,4390,172222,836,0,4426,0,0,0
A263020,디케이앤디,20181212,4520,4535,4355,4465,135053,14090,0,4456,0,0,0
A263020,디케이앤디,20181211,4420,5000,4385,4505,1170762,6212,0,4534,0,0,0
A263020,디케이앤디,20181210,4390,4520,4275,4360,97282,3501,0,4624,0,0,0
A263020,디케이앤디,20181207,4595,4645,4380,4410,190616,2989,0,4719,0,0,0
A263020,디케이앤디,20181206,4855,4895,4540,4540,279400,1156,-1148,4797,0,0,0
A263020,디케이앤디,20181205,4840,4950,4800,4855,219089,23490,0,4849,0,0,0
A263020,디케이앤디,20181204,4845,5130,4805,4955,644097,10825,0,4867,0,0,0
A263020,디케이앤디,20181203,4850,4930,4800,4835,199048,13491,0,4884,0,0,0
A263020,디케이앤디,20181130,4840,4950,4770,4800,322568,8240,0,4951,0,0,0
A263020,디케이앤디,20181129,5010,5040,4800,4800,436115,915,0,5059,0,0,0
A263020,디케이앤디,20181128,5080,5130,4870,4945,352570,21165,148,5165,0,0,0
A263020,디케이앤디,20181127,5190,5220,5000,5040,350249,14155,0,5308,0,0,0
A263020,디케이앤디,20181126,5410,5550,5120,5170,1012396,9020,-500,5546,0,0,0
A263020,디케이앤디,20181123,5330,5850,5260,5340,2363314,6366,500,0,0,0,0
A263020,디케이앤디,20181122,5700,5760,5270,5330,853077,6178,0,0,0,0,0
A263020,디케이앤디,20181121,6030,6080,5630,5660,1403124,0,-11758,0,0,0,0
A263020,디케이앤디,20181120,7570,7700,6110,6230,8572193,0,-1132820,0,0,0,0
