stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A263920,에스엔피월드,20190129,19200,19600,18650,19000,58022,67397,0,19480,17552,14020,9992
A263920,에스엔피월드,20190128,19600,19850,19100,19400,36646,71112,0,19400,17368,13814,9884
A263920,에스엔피월드,20190125,19650,20200,19550,19750,30754,75473,0,19090,17122,13575,9770
A263920,에스엔피월드,20190124,19450,20150,19250,19650,48468,78777,1,18540,16802,13321,9651
A263920,에스엔피월드,20190123,18400,19700,18400,19600,87261,81315,0,18010,16510,13069,9534
A263920,에스엔피월드,20190122,18100,19000,17750,18600,91644,75101,0,17510,16288,12822,9417
A263920,에스엔피월드,20190121,17050,17950,16850,17850,56543,61096,-1652,17180,16158,12594,9307
A263920,에스엔피월드,20190118,16900,17300,16350,17000,66604,54323,0,17090,16000,12385,9202
A263920,에스엔피월드,20190117,17400,17400,16600,17000,18182,51262,0,17190,15922,12189,9104
A263920,에스엔피월드,20190116,17300,17300,16450,17100,27829,50291,0,17290,15890,11997,9006
A263920,에스엔피월드,20190115,17050,17550,16900,16950,29899,48854,0,17250,15862,11802,8907
A263920,에스엔피월드,20190114,17650,17650,17000,17400,31158,50464,-3527,17310,15778,11609,8813
A263920,에스엔피월드,20190111,17350,18200,17100,17500,83554,50344,0,16790,15585,11410,8717
A263920,에스엔피월드,20190110,16750,18000,16750,17500,121284,48944,0,16430,15360,11208,8621
A263920,에스엔피월드,20190109,17850,18400,16200,16900,199074,53366,0,16170,15270,11005,8528
A263920,에스엔피월드,20190108,15200,18450,14800,17250,528260,73466,4036,15970,15182,10812,8441
A263920,에스엔피월드,20190107,15700,15800,14700,14800,117525,53190,0,15580,15048,10610,8351
A263920,에스엔피월드,20190104,15950,16350,15700,15700,54451,50110,0,15520,15045,10455,8283
A263920,에스엔피월드,20190103,16100,16600,15850,16200,77784,50484,0,15050,14982,10291,8208
A263920,에스엔피월드,20190102,15500,16750,15500,15900,69179,53796,0,14570,14880,10118,8128
A263920,에스엔피월드,20181228,14500,15400,14350,15300,51155,64220,0,14420,14758,9950,8052
A263920,에스엔피월드,20181227,13850,14550,13750,14500,59575,72518,0,14560,14652,9799,7979
A263920,에스엔피월드,20181226,13250,13650,12550,13350,106756,76427,300,14600,14525,9664,7912
A263920,에스엔피월드,20181224,15150,15200,13700,13800,123866,49634,1000,15020,14452,9548,7855
A263920,에스엔피월드,20181221,16000,16150,15100,15150,91069,47879,-1499,15530,14362,9418,7797
A263920,에스엔피월드,20181220,14800,16450,14500,16000,167390,43109,0,15810,14198,9266,7728
A263920,에스엔피월드,20181219,15450,15700,14650,14700,115616,47767,0,15660,13952,9097,7653
A263920,에스엔피월드,20181218,16300,16950,14650,15450,219270,44953,0,15430,13760,8954,7590
A263920,에스엔피월드,20181217,16800,17400,15150,16350,162599,46723,0,14940,13462,8802,7521
A263920,에스엔피월드,20181214,15250,16700,14900,16550,189204,60872,-300,14810,13115,8635,7445
A263920,에스엔피월드,20181213,13600,15350,13300,15250,345457,56434,-503,14530,12790,8467,7368
A263920,에스엔피월드,20181212,12950,14250,11700,13550,589836,54116,0,14390,12526,8321,7302
A263920,에스엔피월드,20181211,16300,19200,12350,13000,1254809,53292,-12619,14630,12323,8205,7250
