stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A264290,한화에이스스팩3호,20190129,2045,2065,2045,2065,501,0,1,2066,2062,2090,2103
A264290,한화에이스스팩3호,20190128,2060,2070,2055,2070,32336,0,2,2066,2062,2092,2103
A264290,한화에이스스팩3호,20190125,2045,2065,2045,2065,119,0,3,2064,2062,2094,2103
A264290,한화에이스스팩3호,20190124,2050,2065,2050,2065,276,0,0,2063,2062,2095,2104
A264290,한화에이스스팩3호,20190123,2065,2065,2045,2065,5162,0,2,2059,2062,2096,2104
A264290,한화에이스스팩3호,20190122,2060,2065,2060,2065,1001,0,0,2058,2061,2096,2104
A264290,한화에이스스팩3호,20190121,2065,2065,2040,2060,1975,0,3,2057,2061,2096,2104
A264290,한화에이스스팩3호,20190118,2060,2060,2050,2060,228,0,10,2057,2062,2097,2105
A264290,한화에이스스팩3호,20190117,2045,2045,2045,2045,300,0,1,2057,2062,2097,2105
A264290,한화에이스스팩3호,20190116,2045,2060,2040,2060,4526,0,0,2060,2064,2098,2106
A264290,한화에이스스팩3호,20190115,2050,2060,2050,2060,2605,0,5,2060,2064,2099,2106
A264290,한화에이스스팩3호,20190114,2035,2060,2035,2060,1005,0,6,2061,2064,2101,2106
A264290,한화에이스스팩3호,20190111,2035,2060,2035,2060,601,0,1,2063,2065,2102,2107
A264290,한화에이스스팩3호,20190110,2040,2060,2035,2060,2007,0,3,2063,2066,2102,2107
A264290,한화에이스스팩3호,20190109,2060,2060,2060,2060,1,0,0,2065,2067,2103,2108
A264290,한화에이스스팩3호,20190108,2045,2070,2040,2065,5623,0,363,2065,2069,2103,2108
A264290,한화에이스스팩3호,20190107,2035,2070,2035,2070,1344,0,0,2064,2070,2104,2109
A264290,한화에이스스팩3호,20190104,2055,2070,2030,2060,2358,0,6,2063,2072,2104,2109
A264290,한화에이스스팩3호,20190103,2080,2080,2045,2070,8,0,7,2064,2074,2105,2109
