stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A266140,TIGER 지속배당,20190129,14040,14105,14015,14105,376,2,375,14068,13833,13575,13648
A266140,TIGER 지속배당,20190128,14035,14115,14015,14085,1853,2,-589,14030,13821,13553,13647
A266140,TIGER 지속배당,20190125,14045,14090,14045,14090,160,2,148,13995,13808,13531,13647
A266140,TIGER 지속배당,20190124,14050,14050,14030,14030,91,2,-3,13971,13786,13508,13647
A266140,TIGER 지속배당,20190123,13950,14030,13950,14030,21,2,7,13943,13774,13487,13646
A266140,TIGER 지속배당,20190122,13875,13915,13845,13915,1177,2,-3,13914,13767,13472,13645
A266140,TIGER 지속배당,20190121,14080,14080,13910,13910,6167,2,-6157,13900,13768,13462,13644
A266140,TIGER 지속배당,20190118,14025,14025,13940,13970,41,2,31,13850,13768,13454,13644
A266140,TIGER 지속배당,20190117,13835,13895,13830,13890,560,2,68,13803,13758,13441,13643
A266140,TIGER 지속배당,20190116,13860,13885,13860,13885,144,2,-1,13761,13752,13436,13642
A266140,TIGER 지속배당,20190115,13740,13850,13740,13845,28,2,-23,13718,13746,13428,13641
A266140,TIGER 지속배당,20190114,13735,13750,13630,13660,5932,2,-2866,13691,13744,13421,13641
A266140,TIGER 지속배당,20190111,13715,13735,13715,13735,2,2,-2,13703,13749,13418,13643
A266140,TIGER 지속배당,20190110,13650,13690,13635,13680,115,2,-98,13679,13741,13410,13645
A266140,TIGER 지속배당,20190109,13655,13755,13655,13670,428,2,-68,13659,13737,13402,13646
A266140,TIGER 지속배당,20190108,13745,13750,13675,13710,365,2,-3,13632,13732,13393,13647
A266140,TIGER 지속배당,20190107,13730,13820,13700,13720,312,2,-235,13663,13724,13385,13647
A266140,TIGER 지속배당,20190104,13530,13675,13510,13615,627,2,-48,13683,13720,13384,13647
A266140,TIGER 지속배당,20190103,13580,13580,13560,13580,18,2,-12,13691,13716,13387,13648
A266140,TIGER 지속배당,20190102,13820,13820,13500,13535,13632,2,-344,13731,13718,13392,13648
A266140,TIGER 지속배당,20181228,13805,13865,13800,13865,18,2,4,13804,13718,13398,13648
A266140,TIGER 지속배당,20181227,13735,13920,13735,13820,6402,2,201,13819,13696,13401,13646
A266140,TIGER 지속배당,20181226,13755,13755,13505,13655,4312,2,-40,13835,13673,13407,13645
A266140,TIGER 지속배당,20181224,13890,13890,13780,13780,21,2,13,13857,13664,13416,13646
A266140,TIGER 지속배당,20181221,13865,13900,13800,13900,723,2,717,13856,13643,13421,13649
A266140,TIGER 지속배당,20181220,13885,13940,13885,13940,721,2,-721,13831,13608,13422,13651
A266140,TIGER 지속배당,20181219,13810,13900,13810,13900,1429,2,1385,13804,13581,13420,13653
A266140,TIGER 지속배당,20181218,13695,13765,13680,13765,8,2,3,13774,13555,13418,13656
A266140,TIGER 지속배당,20181217,13810,13820,13775,13775,44,2,-44,13737,13534,13421,13660
A266140,TIGER 지속배당,20181214,13895,13900,13770,13775,2563,2,-18,13702,13512,13424,13663
A266140,TIGER 지속배당,20181213,13750,13810,13735,13805,16,2,6,13661,13488,13428,13666
A266140,TIGER 지속배당,20181212,13585,13755,13585,13750,8,2,2,13612,13453,13431,13671
A266140,TIGER 지속배당,20181211,13510,13625,13510,13580,5195,2,-7,13588,13419,13433,13677
A266140,TIGER 지속배당,20181210,13500,13600,13500,13600,89,2,-89,13581,13394,13439,13684
A266140,TIGER 지속배당,20181207,13620,13620,13480,13570,33,2,3,13584,13369,13444,13692
A266140,TIGER 지속배당,20181206,13630,13630,13555,13560,2527,2,-9,13574,13344,13451,13701
A266140,TIGER 지속배당,20181205,13545,13630,13525,13630,2549,2,-7,13550,13320,13457,13711
A266140,TIGER 지속배당,20181204,13595,13595,13505,13545,929,2,747,13496,13286,13461,13720
A266140,TIGER 지속배당,20181203,13510,13625,13510,13615,3058,2,597,13479,13253,13465,13729
A266140,TIGER 지속배당,20181130,13520,13520,13480,13520,923,2,327,13430,13207,13470,13738
A266140,TIGER 지속배당,20181129,13440,13440,13440,13440,0,2,0,13367,13175,13476,13747
A266140,TIGER 지속배당,20181128,13380,13380,13325,13360,50,2,23,13358,13140,13483,13755
A266140,TIGER 지속배당,20181127,13400,13460,13400,13460,12,2,1,13361,13112,13491,13764
A266140,TIGER 지속배당,20181126,13340,13385,13300,13370,2694,2,110,13341,13075,13499,13772
A266140,TIGER 지속배당,20181123,13345,13345,13205,13205,144,2,41,13330,13044,13506,13780
A266140,TIGER 지속배당,20181122,13365,13395,13365,13395,803,2,-764,13350,13041,13516,13792
A266140,TIGER 지속배당,20181121,13230,13375,13230,13375,10,2,-9,13291,13037,13523,13803
A266140,TIGER 지속배당,20181120,13295,13360,13295,13360,11,2,-10,13231,13039,13531,13813
A266140,TIGER 지속배당,20181119,13345,13365,13265,13315,2565,2,-12,13174,13032,13539,13824
A266140,TIGER 지속배당,20181116,13310,13310,13305,13305,13,2,-13,13133,13045,13549,13837
A266140,TIGER 지속배당,20181115,13075,13105,12995,13100,2895,2,29,13084,13050,13560,13850
A266140,TIGER 지속배당,20181114,13075,13075,13030,13075,13,2,-10,13083,13066,13573,13866
A266140,TIGER 지속배당,20181113,12940,13080,12940,13075,2496,2,-12,13056,13085,13588,13881
A266140,TIGER 지속배당,20181112,13060,13115,13055,13110,20,2,-19,13018,13096,13603,13897
A266140,TIGER 지속배당,20181109,13080,13125,13035,13060,2927,2,333,12936,13100,13619,13913
A266140,TIGER 지속배당,20181108,13160,13180,13095,13095,26,2,-22,12898,13104,13635,13929
A266140,TIGER 지속배당,20181107,12965,13075,12905,12940,801,2,-767,12830,13109,13650,13945
A266140,TIGER 지속배당,20181106,12885,12885,12885,12885,0,2,0,12799,13145,13668,13960
A266140,TIGER 지속배당,20181105,12820,12820,12700,12700,916,2,819,12767,13192,13686,13976
A266140,TIGER 지속배당,20181102,12790,12950,12790,12870,137,2,63,12778,13251,13705,13995
A266140,TIGER 지속배당,20181101,12900,12900,12755,12755,14,2,-14,12832,13303,13722,14014
