stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A271740,한국제5호스팩,20190129,2065,2065,2065,2065,0,0,0,2063,2058,2052,2056
A271740,한국제5호스팩,20190128,2070,2070,2070,2070,7,0,0,2058,2058,2052,2055
A271740,한국제5호스팩,20190125,2060,2060,2060,2060,1500,0,-711,2052,2056,2052,2056
A271740,한국제5호스팩,20190124,2060,2060,2060,2060,0,0,0,2050,2056,2051,2056
A271740,한국제5호스팩,20190123,2060,2060,2060,2060,1,0,0,2049,2055,2051,2055
A271740,한국제5호스팩,20190122,2040,2040,2040,2040,0,0,0,2048,2055,2050,2055
A271740,한국제5호스팩,20190121,2040,2040,2040,2040,2628,0,2628,2051,2056,2050,2055
A271740,한국제5호스팩,20190118,2045,2050,2045,2050,4227,0,4227,2055,2056,2050,2055
A271740,한국제5호스팩,20190117,2040,2055,2040,2055,101,0,100,2057,2056,2051,2055
A271740,한국제5호스팩,20190116,2050,2055,2050,2055,8000,0,3000,2058,2056,2051,2055
A271740,한국제5호스팩,20190115,2055,2055,2055,2055,0,0,0,2059,2056,2050,2055
A271740,한국제5호스팩,20190114,2040,2060,2040,2060,11,0,10,2060,2056,2050,2056
A271740,한국제5호스팩,20190111,2060,2060,2060,2060,0,0,0,2060,2056,2050,2056
A271740,한국제5호스팩,20190110,2040,2060,2040,2060,626,0,100,2060,2056,2050,2056
A271740,한국제5호스팩,20190109,2060,2060,2060,2060,0,0,0,2060,2056,2050,2056
A271740,한국제5호스팩,20190108,2060,2060,2060,2060,0,0,0,2061,2056,2050,2056
A271740,한국제5호스팩,20190107,2060,2060,2060,2060,2000,0,-683,2061,2056,2049,2056
A271740,한국제5호스팩,20190104,2060,2060,2060,2060,0,0,0,2059,2056,2049,2056
A271740,한국제5호스팩,20190103,2060,2060,2060,2060,0,0,0,2056,2055,2050,2056
A271740,한국제5호스팩,20190102,2035,2065,2030,2065,3602,0,3100,2054,2055,2050,2056
A271740,한국제5호스팩,20181228,2025,2060,2025,2060,655,0,646,2052,2054,2050,2056
A271740,한국제5호스팩,20181227,2050,2050,2050,2050,50,0,0,2050,2054,2050,2056
A271740,한국제5호스팩,20181226,2045,2045,2045,2045,0,0,0,2050,2053,2050,2056
A271740,한국제5호스팩,20181224,2050,2050,2050,2050,4910,0,4910,2052,2053,2050,2056
A271740,한국제5호스팩,20181221,2030,2055,2020,2055,1731,0,69,2053,2053,2050,2056
A271740,한국제5호스팩,20181220,2050,2050,2050,2050,0,0,0,2053,2052,2050,2056
A271740,한국제5호스팩,20181219,2050,2050,2050,2050,0,0,0,2054,2052,2050,2056
A271740,한국제5호스팩,20181218,2055,2055,2055,2055,0,0,0,2055,2052,2050,2056
A271740,한국제5호스팩,20181217,2055,2055,2055,2055,0,0,0,2056,2051,2050,2057
A271740,한국제5호스팩,20181214,2055,2055,2055,2055,0,0,0,2057,2051,2050,2057
A271740,한국제5호스팩,20181213,2055,2055,2055,2055,300,0,300,2057,2050,2050,2057
A271740,한국제5호스팩,20181212,2060,2060,2055,2055,300,0,300,2060,2050,2050,2057
A271740,한국제5호스팩,20181211,2060,2060,2050,2060,3825,0,2831,2059,2049,2050,2057
A271740,한국제5호스팩,20181210,2050,2060,2050,2060,17931,0,-1431,2057,2048,2049,2056
A271740,한국제5호스팩,20181207,2065,2065,2055,2055,100,0,100,2055,2046,2049,2056
A271740,한국제5호스팩,20181206,2070,2070,2070,2070,10,0,0,2054,2046,2049,2056
A271740,한국제5호스팩,20181205,2050,2050,2050,2050,100,0,100,2050,2045,2050,2056
A271740,한국제5호스팩,20181204,2050,2050,2050,2050,0,0,0,2048,2045,2050,2056
A271740,한국제5호스팩,20181203,2050,2050,2050,2050,1161,0,92,2047,2045,2051,2056
A271740,한국제5호스팩,20181130,2050,2050,2050,2050,235,0,14,2046,2045,2051,2056
A271740,한국제5호스팩,20181129,2050,2050,2050,2050,1600,0,100,2045,2045,2052,2057
A271740,한국제5호스팩,20181128,2040,2040,2040,2040,518,0,518,2044,2045,2052,2057
