stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A272560,KBSTAR 단기국공채액티브,20190129,100220,100220,100205,100210,243,0,6,100211,100168,99965,99730
A272560,KBSTAR 단기국공채액티브,20190128,100215,100220,100210,100215,105,0,-100,100208,100160,99957,99722
A272560,KBSTAR 단기국공채액티브,20190125,100215,100220,100200,100210,2103,0,-96,100202,100152,99948,99713
A272560,KBSTAR 단기국공채액티브,20190124,100220,100220,100215,100215,6,0,1,100198,100142,99939,99705
A272560,KBSTAR 단기국공채액티브,20190123,100210,100210,100195,100205,704,0,-200,100193,100131,99930,99697
A272560,KBSTAR 단기국공채액티브,20190122,100195,100195,100185,100195,162,0,-39,100187,100121,99921,99689
A272560,KBSTAR 단기국공채액티브,20190121,100190,100190,100185,100185,495,0,-486,100182,100111,99912,99681
A272560,KBSTAR 단기국공채액티브,20190118,100195,100195,100190,100190,63,0,-53,100178,100102,99903,99673
A272560,KBSTAR 단기국공채액티브,20190117,100190,100190,100180,100190,20,0,9,100173,100092,99894,99665
A272560,KBSTAR 단기국공채액티브,20190116,100180,100180,100165,100175,677,0,447,100167,100080,99884,99656
A272560,KBSTAR 단기국공채액티브,20190115,100175,100175,100170,100170,5,0,3,100160,100070,99875,99648
A272560,KBSTAR 단기국공채액티브,20190114,100165,100165,100165,100165,5,0,0,100153,100059,99866,99640
A272560,KBSTAR 단기국공채액티브,20190111,100170,100170,100165,100165,7,0,-2,100146,100048,99856,99632
A272560,KBSTAR 단기국공채액티브,20190110,100160,100160,100155,100160,9,0,0,100138,100037,99846,99623
A272560,KBSTAR 단기국공채액티브,20190109,100145,100145,100135,100140,7005,0,0,100129,100025,99837,99615
A272560,KBSTAR 단기국공채액티브,20190108,100140,100140,100130,100135,904,0,-1,100116,100014,99828,99607
A272560,KBSTAR 단기국공채액티브,20190107,100130,100130,100120,100130,644,0,-540,100098,100002,99818,99598
A272560,KBSTAR 단기국공채액티브,20190104,100115,100135,100115,100125,85,0,-75,100080,99989,99809,99590
A272560,KBSTAR 단기국공채액티브,20190103,100105,100115,100105,100115,6,0,-1,100058,99976,99799,99582
A272560,KBSTAR 단기국공채액티브,20190102,100065,100080,100040,100075,45,0,22,100033,99963,99789,99574
A272560,KBSTAR 단기국공채액티브,20181228,100040,100045,100040,100045,101,0,0,100019,99952,99781,99566
A272560,KBSTAR 단기국공채액티브,20181227,100040,100040,100020,100040,40573,0,-7,100013,99943,99772,99558
