stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A276990,KODEX 글로벌4차산업로보틱스(합성),20190129,10045,10045,9700,9700,768,2000,38,9659,9336,9567,10257
A276990,KODEX 글로벌4차산업로보틱스(합성),20190128,9800,9815,9765,9785,1332,2000,279,9655,9289,9572,10269
A276990,KODEX 글로벌4차산업로보틱스(합성),20190125,9800,9800,9625,9650,352,2000,-117,9636,9231,9573,10280
A276990,KODEX 글로벌4차산업로보틱스(합성),20190124,9555,9565,9515,9565,4614,2000,-3069,9598,9172,9572,10293
A276990,KODEX 글로벌4차산업로보틱스(합성),20190123,9630,9630,9560,9595,1282,2000,-105,9564,9128,9574,10307
A276990,KODEX 글로벌4차산업로보틱스(합성),20190122,9705,9710,9675,9680,2063,2000,1219,9533,9091,9578,10320
A276990,KODEX 글로벌4차산업로보틱스(합성),20190121,9590,9700,9590,9690,8544,2000,4225,9462,9063,9580,10332
A276990,KODEX 글로벌4차산업로보틱스(합성),20190118,9450,9460,9445,9460,721,2000,143,9392,9036,9586,10344
A276990,KODEX 글로벌4차산업로보틱스(합성),20190117,9450,9450,9380,9395,687,2000,314,9355,9024,9599,10358
A276990,KODEX 글로벌4차산업로보틱스(합성),20190116,9485,9485,9395,9440,1118,2000,-1,9332,9024,9612,10372
A276990,KODEX 글로벌4차산업로보틱스(합성),20190115,9325,9335,9310,9325,1577,2000,-1077,9278,9027,9627,10387
A276990,KODEX 글로벌4차산업로보틱스(합성),20190114,9390,9390,9310,9340,614,2000,49,9223,9038,9648,10401
A276990,KODEX 글로벌4차산업로보틱스(합성),20190111,9360,9360,9270,9275,488,2000,-7,9112,9044,9666,10416
A276990,KODEX 글로벌4차산업로보틱스(합성),20190110,9230,9365,9230,9280,4447,2000,3553,9008,9054,9682,10432
A276990,KODEX 글로벌4차산업로보틱스(합성),20190109,9130,9175,9125,9170,446,2000,87,8940,9068,9698,10447
A276990,KODEX 글로벌4차산업로보틱스(합성),20190108,8990,9065,8980,9050,1893,2000,89,8874,9093,9714,10462
A276990,KODEX 글로벌4차산업로보틱스(합성),20190107,8830,8870,8785,8785,534,2000,-362,8816,9135,9739,10479
A276990,KODEX 글로벌4차산업로보틱스(합성),20190104,8710,8780,8685,8755,2026,2000,140,8785,9188,9771,10498
A276990,KODEX 글로벌4차산업로보틱스(합성),20190103,8905,8975,8905,8940,2517,2000,1546,8725,9256,9810,10516
A276990,KODEX 글로벌4차산업로보틱스(합성),20190102,8820,8925,8820,8840,3580,2000,2500,8677,9310,9848,10532
